NoteID,OriginType,ReleaseState,CanonicalWord,SenseLabel,MeaningPrimary,CandidateBritish,CandidateAmerican,RiskFlags,ReviewRiskReasons
KV001285,new-third-party-stable,unreleased,Australia Day,澳大利亚日,澳大利亚日,[ɒstɹˈeɪliə dˈeɪ],[ɔːstɹˈeɪliə dˈeɪ],multiword proper-case,proper-case
KV001287,new-third-party-stable,unreleased,Australian football,澳式足球,澳式足球,[ɒstɹˈeɪliən fˈʊtbɔːl],[ɔːstɹˈeɪliən fˈʊtbɔːl],multiword proper-case,proper-case
KV001327,new-third-party-stable,unreleased,Beijing Opera,京剧,京剧,[beɪdʒˈɪŋ ˈɒpəɹə],[beɪdʒˈɪŋ ˈɑːpɚɹə],multiword proper-case,proper-case
KV001334,new-third-party-stable,unreleased,better and better,越来越好,越来越好,[bˈɛtəɹ and bˈɛtə],[bˈɛɾɚɹ ænd bˈɛɾɚ],multiword,flap-allophone
KV001380,new-third-party-stable,unreleased,Britain,英国；大不列颠,英国；大不列颠,[bɹˈɪtən],[bɹˈɪtən],proper-case,proper-case
KV001438,new-third-party-stable,unreleased,CD player,CD 播放器,CD 播放器,[sˌiːdˈiː plˈeɪə],[sˌiːdˈiː plˈeɪɚ],multiword proper-case,proper-case
KV001439,new-third-party-stable,unreleased,CD-ROM,只读光盘（CD-ROM）,只读光盘（CD-ROM）,[sˌiːdˈiːɹˈɒm],[sˌiːdˈiːɹˈɑːm],hyphenated acronym proper-case,proper-case acronym
KV001463,new-third-party-stable,unreleased,Children's Palace,少年宫,少年宫,[tʃˈɪldɹənz pˈalɪs],[tʃˈɪldɹənz pˈælɪs],multiword proper-case punctuation,proper-case
KV001464,new-third-party-stable,unreleased,Children's Park,儿童公园,儿童公园,[tʃˈɪldɹənz pˈɑːk],[tʃˈɪldɹənz pˈɑːɹk],multiword proper-case punctuation,proper-case
KV001469,new-third-party-stable,unreleased,Chinese book,语文书；中文书,语文书；中文书,[tʃaɪnˈiːz bˈʊk],[tʃaɪnˈiːz bˈʊk],multiword proper-case,proper-case
KV001470,new-third-party-stable,unreleased,Chinese chess,中国象棋；象棋,中国象棋；象棋,[tʃaɪnˈiːz tʃˈɛs],[tʃaɪnˈiːz tʃˈɛs],multiword proper-case,proper-case
KV001471,new-third-party-stable,unreleased,Chinese ink painting,中国水墨画,中国水墨画,[tʃaɪnˈiːz ˈɪŋk pˈeɪntɪŋ],[tʃaɪnˈiːz ˈɪŋk pˈeɪntɪŋ],multiword proper-case,proper-case
KV001472,new-third-party-stable,unreleased,Chinese leaves,大白菜,大白菜,[tʃaɪnˈiːz lˈiːvz],[tʃaɪnˈiːz lˈiːvz],multiword proper-case,proper-case
