NoteID,OriginType,ReleaseState,CanonicalWord,SenseLabel,MeaningPrimary,CandidateBritish,CandidateAmerican,RiskFlags,ReviewRiskReasons
KV002056,new-third-party-stable,unreleased,London Eye,伦敦眼,伦敦眼,[lˈʌndən ˈaɪ],[lˈʌndən ˈaɪ],multiword proper-case,proper-case
KV002057,new-third-party-stable,unreleased,London Zoo,伦敦动物园,伦敦动物园,[lˈʌndən zˈuː],[lˈʌndən zˈuː],multiword proper-case,proper-case
KV002065,new-third-party-stable,unreleased,Los Angeles,洛杉矶,洛杉矶,[lˌɒs ˈandʒəlˌiːs],[lˌɑːs ˈændʒəlɪs],multiword proper-case,proper-case
KV002099,new-third-party-stable,unreleased,May Day,五一劳动节,五一劳动节,[mˈeɪ dˈeɪ],[mˈeɪ dˈeɪ],multiword proper-case,proper-case
KV002107,new-third-party-stable,unreleased,meeting room,会议室,会议室,[mˈiːtɪŋ ɹˈuːm],[mˈiːɾɪŋ ɹˈuːm],multiword,flap-allophone
KV002121,new-third-party-stable,unreleased,Mickey Mouse,米老鼠,米老鼠,[mˈɪki mˈaʊs],[mˈɪki mˈaʊs],multiword proper-case,proper-case
KV002122,new-third-party-stable,unreleased,Mid-Autumn Festival,中秋节,中秋节,[mˈɪdˈɔːtʌm fˈɛstɪvəl],[mˈɪdˈɔːɾʌm fˈɛstɪvəl],multiword hyphenated proper-case,proper-case flap-allophone
KV002131,new-third-party-stable,unreleased,Miss,小姐；女士（称谓）,小姐；女士（称谓）,[mˈɪs],[mˈɪs],proper-case,proper-case duplicate-surface-multi-sense
KV002145,new-third-party-stable,unreleased,Monkey King,孙悟空；美猴王,孙悟空；美猴王,[mˈʌŋki kˈɪŋ],[mˈʌŋki kˈɪŋ],multiword proper-case,proper-case
KV002155,new-third-party-stable,unreleased,Mount Taishan,泰山,泰山,[mˈaʊnt tˈeɪʃən],[mˈaʊnt tˈeɪʃən],multiword proper-case,proper-case
KV002158,new-third-party-stable,unreleased,movie theater,电影院,电影院,[mˈuːvi θˈiətə],[mˈuːvi θˈiəɾɚ],multiword,flap-allophone
KV002173,new-third-party-stable,unreleased,Native American,美洲原住民,美洲原住民,[nˈeɪtɪv ɐmˈɛɹɪkən],[nˈeɪɾɪv ɐmˈɛɹɪkən],multiword proper-case,proper-case flap-allophone
KV002187,new-third-party-stable,unreleased,New South Wales,新南威尔士州,新南威尔士州,[njˈuː sˈaʊθ wˈeɪlz],[nˈuː sˈaʊθ wˈeɪlz],multiword proper-case,proper-case
KV002188,new-third-party-stable,unreleased,New York,纽约,纽约,[njˈuː jˈɔːk],[nˈuː jˈɔːɹk],multiword proper-case,proper-case
KV002197,new-third-party-stable,unreleased,Nintendo,任天堂,任天堂,[nɪntˈɛndəʊ],[nɪntˈɛndoʊ],proper-case,proper-case
KV002209,new-third-party-stable,unreleased,North Pole,北极,北极,[nˈɔːθ pˈəʊl],[nˈɔːɹθ pˈoʊl],multiword proper-case,proper-case
KV002226,new-third-party-stable,unreleased,Ocean Park,海洋公园,海洋公园,[ˈəʊʃən pˈɑːk],[ˈoʊʃən pˈɑːɹk],multiword proper-case,proper-case
KV002236,new-third-party-stable,unreleased,Olympic Games,奥林匹克运动会；奥运会,奥林匹克运动会；奥运会,[əlˈɪmpɪk ɡˈeɪmz],[əlˈɪmpɪk ɡˈeɪmz],multiword proper-case,proper-case
KV002277,new-third-party-stable,unreleased,Palace Museum,故宫博物院,故宫博物院,[pˈalɪs mjuːzˈiəm],[pˈælɪs mjuːzˈiəm],multiword proper-case,proper-case
KV002281,new-third-party-stable,unreleased,Papa Westray,帕帕韦斯特雷岛,帕帕韦斯特雷岛,[pɐpˈɑː wˈɛstɹeɪ],[pˈɑːpə wˈɛstɹeɪ],multiword proper-case,proper-case
KV002283,new-third-party-stable,unreleased,paper cutting,剪纸；剪纸艺术,剪纸；剪纸艺术,[pˈeɪpə kˈʌtɪŋ],[pˈeɪpɚ kˈʌɾɪŋ],multiword,flap-allophone
KV002285,new-third-party-stable,unreleased,Parents' Day,家长日,家长日,[pˈeəɹənts dˈeɪ],[pˈɛɹənts dˈeɪ],multiword proper-case punctuation,proper-case
KV002303,new-third-party-stable,unreleased,PE class,体育课,体育课,[pˌiːˈiː klˈas],[pˌiːˈiː klˈæs],multiword proper-case,proper-case
KV002393,new-third-party-stable,unreleased,PRC,中华人民共和国,中华人民共和国,[pˌiːˌɑːsˈiː],[pˌiːˌɑːɹsˈiː],acronym proper-case,proper-case acronym
KV002417,new-third-party-stable,unreleased,Puma Ranch,Puma Ranch（地名/场景名）,Puma Ranch（地名/场景名）,[pˈuːmə ɹˈantʃ],[pˈuːmɚ ɹˈæntʃ],multiword proper-case,proper-case
KV002507,new-third-party-stable,unreleased,San Francisco,旧金山；圣弗朗西斯科,旧金山；圣弗朗西斯科,[sˌan fɹansˈɪskəʊ],[sˌæn fɹænsˈɪskoʊ],multiword proper-case,proper-case
KV002512,new-third-party-stable,unreleased,Santa,圣诞老人,圣诞老人,[sˈantə],[sˈæntə],proper-case,proper-case
KV002556,new-third-party-stable,unreleased,Shanghai Museum,上海博物馆,上海博物馆,[ʃaŋhˈaɪ mjuːzˈiəm],[ʃæŋhˈaɪ mjuːzˈiəm],multiword proper-case,proper-case
KV002564,new-third-party-stable,unreleased,Sherwood Forest,舍伍德森林,舍伍德森林,[ʃˈɜːwʊd fˈɒɹɪst],[ʃˈɜːwʊd fˈɔːɹɪst],multiword proper-case,proper-case
KV002585,new-third-party-stable,unreleased,sing English songs,唱英文歌,唱英文歌,[sˈɪŋ ˈɪŋɡlɪʃ sˈɒŋz],[sˈɪŋ ˈɪŋɡlɪʃ sˈɔŋz],multiword proper-case,proper-case
KV002592,new-third-party-stable,unreleased,sitting room,起居室；客厅,起居室；客厅,[sˈɪtɪŋ ɹˈuːm],[sˈɪɾɪŋ ɹˈuːm],multiword,flap-allophone
KV002653,new-third-party-stable,unreleased,South Africa,南非,南非,[sˈaʊθ ˈafɹɪkə],[sˈaʊθ ˈæfɹɪkə],multiword proper-case,proper-case
KV002654,new-third-party-stable,unreleased,South China Tiger,华南虎,华南虎,[sˈaʊθ tʃˈaɪnə tˈaɪɡə],[sˈaʊθ tʃˈaɪnə tˈaɪɡɚ],multiword proper-case,proper-case
KV002655,new-third-party-stable,unreleased,South Pole,南极,南极,[sˈaʊθ pˈəʊl],[sˈaʊθ pˈoʊl],multiword proper-case,proper-case
KV002661,new-third-party-stable,unreleased,speak English,说英语；讲英语,说英语；讲英语,[spˈiːk ˈɪŋɡlɪʃ],[spˈiːk ˈɪŋɡlɪʃ],multiword proper-case,proper-case
KV002668,new-third-party-stable,unreleased,Sports Day,学校运动会；运动日,学校运动会；运动日,[spˈɔːts dˈeɪ],[spˈoːɹts dˈeɪ],multiword proper-case,proper-case
KV002669,new-third-party-stable,unreleased,sports meeting,运动会,运动会,[spˈɔːts mˈiːtɪŋ],[spˈoːɹts mˈiːɾɪŋ],multiword,flap-allophone
KV002673,new-third-party-stable,unreleased,Spring Festival,春节,春节,[spɹˈɪŋ fˈɛstɪvəl],[spɹˈɪŋ fˈɛstɪvəl],multiword proper-case,proper-case
KV002674,new-third-party-stable,unreleased,spring outing,春游,春游,[spɹˈɪŋ ˈaʊtɪŋ],[spɹˈɪŋ ˈaʊɾɪŋ],multiword,flap-allophone
KV002722,new-third-party-stable,unreleased,Summer Olympics,夏季奥运会,夏季奥运会,[sˈʌməɹ əlˈɪmpɪks],[sˈʌmɚɹ əlˈɪmpɪks],multiword proper-case,proper-case
KV002723,new-third-party-stable,unreleased,Summer Palace,颐和园,颐和园,[sˈʌmə pˈalɪs],[sˈʌmɚ pˈælɪs],multiword proper-case,proper-case
KV002725,new-third-party-stable,unreleased,Sun Moon Lake,日月潭,日月潭,[sˈʌn mˈuːn lˈeɪk],[sˈʌn mˈuːn lˈeɪk],multiword proper-case,proper-case
