NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001483,We put gifts under the tree on Christmas Eve.,圣诞前夜我们把礼物放在树下。,model-curated,third-party-learner-content-v1
KV001484,The little train began to chug along.,小火车开始轧轧地向前开。,model-curated,third-party-learner-content-v1
KV001485,There is an old church near the square.,广场附近有一座老教堂。,model-curated,third-party-learner-content-v1
KV001486,We watched a film at the cinema.,我们在电影院看了一部电影。,model-curated,third-party-learner-content-v1
KV001487,Draw a circle around the answer.,在答案外面画一个圆。,model-curated,third-party-learner-content-v1
KV001488,We saw clowns at the circus.,我们在马戏团看到了小丑。,model-curated,third-party-learner-content-v1
KV001489,Everyone began to clap after the song.,歌曲结束后大家开始鼓掌。,model-curated,third-party-learner-content-v1
KV001490,The children played a clapping game.,孩子们玩了一个拍手游戏。,model-curated,third-party-learner-content-v1
KV001491,I clean my room every Saturday.,我每周六打扫我的房间。,model-curated,third-party-learner-content-v1
KV001492,The water is clear enough to see the fish.,水很清澈可以看见鱼。,model-curated,third-party-learner-content-v1
KV001493,The hotel clerk gave us the key.,旅馆职员把钥匙给了我们。,model-curated,third-party-learner-content-v1
KV001494,The children like to climb trees.,孩子们喜欢爬树。,model-curated,third-party-learner-content-v1
KV001495,The clown made everyone laugh.,小丑把大家逗笑了。,model-curated,third-party-learner-content-v1
KV001496,I joined the school science club.,我加入了学校科学社团。,model-curated,third-party-learner-content-v1
KV001497,Our coach showed us how to throw the ball.,教练教我们怎样投球。,model-curated,third-party-learner-content-v1
KV001498,People once used coal to heat their homes.,过去人们用煤取暖。,model-curated,third-party-learner-content-v1
KV001499,The butterfly came out of its cocoon.,蝴蝶从茧里出来了。,model-curated,third-party-learner-content-v1
KV001500,Dad drinks coffee in the morning.,爸爸早上喝咖啡。,model-curated,third-party-learner-content-v1
KV001501,I found a coin under the chair.,我在椅子下面发现了一枚硬币。,model-curated,third-party-learner-content-v1
KV001502,He ordered a coke with his lunch.,他午餐时点了一杯可乐。,model-curated,third-party-learner-content-v1
KV001503,This shirt has a white collar.,这件衬衫有一个白色衣领。,model-curated,third-party-learner-content-v1
KV001504,I collect stamps from different countries.,我收集不同国家的邮票。,model-curated,third-party-learner-content-v1
KV001505,My sister wants to go to college.,我姐姐想上大学。,model-curated,third-party-learner-content-v1
KV001506,The garden is full of colorful flowers.,花园里开满了色彩鲜艳的花。,model-curated,third-party-learner-content-v1
