NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001963,I am interested in science.,我对科学感兴趣。,model-curated,third-party-learner-content-v1
KV001964,Children enjoy games on International Children's Day.,孩子们在国际儿童节享受游戏活动。,model-curated,third-party-learner-content-v1
KV001965,The reporter will interview our teacher.,记者将采访我们的老师。,model-curated,third-party-learner-content-v1
KV001966,The interviewer asked three questions.,采访者问了三个问题。,model-curated,third-party-learner-content-v1
KV001967,Let me introduce my new friend.,让我介绍一下我的新朋友。,model-curated,third-party-learner-content-v1
KV001968,She gave a short introduction before her talk.,她在讲话前作了简短介绍。,model-curated,third-party-learner-content-v1
KV001969,Thank you for the birthday invitation.,谢谢你的生日邀请。,model-curated,third-party-learner-content-v1
KV001970,I want to invite Amy to my party.,我想邀请艾米参加我的聚会。,model-curated,third-party-learner-content-v1
KV001971,I read books on my iPad.,我用iPad读书。,model-curated,third-party-learner-content-v1
KV001972,His iPhone is on the desk.,他的iPhone在桌上。,model-curated,third-party-learner-content-v1
KV001973,She listened to music on her iPod.,她用iPod听音乐。,model-curated,third-party-learner-content-v1
KV001974,Mum will iron my school shirt.,妈妈会熨我的校服衬衫。,model-curated,third-party-learner-content-v1
KV001975,We ate at an Italian restaurant.,我们在一家意大利餐厅吃饭。,model-curated,third-party-learner-content-v1
KV001976,Rome is the capital of Italy.,罗马是意大利的首都。,model-curated,third-party-learner-content-v1
KV001977,We made a jack-o'-lantern for Halloween.,我们为万圣节做了一个南瓜灯。,model-curated,third-party-learner-content-v1
KV001978,I spread strawberry jam on my bread.,我把草莓果酱涂在面包上。,model-curated,third-party-learner-content-v1
KV001979,Tokyo is the capital of Japan.,东京是日本的首都。,model-curated,third-party-learner-content-v1
KV001980,My friend is learning Japanese.,我的朋友正在学习日语。,model-curated,third-party-learner-content-v1
KV001981,The jasmine flowers smell sweet.,茉莉花闻起来很香。,model-curated,third-party-learner-content-v1
KV001982,I wear jeans on weekends.,我周末穿牛仔裤。,model-curated,third-party-learner-content-v1
KV001983,The jeep drove along the rough road.,吉普车沿着崎岖的路行驶。,model-curated,third-party-learner-content-v1
KV001984,The children had fruit jelly for dessert.,孩子们甜点吃了水果果冻。,model-curated,third-party-learner-content-v1
KV001985,A jet flew high above us.,一架喷气式飞机从我们头顶高空飞过。,model-curated,third-party-learner-content-v1
KV001986,He rode a jet-ski on the lake.,他在湖上骑水上摩托。,model-curated,third-party-learner-content-v1
KV001987,We make jiaozi for Chinese New Year.,我们春节包饺子。,model-curated,third-party-learner-content-v1
KV001988,I jog in the park every morning.,我每天早上在公园慢跑。,model-curated,third-party-learner-content-v1
KV001989,Would you like to join our club?,你想加入我们的社团吗？,model-curated,third-party-learner-content-v1
KV001990,Dad told us a funny joke.,爸爸给我们讲了一个好笑的笑话。,model-curated,third-party-learner-content-v1
KV001991,The train journey took three hours.,火车行程用了三个小时。,model-curated,third-party-learner-content-v1
KV001992,The good news filled us with joy.,这个好消息让我们充满喜悦。,model-curated,third-party-learner-content-v1
KV001993,He can juggle three balls.,他能同时抛接三个球玩杂耍。,model-curated,third-party-learner-content-v1
KV001994,The juggler threw five balls into the air.,杂耍演员把五个球抛到空中。,model-curated,third-party-learner-content-v1
KV001995,Many animals live in the jungle.,许多动物生活在丛林里。,model-curated,third-party-learner-content-v1
KV001996,My cousin starts junior high school next year.,我表哥明年上初中。,model-curated,third-party-learner-content-v1
KV001997,Too much junk food is not healthy.,吃太多垃圾食品不健康。,model-curated,third-party-learner-content-v1
KV001998,She learns karate after school.,她放学后学习空手道。,model-curated,third-party-learner-content-v1
KV001999,Keep on trying and you will improve.,继续努力你会进步的。,model-curated,third-party-learner-content-v1
KV002000,Please keep quiet in the library.,在图书馆请保持安静。,model-curated,third-party-learner-content-v1
KV002001,I cannot find my house key.,我找不到家门钥匙了。,model-curated,third-party-learner-content-v1
KV002002,My computer keyboard is black.,我的电脑键盘是黑色的。,model-curated,third-party-learner-content-v1
KV002003,The cold weather can kill small plants.,寒冷的天气会冻死小植物。,model-curated,third-party-learner-content-v1
KV002004,My little brother goes to kindergarten.,我弟弟上幼儿园。,model-curated,third-party-learner-content-v1
KV002005,A kingfisher flew over the river.,一只翠鸟飞过河面。,model-curated,third-party-learner-content-v1
KV002006,Mum gave me a kiss before bed.,妈妈睡前亲了我一下。,model-curated,third-party-learner-content-v1
KV002007,The kiwi cannot fly.,几维鸟不会飞。,model-curated,third-party-learner-content-v1
KV002008,I hurt my knee while running.,我跑步时伤了膝盖。,model-curated,third-party-learner-content-v1
KV002009,Please knock before you enter.,进去前请先敲门。,model-curated,third-party-learner-content-v1
KV002010,The strong wind knocked down the old fence.,大风刮倒了旧栅栏。,model-curated,third-party-learner-content-v1
KV002011,My brother practices kung fu every week.,我哥哥每周练功夫。,model-curated,third-party-learner-content-v1
KV002012,We watched Kung Fu Panda together.,我们一起看了《功夫熊猫》。,model-curated,third-party-learner-content-v1
KV002013,The L. A. Lakers play basketball.,洛杉矶湖人队打篮球。,model-curated,third-party-learner-content-v1
KV002014,L.A. is a large city in California.,洛杉矶是加利福尼亚州的一座大城市。,model-curated,third-party-learner-content-v1
KV002015,We did the experiment in the science lab.,我们在科学实验室做了实验。,model-curated,third-party-learner-content-v1
