NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001387,They plan to build a new school.,他们计划建一所新学校。,model-curated,third-party-learner-content-v1
KV001388,The builder is fixing the wall.,建筑工人正在修墙。,model-curated,third-party-learner-content-v1
KV001389,That tall building is our library.,那栋高楼是我们的图书馆。,model-curated,third-party-learner-content-v1
KV001390,We need a new bulb for the lamp.,这盏灯需要一个新灯泡。,model-curated,third-party-learner-content-v1
KV001391,The police found a bullet on the ground.,警察在地上发现了一颗子弹。,model-curated,third-party-learner-content-v1
KV001392,Be careful not to bump your head.,小心别撞到头。,model-curated,third-party-learner-content-v1
KV001393,We rode a bumper car at the park.,我们在游乐园开了碰碰车。,model-curated,third-party-learner-content-v1
KV001394,I had a warm bun for breakfast.,我早餐吃了一个热乎乎的小圆面包。,model-curated,third-party-learner-content-v1
KV001395,We walked along the Bund in Shanghai.,我们沿着上海外滩散步。,model-curated,third-party-learner-content-v1
KV001396,The little bunny is eating grass.,小兔子正在吃草。,model-curated,third-party-learner-content-v1
KV001397,Do not burn the paper.,不要烧这张纸。,model-curated,third-party-learner-content-v1
KV001398,The fire could burn down the old house.,大火可能会烧毁那座老房子。,model-curated,third-party-learner-content-v1
KV001399,I take the bus to school.,我坐公交车去上学。,model-curated,third-party-learner-content-v1
KV001400,A small bird is hiding in the bush.,一只小鸟躲在灌木丛里。,model-curated,third-party-learner-content-v1
KV001401,The businessman travels a lot for work.,那位商人经常因工作出差。,model-curated,third-party-learner-content-v1
KV001402,Please put some butter on my bread.,请在我的面包上涂一些黄油。,model-curated,third-party-learner-content-v1
KV001403,This shirt has a missing button.,这件衬衫少了一颗纽扣。,model-curated,third-party-learner-content-v1
KV001404,Press the green button to start.,按绿色按钮开始。,model-curated,third-party-learner-content-v1
KV001405,We went there by train.,我们乘火车去了那里。,model-curated,third-party-learner-content-v1
KV001406,This card was made by hand.,这张卡片是手工制作的。,model-curated,third-party-learner-content-v1
KV001407,Bye! See you tomorrow.,再见！明天见。,model-curated,third-party-learner-content-v1
KV001408,We cooked cabbage for dinner.,我们晚饭做了卷心菜。,model-curated,third-party-learner-content-v1
KV001409,These cabbages are fresh.,这些卷心菜很新鲜。,model-curated,third-party-learner-content-v1
KV001410,A cactus can live with little water.,仙人掌用很少的水也能生存。,model-curated,third-party-learner-content-v1
KV001411,The rabbit is sleeping in its cage.,兔子正在笼子里睡觉。,model-curated,third-party-learner-content-v1
KV001412,Can you calculate the total?,你能算出总数吗？,model-curated,third-party-learner-content-v1
KV001413,I marked the date on my calendar.,我在日历上标出了日期。,model-curated,third-party-learner-content-v1
KV001414,California is on the west coast of the United States.,加利福尼亚州在美国西海岸。,model-curated,third-party-learner-content-v1
KV001415,I took a photo with my camera.,我用相机拍了一张照片。,model-curated,third-party-learner-content-v1
KV001416,We put up our tent at the campsite.,我们在露营地搭起了帐篷。,model-curated,third-party-learner-content-v1
KV001417,Canberra is the capital of Australia.,堪培拉是澳大利亚的首都。,model-curated,third-party-learner-content-v1
KV001418,She lit a candle on the cake.,她点亮了蛋糕上的一支蜡烛。,model-curated,third-party-learner-content-v1
KV001419,He bought a candy bar at the shop.,他在商店买了一根糖果棒。,model-curated,third-party-learner-content-v1
KV001420,We eat lunch in the school canteen.,我们在学校食堂吃午饭。,model-curated,third-party-learner-content-v1
KV001421,Beijing is the capital of China.,北京是中国的首都。,model-curated,third-party-learner-content-v1
KV001422,Our captain led the team onto the field.,我们的队长带队走上球场。,model-curated,third-party-learner-content-v1
KV001423,We saw many old cars at the car museum.,我们在汽车博物馆看到了许多老汽车。,model-curated,third-party-learner-content-v1
KV001424,We made a model house from cardboard.,我们用硬纸板做了一个模型房子。,model-curated,third-party-learner-content-v1
KV001425,She wore a warm cardigan.,她穿着一件暖和的开襟毛衣。,model-curated,third-party-learner-content-v1
KV001426,Grandma takes care of the flowers every day.,奶奶每天照顾这些花。,model-curated,third-party-learner-content-v1
KV001427,Be careful on the wet floor.,在湿地板上要小心。,model-curated,third-party-learner-content-v1
KV001428,Please carry the glass carefully.,请小心地拿这个玻璃杯。,model-curated,third-party-learner-content-v1
