NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV002635,We play soccer after school.,我们放学后踢足球。,model-curated,third-party-learner-content-v1
KV002636,I cannot find my other sock.,我找不到另一只短袜了。,model-curated,third-party-learner-content-v1
KV002637,This pillow is very soft.,这个枕头很柔软。,model-curated,third-party-learner-content-v1
KV002638,The little girl sleeps with her soft toy.,小女孩抱着软体玩具睡觉。,model-curated,third-party-learner-content-v1
KV002639,She spoke softly to the baby.,她轻声对宝宝说话。,model-curated,third-party-learner-content-v1
KV002640,The soldier stood beside the gate.,士兵站在大门旁边。,model-curated,third-party-learner-content-v1
KV002641,I need some water.,我需要一些水。,model-curated,third-party-learner-content-v1
KV002642,We stayed there for some time.,我们在那里待了一段时间。,model-curated,third-party-learner-content-v1
KV002643,Someday I want to visit Australia.,有一天我想去澳大利亚。,model-curated,third-party-learner-content-v1
KV002644,Someone is waiting at the door.,有人在门口等着。,model-curated,third-party-learner-content-v1
KV002645,I found something under the table.,我在桌子下面发现了某个东西。,model-curated,third-party-learner-content-v1
KV002646,Let's meet for lunch sometime.,改天我们一起吃午饭吧。,model-curated,third-party-learner-content-v1
KV002647,I left my hat somewhere in the park.,我把帽子落在公园某个地方了。,model-curated,third-party-learner-content-v1
KV002648,Their son is in my class.,他们的儿子和我在一个班。,model-curated,third-party-learner-content-v1
KV002649,This is my favorite song.,这是我最喜欢的歌曲。,model-curated,third-party-learner-content-v1
KV002650,My legs are sore after the long walk.,走了很长的路后我的腿很疼。,model-curated,third-party-learner-content-v1
KV002651,The sad story filled her with sorrow.,这个悲伤的故事让她很难过。,model-curated,third-party-learner-content-v1
KV002652,This lemon tastes sour.,这个柠檬尝起来很酸。,model-curated,third-party-learner-content-v1
KV002653,South Africa is at the southern end of Africa.,南非位于非洲南部。,model-curated,third-party-learner-content-v1
KV002654,The South China Tiger is very rare.,华南虎非常稀少。,model-curated,third-party-learner-content-v1
KV002655,The South Pole is covered with ice.,南极被冰雪覆盖。,model-curated,third-party-learner-content-v1
KV002656,The village is south-east of the city.,这个村庄在城市东南方向。,model-curated,third-party-learner-content-v1
KV002657,The lake is south-west of our town.,这个湖在我们镇的西南方向。,model-curated,third-party-learner-content-v1
KV002658,I drink warm soya milk for breakfast.,我早餐喝热豆浆。,model-curated,third-party-learner-content-v1
KV002659,The spacecraft travelled around Earth.,航天器绕地球飞行。,model-curated,third-party-learner-content-v1
KV002660,We had spaghetti for dinner.,我们晚饭吃了意大利面。,model-curated,third-party-learner-content-v1
KV002661,We try to speak English in class.,我们在课堂上尽量说英语。,model-curated,third-party-learner-content-v1
KV002662,She gave a short speech at school.,她在学校作了一个简短演讲。,model-curated,third-party-learner-content-v1
KV002663,Can you spell your name?,你能拼写你的名字吗？,model-curated,third-party-learner-content-v1
KV002664,A spider made a web by the window.,一只蜘蛛在窗边结了网。,model-curated,third-party-learner-content-v1
KV002665,Spiderman is a famous superhero.,蜘蛛侠是一位著名的超级英雄。,model-curated,third-party-learner-content-v1
KV002666,Do not spit on the ground.,不要随地吐痰。,model-curated,third-party-learner-content-v1
KV002667,My brother is a real sport-lover.,我哥哥是个真正的体育爱好者。,model-curated,third-party-learner-content-v1
KV002668,We ran races on Sports Day.,我们在学校运动会上参加了赛跑。,model-curated,third-party-learner-content-v1
KV002669,Our sports meeting is next Friday.,我们的运动会在下周五。,model-curated,third-party-learner-content-v1
KV002670,I wear sports shoes for PE class.,我体育课穿运动鞋。,model-curated,third-party-learner-content-v1
KV002671,The young sports star signed my shirt.,那位年轻体育明星在我的衬衫上签了名。,model-curated,third-party-learner-content-v1
KV002672,Spread some jam on the bread.,在面包上涂一些果酱。,model-curated,third-party-learner-content-v1
KV002673,Our family gets together for the Spring Festival.,我们全家春节团聚。,model-curated,third-party-learner-content-v1
KV002674,Our class went on a spring outing.,我们班去春游了。,model-curated,third-party-learner-content-v1
