NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001579,The water is very deep here.,这里的水很深。,model-curated,third-party-learner-content-v1
KV001580,We saw a deer in the forest.,我们在森林里看到了一只鹿。,model-curated,third-party-learner-content-v1
KV001581,The temperature is twenty degrees today.,今天的温度是二十度。,model-curated,third-party-learner-content-v1
KV001582,I went to the dentist because my tooth hurt.,我牙疼所以去看了牙医。,model-curated,third-party-learner-content-v1
KV001583,We bought clothes at the department store.,我们在百货商店买了衣服。,model-curated,third-party-learner-content-v1
KV001584,Our departure is at eight in the morning.,我们早上八点出发。,model-curated,third-party-learner-content-v1
KV001585,Very little rain falls in the desert.,沙漠里很少下雨。,model-curated,third-party-learner-content-v1
KV001586,She will design a poster for the show.,她将为演出设计一张海报。,model-curated,third-party-learner-content-v1
KV001587,We had ice cream for dessert.,我们餐后吃了冰淇淋甜点。,model-curated,third-party-learner-content-v1
KV001588,The detective asked many questions.,侦探问了很多问题。,model-curated,third-party-learner-content-v1
KV001589,Please read the dialogue with your partner.,请和你的搭档一起读这段对话。,model-curated,third-party-learner-content-v1
KV001590,The ring has a small diamond.,这枚戒指上有一颗小钻石。,model-curated,third-party-learner-content-v1
KV001591,Roll the dice and move your piece.,掷骰子然后移动你的棋子。,model-curated,third-party-learner-content-v1
KV001592,I looked up the word in a dictionary.,我在词典里查了这个词。,model-curated,third-party-learner-content-v1
KV001593,Plants die without water.,植物没有水会死。,model-curated,third-party-learner-content-v1
KV001594,This math problem is difficult.,这道数学题很难。,model-curated,third-party-learner-content-v1
KV001595,The dog likes to dig in the garden.,狗喜欢在花园里挖土。,model-curated,third-party-learner-content-v1
KV001596,This is a digital clock.,这是一个数字时钟。,model-curated,third-party-learner-content-v1
KV001597,We ordered dimsum for lunch.,我们午餐点了中式点心。,model-curated,third-party-learner-content-v1
KV001598,Which direction should we go?,我们应该往哪个方向走？,model-curated,third-party-learner-content-v1
KV001599,The rainbow began to disappear.,彩虹开始消失了。,model-curated,third-party-learner-content-v1
KV001600,The museum will display the old coins.,博物馆将展示这些古硬币。,model-curated,third-party-learner-content-v1
KV001601,I felt dizzy after spinning around.,我转圈后感到头晕。,model-curated,third-party-learner-content-v1
KV001602,What do you want to do today?,你今天想做什么？,model-curated,third-party-learner-content-v1
KV001603,Our class will do a survey about pets.,我们班将做一个关于宠物的调查。,model-curated,third-party-learner-content-v1
KV001604,I do exercise every morning.,我每天早上锻炼。,model-curated,third-party-learner-content-v1
KV001605,I do homework after dinner.,我晚饭后做作业。,model-curated,third-party-learner-content-v1
KV001606,We do jigsaw puzzles on rainy days.,下雨天我们拼拼图。,model-curated,third-party-learner-content-v1
KV001607,They do kung fu in the school yard.,他们在校园里练功夫。,model-curated,third-party-learner-content-v1
KV001608,We need to buy more dog food.,我们需要再买一些狗粮。,model-curated,third-party-learner-content-v1
KV001609,We tried dog sledding in the snow.,我们在雪地里体验了狗拉雪橇。,model-curated,third-party-learner-content-v1
KV001610,The little doggie followed me home.,那只小狗跟着我回家了。,model-curated,third-party-learner-content-v1
KV001611,This book costs five dollars.,这本书五美元。,model-curated,third-party-learner-content-v1
KV001612,A dolphin jumped out of the water.,一只海豚跃出了水面。,model-curated,third-party-learner-content-v1
KV001613,Donald Duck is a famous cartoon character.,唐老鸭是一个著名的卡通角色。,model-curated,third-party-learner-content-v1
KV001614,The donkey carried a heavy bag.,驴子驮着一个很重的袋子。,model-curated,third-party-learner-content-v1
KV001615,Someone rang the doorbell.,有人按了门铃。,model-curated,third-party-learner-content-v1
KV001616,Put a red dot beside the answer.,在答案旁边画一个红点。,model-curated,third-party-learner-content-v1
KV001617,Cut along the dotted line.,沿着虚线剪。,model-curated,third-party-learner-content-v1
KV001618,We visit older family members during the Double Ninth Festival.,重阳节期间我们去看望家里的老人。,model-curated,third-party-learner-content-v1
KV001619,We rode a red double-decker in London.,我们在伦敦坐了一辆红色双层巴士。,model-curated,third-party-learner-content-v1
KV001620,The ball rolled down the hill.,球滚下了山坡。,model-curated,third-party-learner-content-v1
KV001621,My shoes are downstairs.,我的鞋在楼下。,model-curated,third-party-learner-content-v1
KV001622,The story is about a friendly dragon.,这个故事讲的是一条友善的龙。,model-curated,third-party-learner-content-v1
KV001623,The dragon boat moved quickly on the river.,龙舟在河上快速前进。,model-curated,third-party-learner-content-v1
KV001624,We eat zongzi during the Dragon Boat Festival.,端午节期间我们吃粽子。,model-curated,third-party-learner-content-v1
KV001625,Our class watched a dragon boat race.,我们班观看了一场龙舟赛。,model-curated,third-party-learner-content-v1
KV001626,We saw a dragon dance in the street.,我们在街上看到了舞龙表演。,model-curated,third-party-learner-content-v1
KV001627,We acted in a short drama at school.,我们在学校演了一出短剧。,model-curated,third-party-learner-content-v1
KV001628,I like to draw animals.,我喜欢画动物。,model-curated,third-party-learner-content-v1
KV001629,My brother likes to draw cartoons.,我哥哥喜欢画卡通。,model-curated,third-party-learner-content-v1
KV001630,This drawing is for my mother.,这幅画是送给妈妈的。,model-curated,third-party-learner-content-v1
KV001631,We were dressed and ready to leave.,我们穿好衣服准备出发了。,model-curated,third-party-learner-content-v1
KV001632,Dad used a drill to make a hole.,爸爸用电钻打了一个孔。,model-curated,third-party-learner-content-v1
KV001633,Do not drink cold drinks too quickly.,不要太快喝冷饮。,model-curated,third-party-learner-content-v1
KV001634,My wet coat was dripping on the floor.,我的湿外套正在往地板上滴水。,model-curated,third-party-learner-content-v1
KV001635,We shouted to drive away the birds.,我们大声喊叫把鸟赶走。,model-curated,third-party-learner-content-v1
KV001636,He played the drum in the school band.,他在学校乐队里打鼓。,model-curated,third-party-learner-content-v1
KV001637,The drummer kept a steady beat.,鼓手保持着稳定的节拍。,model-curated,third-party-learner-content-v1
KV001638,The duckling followed its mother.,小鸭子跟着它的妈妈。,model-curated,third-party-learner-content-v1
KV001639,We visited Dunvegan Castle in Scotland.,我们参观了苏格兰的Dunvegan Castle。,model-curated,third-party-learner-content-v1
KV001640,Please stay quiet during the test.,考试期间请保持安静。,model-curated,third-party-learner-content-v1
KV001641,I dust my desk every Friday.,我每周五给书桌除尘。,model-curated,third-party-learner-content-v1
KV001642,We watched the film on DVD.,我们用DVD看了这部电影。,model-curated,third-party-learner-content-v1
KV001643,I read an e-book on my tablet.,我在平板电脑上读了一本电子书。,model-curated,third-party-learner-content-v1
KV001644,I sent Grandma an e-card for her birthday.,我给奶奶发了一张生日电子贺卡。,model-curated,third-party-learner-content-v1
KV001645,My e-friend lives in another city.,我的网友住在另一个城市。,model-curated,third-party-learner-content-v1
KV001646,She solved the puzzle easily.,她很容易地解开了这个谜题。,model-curated,third-party-learner-content-v1
KV001647,Children look for eggs at Easter.,孩子们在复活节寻找彩蛋。,model-curated,third-party-learner-content-v1
KV001648,The Easter Bunny brought colorful eggs.,复活节兔子带来了彩色的蛋。,model-curated,third-party-learner-content-v1
KV001649,We sometimes eat out on Friday night.,我们有时星期五晚上外出吃饭。,model-curated,third-party-learner-content-v1
KV001650,Edinburgh is a city in Scotland.,爱丁堡是苏格兰的一座城市。,model-curated,third-party-learner-content-v1
KV001651,Edison was a famous American inventor.,爱迪生是一位著名的美国发明家。,model-curated,third-party-learner-content-v1
KV001652,We cooked eggplants with tomatoes.,我们把茄子和西红柿一起做了。,model-curated,third-party-learner-content-v1
KV001653,The Nile River runs through Egypt.,尼罗河流经埃及。,model-curated,third-party-learner-content-v1
KV001654,There are eighteen students in the room.,房间里有十八名学生。,model-curated,third-party-learner-content-v1
KV001655,Today is her eighteenth birthday.,今天是她十八岁生日。,model-curated,third-party-learner-content-v1
KV001656,My classroom is on the eighth floor.,我的教室在八楼。,model-curated,third-party-learner-content-v1
KV001657,There are eighty pages in this book.,这本书有八十页。,model-curated,third-party-learner-content-v1
KV001658,You can take either bus.,两辆公交车你坐哪一辆都可以。,model-curated,third-party-learner-content-v1
KV001659,I bumped my elbow on the desk.,我的肘撞到了桌子。,model-curated,third-party-learner-content-v1
KV001660,My little sister goes to elementary school.,我妹妹上小学。,model-curated,third-party-learner-content-v1
KV001661,She finished eleventh in the race.,她在比赛中获得第十一名。,model-curated,third-party-learner-content-v1
KV001662,Call this number in an emergency.,遇到紧急情况请拨打这个号码。,model-curated,third-party-learner-content-v1
KV001663,The emperor lived in a large palace.,皇帝住在一座大宫殿里。,model-curated,third-party-learner-content-v1
KV001664,We reached the end of the road.,我们到了这条路的尽头。,model-curated,third-party-learner-content-v1
KV001665,My uncle is an engineer.,我叔叔是一名工程师。,model-curated,third-party-learner-content-v1
KV001666,London is in England.,伦敦在英格兰。,model-curated,third-party-learner-content-v1
KV001667,My English book is in my bag.,我的英语书在书包里。,model-curated,third-party-learner-content-v1
KV001668,We sing songs in English class.,我们在英语课上唱歌。,model-curated,third-party-learner-content-v1
KV001669,Please enter the room quietly.,请安静地进入房间。,model-curated,third-party-learner-content-v1
KV001670,Meet me at the main entrance.,在正门入口处等我。,model-curated,third-party-learner-content-v1
KV001671,I sent my entry for the school race.,我提交了学校比赛的报名。,model-curated,third-party-learner-content-v1
KV001672,Put the letter in the envelope.,把信放进信封里。,model-curated,third-party-learner-content-v1
KV001673,We should protect the environment.,我们应该保护环境。,model-curated,third-party-learner-content-v1
KV001674,We took the escalator to the second floor.,我们乘自动扶梯去了二楼。,model-curated,third-party-learner-content-v1
