NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV002443,The ranger showed us the forest trail.,护林员给我们指了森林小路。,model-curated,third-party-learner-content-v1
KV002444,A rat ran behind the boxes.,一只大老鼠跑到了箱子后面。,model-curated,third-party-learner-content-v1
KV002445,We will reach the station before noon.,我们会在中午前到达车站。,model-curated,third-party-learner-content-v1
KV002446,Is this a real diamond?,这是一颗真正的钻石吗？,model-curated,third-party-learner-content-v1
KV002447,I received a letter from my cousin.,我收到了一封表哥的来信。,model-curated,third-party-learner-content-v1
KV002448,This recipe is easy to follow.,这个食谱很容易照着做。,model-curated,third-party-learner-content-v1
KV002449,She plays the recorder in music class.,她在音乐课上吹直笛。,model-curated,third-party-learner-content-v1
KV002450,Draw a rectangle on the paper.,在纸上画一个长方形。,model-curated,third-party-learner-content-v1
KV002451,We recycle paper and bottles at school.,我们在学校回收纸张和瓶子。,model-curated,third-party-learner-content-v1
KV002452,Grandma gave me a red packet.,奶奶给了我一个红包。,model-curated,third-party-learner-content-v1
KV002453,Many relatives came to the family dinner.,很多亲戚来参加家庭聚餐。,model-curated,third-party-learner-content-v1
KV002454,Sit down and relax for a while.,坐下来放松一会儿吧。,model-curated,third-party-learner-content-v1
KV002455,Please remember to bring your book.,请记得带上你的书。,model-curated,third-party-learner-content-v1
KV002456,Please reply to my message tonight.,请今晚回复我的消息。,model-curated,third-party-learner-content-v1
KV002457,She gave a report about her trip.,她作了一份关于旅行的报告。,model-curated,third-party-learner-content-v1
KV002458,The reporter asked the player a question.,记者问了运动员一个问题。,model-curated,third-party-learner-content-v1
KV002459,We did some research about pandas.,我们做了一些关于熊猫的研究。,model-curated,third-party-learner-content-v1
KV002460,The restroom is beside the lift.,洗手间在电梯旁边。,model-curated,third-party-learner-content-v1
KV002461,We will return home on Sunday.,我们星期天回家。,model-curated,third-party-learner-content-v1
KV002462,The holiday dinner was a family reunion.,节日晚餐是一次家庭团聚。,model-curated,third-party-learner-content-v1
KV002463,A rhino has thick skin.,犀牛有很厚的皮。,model-curated,third-party-learner-content-v1
KV002464,We ate rice cake during the festival.,节日期间我们吃了年糕。,model-curated,third-party-learner-content-v1
KV002465,We eat rice dumplings during the Dragon Boat Festival.,端午节我们吃粽子。,model-curated,third-party-learner-content-v1
KV002466,The rich man gave money to the school.,那位富人给学校捐了钱。,model-curated,third-party-learner-content-v1
KV002467,I ride my bike to the park.,我骑自行车去公园。,model-curated,third-party-learner-content-v1
KV002468,The rider wore a helmet.,骑手戴着头盔。,model-curated,third-party-learner-content-v1
KV002469,Come here right away.,马上到这里来。,model-curated,third-party-learner-content-v1
KV002470,I heard the phone ring.,我听见电话响了。,model-curated,third-party-learner-content-v1
KV002471,The sun will rise at six.,太阳将在六点升起。,model-curated,third-party-learner-content-v1
KV002472,We sat on the riverbank and ate lunch.,我们坐在河岸边吃午饭。,model-curated,third-party-learner-content-v1
KV002473,This road leads to the village.,这条路通向村庄。,model-curated,third-party-learner-content-v1
KV002474,We heard a lion roar at the zoo.,我们在动物园听到狮子吼叫。,model-curated,third-party-learner-content-v1
KV002475,The robber ran away with the bag.,强盗拿着包逃跑了。,model-curated,third-party-learner-content-v1
KV002476,I found a smooth rock by the river.,我在河边发现了一块光滑的石头。,model-curated,third-party-learner-content-v1
KV002477,My dad likes old rock'n'roll songs.,我爸爸喜欢老摇滚歌曲。,model-curated,third-party-learner-content-v1
KV002478,She played the role of a doctor.,她扮演了医生这个角色。,model-curated,third-party-learner-content-v1
KV002479,My teacher is a good role model for me.,我的老师是我的好榜样。,model-curated,third-party-learner-content-v1
KV002480,The ball began to roll down the hill.,球开始滚下山坡。,model-curated,third-party-learner-content-v1
KV002481,We rode the roller coaster twice.,我们坐了两次过山车。,model-curated,third-party-learner-content-v1
KV002482,They watched a romantic film together.,他们一起看了一部爱情电影。,model-curated,third-party-learner-content-v1
KV002483,Rome is the capital of Italy.,罗马是意大利的首都。,model-curated,third-party-learner-content-v1
KV002484,A bird is sitting on the roof.,一只鸟停在屋顶上。,model-curated,third-party-learner-content-v1
KV002485,He gave his mother a red rose.,他送给妈妈一朵红玫瑰。,model-curated,third-party-learner-content-v1
KV002486,The road is rough after the rain.,下雨后这条路很不平。,model-curated,third-party-learner-content-v1
KV002487,Reading before bed is part of my routine.,睡前阅读是我日常安排的一部分。,model-curated,third-party-learner-content-v1
KV002488,We row across the lake in summer.,夏天我们划船过湖。,model-curated,third-party-learner-content-v1
KV002489,These boots are made of rubber.,这些靴子是橡胶做的。,model-curated,third-party-learner-content-v1
KV002490,Please do not leave rubbish on the beach.,请不要把垃圾留在海滩上。,model-curated,third-party-learner-content-v1
KV002491,Put the bottle in the rubbish bin.,把瓶子放进垃圾桶。,model-curated,third-party-learner-content-v1
KV002492,We will run a race at sports day.,运动会上我们要参加赛跑。,model-curated,third-party-learner-content-v1
KV002493,The rabbit saw us and ran away.,兔子看见我们就跑开了。,model-curated,third-party-learner-content-v1
KV002494,The runner crossed the finish line first.,赛跑运动员第一个冲过终点线。,model-curated,third-party-learner-content-v1
KV002495,She won the running race.,她赢得了赛跑比赛。,model-curated,third-party-learner-content-v1
KV002496,Moscow is the capital of Russia.,莫斯科是俄罗斯的首都。,model-curated,third-party-learner-content-v1
KV002497,The farmer carried a sack of rice.,农民扛着一大袋米。,model-curated,third-party-learner-content-v1
KV002498,She sadly waved goodbye.,她伤心地挥手告别。,model-curated,third-party-learner-content-v1
KV002499,We saw giraffes at the safari park.,我们在野生动物园看到了长颈鹿。,model-curated,third-party-learner-content-v1
KV002500,The plane landed safely.,飞机安全降落了。,model-curated,third-party-learner-content-v1
KV002501,Wear a helmet for your safety.,为了安全请戴头盔。,model-curated,third-party-learner-content-v1
KV002502,The sales assistant helped me find my size.,售货员帮我找到了合适的尺码。,model-curated,third-party-learner-content-v1
KV002503,The salesperson showed us two jackets.,售货员给我们看了两件夹克。,model-curated,third-party-learner-content-v1
KV002504,Please add a little salt to the soup.,请在汤里加一点盐。,model-curated,third-party-learner-content-v1
KV002505,The soup is too salty.,这个汤太咸了。,model-curated,third-party-learner-content-v1
KV002506,We are in the same class.,我们在同一个班。,model-curated,third-party-learner-content-v1
KV002507,San Francisco is a city in California.,旧金山是加利福尼亚州的一座城市。,model-curated,third-party-learner-content-v1
KV002508,The children played in the sand.,孩子们在沙子里玩。,model-curated,third-party-learner-content-v1
KV002509,We built a sand castle by the sea.,我们在海边堆了一个沙堡。,model-curated,third-party-learner-content-v1
KV002510,I wore sandals on the beach.,我在海滩上穿凉鞋。,model-curated,third-party-learner-content-v1
KV002511,The children made a big sandcastle.,孩子们堆了一个大沙堡。,model-curated,third-party-learner-content-v1
KV002512,Santa brings gifts in many Christmas stories.,很多圣诞故事里圣诞老人会带来礼物。,model-curated,third-party-learner-content-v1
KV002513,The children wrote letters to Santa Claus.,孩子们给圣诞老人写了信。,model-curated,third-party-learner-content-v1
KV002514,I ate a sausage for breakfast.,我早餐吃了一根香肠。,model-curated,third-party-learner-content-v1
