NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001675,I like fruit especially oranges.,我喜欢水果尤其是橙子。,model-curated,third-party-learner-content-v1
KV001676,We stayed up late on New Year's Eve.,新年前夕我们睡得很晚。,model-curated,third-party-learner-content-v1
KV001677,Even my little brother can do it.,甚至我的小弟弟也会做。,model-curated,third-party-learner-content-v1
KV001678,Every student has a book.,每个学生都有一本书。,model-curated,third-party-learner-content-v1
KV001679,We visit this place every year.,我们每年都来这个地方。,model-curated,third-party-learner-content-v1
KV001680,Everybody is ready for the game.,每个人都准备好比赛了。,model-curated,third-party-learner-content-v1
KV001681,Everything is clean now.,现在一切都干净了。,model-curated,third-party-learner-content-v1
KV001682,Can you give me an example?,你能给我举个例子吗？,model-curated,third-party-learner-content-v1
KV001683,Everyone came except Tom.,除了汤姆以外大家都来了。,model-curated,third-party-learner-content-v1
KV001684,Being tired is not an excuse for being rude.,累了不是无礼的借口。,model-curated,third-party-learner-content-v1
KV001685,The exit is beside the stairs.,出口在楼梯旁边。,model-curated,third-party-learner-content-v1
KV001686,The trip was a wonderful experience.,这次旅行是一次很棒的体验。,model-curated,third-party-learner-content-v1
KV001687,We did an experiment with water.,我们用水做了一个实验。,model-curated,third-party-learner-content-v1
KV001688,Can you explain this answer to me?,你能给我解释这个答案吗？,model-curated,third-party-learner-content-v1
KV001689,We want to explore the old cave.,我们想探索那个古老的洞穴。,model-curated,third-party-learner-content-v1
KV001690,Reading in good light helps protect your eyesight.,在良好光线下阅读有助于保护视力。,model-curated,third-party-learner-content-v1
KV001691,That is a fact.,那是一个事实。,model-curated,third-party-learner-content-v1
KV001692,My uncle works in a toy factory.,我叔叔在一家玩具工厂工作。,model-curated,third-party-learner-content-v1
KV001693,The teacher made a fair decision.,老师作出了公平的决定。,model-curated,third-party-learner-content-v1
KV001694,She was called the fairest girl in the story.,故事里她被称为最美的女孩。,model-curated,third-party-learner-content-v1
KV001695,A tiny fairy appeared in the story.,故事里出现了一个小仙女。,model-curated,third-party-learner-content-v1
KV001696,Grandma told me a fairy tale.,奶奶给我讲了一个童话故事。,model-curated,third-party-learner-content-v1
KV001697,I fall asleep quickly after reading.,我读完书后很快入睡。,model-curated,third-party-learner-content-v1
KV001698,Be careful not to fall down.,小心不要跌倒。,model-curated,third-party-learner-content-v1
KV001699,Do not fall off the bike.,不要从自行车上摔下来。,model-curated,third-party-learner-content-v1
KV001700,I slipped and fell over.,我滑了一下摔倒了。,model-curated,third-party-learner-content-v1
KV001701,My family name is Li.,我姓李。,model-curated,third-party-learner-content-v1
KV001702,We made a family tree for homework.,我们做了一张家谱作为作业。,model-curated,third-party-learner-content-v1
KV001703,The station is far from here.,车站离这里很远。,model-curated,third-party-learner-content-v1
KV001704,Our school is far from my home.,我们学校离我家很远。,model-curated,third-party-learner-content-v1
KV001705,The bus fare is two dollars.,公交车票价是两美元。,model-curated,third-party-learner-content-v1
KV001706,Our class watched a fashion show.,我们班看了一场时装秀。,model-curated,third-party-learner-content-v1
KV001707,We do not eat fast food every day.,我们不会每天吃快餐。,model-curated,third-party-learner-content-v1
KV001708,Leo is the fastest runner in our class.,利奥是我们班跑得最快的人。,model-curated,third-party-learner-content-v1
KV001709,The cat is getting too fat.,这只猫变得太胖了。,model-curated,third-party-learner-content-v1
KV001710,A long tail is a feature of this animal.,长尾巴是这种动物的一个特征。,model-curated,third-party-learner-content-v1
KV001711,I feed the fish every morning.,我每天早上喂鱼。,model-curated,third-party-learner-content-v1
KV001712,I have a good feeling about today.,我对今天有一种很好的感觉。,model-curated,third-party-learner-content-v1
KV001713,We took a ferry across the river.,我们乘渡船过河。,model-curated,third-party-learner-content-v1
KV001714,There were games and food at the school fete.,学校游乐会上有游戏和食物。,model-curated,third-party-learner-content-v1
KV001715,The cows are eating grass in the field.,奶牛正在田野里吃草。,model-curated,third-party-learner-content-v1
KV001716,The wind blew fiercely all night.,风猛烈地刮了一整夜。,model-curated,third-party-learner-content-v1
KV001717,There are fifty-four cards in the box.,盒子里有五十四张卡片。,model-curated,third-party-learner-content-v1
KV001718,The two boys began to fight.,两个男孩开始打架。,model-curated,third-party-learner-content-v1
KV001719,Please fill the bottle with water.,请把瓶子装满水。,model-curated,third-party-learner-content-v1
KV001720,Please fill out this form.,请填写这张表格。,model-curated,third-party-learner-content-v1
KV001721,The dumpling has a meat filling.,这个饺子有肉馅。,model-curated,third-party-learner-content-v1
KV001722,We finally found the lost key.,我们终于找到了丢失的钥匙。,model-curated,third-party-learner-content-v1
KV001723,I want to find out why the light is off.,我想弄清楚灯为什么灭了。,model-curated,third-party-learner-content-v1
KV001724,I am fine today.,我今天很好。,model-curated,third-party-learner-content-v1
KV001725,I cut my finger while cooking.,我做饭时割伤了手指。,model-curated,third-party-learner-content-v1
KV001726,The loud firecracker scared the dog.,响亮的鞭炮吓到了狗。,model-curated,third-party-learner-content-v1
KV001727,The fireman carried the child outside.,消防员把孩子抱到了外面。,model-curated,third-party-learner-content-v1
KV001728,A bright firework lit up the sky.,一朵明亮的烟花照亮了天空。,model-curated,third-party-learner-content-v1
KV001729,Our classroom is on the first floor.,我们的教室在一楼。,model-curated,third-party-learner-content-v1
KV001730,We had fish and chips for dinner.,我们晚饭吃了炸鱼薯条。,model-curated,third-party-learner-content-v1
KV001731,The fisherman went out early this morning.,渔夫今天一早就出去了。,model-curated,third-party-learner-content-v1
KV001732,Dad likes fishing by the lake.,爸爸喜欢在湖边钓鱼。,model-curated,third-party-learner-content-v1
KV001733,Exercise helps you stay fit.,锻炼有助于保持健康。,model-curated,third-party-learner-content-v1
KV001734,You can try the shirt in the fitting room.,你可以在试衣室试穿这件衬衫。,model-curated,third-party-learner-content-v1
KV001735,We played five-stones after class.,下课后我们玩了五子游戏。,model-curated,third-party-learner-content-v1
KV001736,Dad can fix my broken bike.,爸爸能修好我坏掉的自行车。,model-curated,third-party-learner-content-v1
KV001737,The flag is flying above the school.,旗帜在学校上方飘扬。,model-curated,third-party-learner-content-v1
KV001738,Some Americans display flags on Flag Day.,一些美国人在国旗日悬挂国旗。,model-curated,third-party-learner-content-v1
KV001739,My bike tire is flat.,我的自行车轮胎没气了。,model-curated,third-party-learner-content-v1
KV001740,This ice cream has a strawberry flavour.,这个冰淇淋是草莓味的。,model-curated,third-party-learner-content-v1
KV001741,Our flight leaves at nine.,我们的航班九点起飞。,model-curated,third-party-learner-content-v1
KV001742,The swimmer put on a flipper.,游泳的人穿上一只脚蹼。,model-curated,third-party-learner-content-v1
KV001743,We need flour to make bread.,做面包需要面粉。,model-curated,third-party-learner-content-v1
KV001744,Mum bought roses at the flower shop.,妈妈在花店买了玫瑰。,model-curated,third-party-learner-content-v1
KV001745,She plays the flute in the school band.,她在学校乐队里吹长笛。,model-curated,third-party-learner-content-v1
KV001746,The bird opened its wings and flew away.,鸟张开翅膀飞走了。,model-curated,third-party-learner-content-v1
KV001747,A fly landed on the table.,一只苍蝇落在桌上。,model-curated,third-party-learner-content-v1
