NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001771,The loud noise made the baby frightened.,巨大的声音让宝宝受到了惊吓。,model-curated,third-party-learner-content-v1
KV001772,This letter is from my friend.,这封信来自我的朋友。,model-curated,third-party-learner-content-v1
KV001773,We bought some frozen peas.,我们买了一些冷冻豌豆。,model-curated,third-party-learner-content-v1
KV001774,Mum will fry the fish for dinner.,妈妈晚饭会煎鱼。,model-curated,third-party-learner-content-v1
KV001775,I am full after that big meal.,吃完那顿大餐后我饱了。,model-curated,third-party-learner-content-v1
KV001776,We spent the afternoon at the fun park.,我们下午在游乐园玩。,model-curated,third-party-learner-content-v1
KV001777,That funny story made us laugh.,那个好笑的故事把我们逗笑了。,model-curated,third-party-learner-content-v1
KV001778,We bought new furniture for the living room.,我们给客厅买了新家具。,model-curated,third-party-learner-content-v1
KV001779,I want to be a scientist in the future.,我将来想当科学家。,model-curated,third-party-learner-content-v1
KV001780,The game-maker released a new game.,这家游戏制作商发布了一款新游戏。,model-curated,third-party-learner-content-v1
KV001781,The gardener waters the flowers every morning.,园丁每天早上给花浇水。,model-curated,third-party-learner-content-v1
KV001782,Mum added garlic to the soup.,妈妈在汤里加了大蒜。,model-curated,third-party-learner-content-v1
KV001783,The gatekeeper opened the gate for us.,看门人为我们打开了大门。,model-curated,third-party-learner-content-v1
KV001784,Everyone called the young inventor a genius.,大家都称那个年轻发明家为天才。,model-curated,third-party-learner-content-v1
KV001785,Be gentle with the little kitten.,对小猫要温柔一点。,model-curated,third-party-learner-content-v1
KV001786,The gentleman held the door open for us.,那位先生替我们扶着门。,model-curated,third-party-learner-content-v1
KV001787,She gently put the baby to bed.,她轻轻地把宝宝放到床上。,model-curated,third-party-learner-content-v1
KV001788,We learn about maps in geography.,我们在地理课上学习地图。,model-curated,third-party-learner-content-v1
KV001789,Berlin is the capital of Germany.,柏林是德国的首都。,model-curated,third-party-learner-content-v1
KV001790,Stay with us so you do not get lost.,跟着我们免得迷路。,model-curated,third-party-learner-content-v1
