NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV002827,Tibet has many high mountains.,西藏有许多高山。,model-curated,third-party-learner-content-v1
KV002828,I heard the clock go tick tock.,我听见时钟滴答作响。,model-curated,third-party-learner-content-v1
KV002829,We bought our tickets at the ticket office.,我们在售票处买了票。,model-curated,third-party-learner-content-v1
KV002830,Please tidy up your room before dinner.,晚饭前请把你的房间收拾整齐。,model-curated,third-party-learner-content-v1
KV002831,Dad wore a blue tie to the meeting.,爸爸开会时戴了一条蓝领带。,model-curated,third-party-learner-content-v1
KV002832,The box was tied with a red string.,盒子用一根红绳系好了。,model-curated,third-party-learner-content-v1
KV002833,Hold the rope tightly.,紧紧抓住绳子。,model-curated,third-party-learner-content-v1
KV002834,Check your timetable for tomorrow's classes.,看看课程表上明天的课。,model-curated,third-party-learner-content-v1
KV002835,Good timing helped us catch the bus.,合适的时间安排让我们赶上了公交车。,model-curated,third-party-learner-content-v1
KV002836,We put the empty tin can in the recycling bin.,我们把空铁皮罐放进了回收箱。,model-curated,third-party-learner-content-v1
KV002837,My bike has a flat tire.,我的自行车轮胎瘪了。,model-curated,third-party-learner-content-v1
KV002838,I would like this sandwich to go.,这个三明治我要打包带走。,model-curated,third-party-learner-content-v1
KV002839,I had toast and milk for breakfast.,我早餐吃了吐司喝了牛奶。,model-curated,third-party-learner-content-v1
KV002840,I hurt my toe on the chair.,我的脚趾撞到了椅子。,model-curated,third-party-learner-content-v1
KV002841,We had tofu and vegetables for dinner.,我们晚饭吃了豆腐和蔬菜。,model-curated,third-party-learner-content-v1
KV002842,Tokyo is the capital of Japan.,东京是日本的首都。,model-curated,third-party-learner-content-v1
KV002843,The ancient king was buried in the tomb.,那位古代国王被埋葬在陵墓中。,model-curated,third-party-learner-content-v1
KV002844,We will watch a movie tonight.,我们今晚要看一部电影。,model-curated,third-party-learner-content-v1
KV002845,A hammer is a useful tool.,锤子是一种有用的工具。,model-curated,third-party-learner-content-v1
KV002846,The old dog is almost toothless.,那只老狗几乎没有牙齿了。,model-curated,third-party-learner-content-v1
KV002847,Today's topic is healthy food.,今天的主题是健康食物。,model-curated,third-party-learner-content-v1
KV002848,The tortoise moved slowly across the path.,陆龟慢慢地爬过小路。,model-curated,third-party-learner-content-v1
KV002849,Please do not touch the hot pan.,请不要碰这个热锅。,model-curated,third-party-learner-content-v1
KV002850,Our tour guide showed us around the old town.,导游带我们参观了古镇。,model-curated,third-party-learner-content-v1
KV002851,Many tourists visit the Great Wall each year.,每年有很多游客参观长城。,model-curated,third-party-learner-content-v1
KV002852,We got a city map at the tourist office.,我们在旅游咨询处拿了一张城市地图。,model-curated,third-party-learner-content-v1
KV002853,Dry your hands with this towel.,用这条毛巾擦干手。,model-curated,third-party-learner-content-v1
KV002854,We climbed to the top of the tower.,我们爬到了塔顶。,model-curated,third-party-learner-content-v1
KV002855,My grandparents live in a small town.,我的爷爷奶奶住在一个小镇上。,model-curated,third-party-learner-content-v1
KV002856,The baby sleeps with a toy bear.,宝宝抱着玩具熊睡觉。,model-curated,third-party-learner-content-v1
KV002857,My little brother has a red toy car.,我的弟弟有一辆红色玩具车。,model-curated,third-party-learner-content-v1
KV002858,We bought a puzzle at the toy shop.,我们在玩具店买了一个拼图。,model-curated,third-party-learner-content-v1
KV002859,The toy train goes around the track.,玩具火车沿着轨道转圈。,model-curated,third-party-learner-content-v1
KV002860,The runners are waiting beside the track.,赛跑运动员正在赛道旁等待。,model-curated,third-party-learner-content-v1
KV002861,We ate traditional food during the festival.,节日期间我们吃了传统食物。,model-curated,third-party-learner-content-v1
KV002862,There is heavy traffic this morning.,今天早上的交通很拥堵。,model-curated,third-party-learner-content-v1
KV002863,We were late because of a traffic jam.,我们因为堵车迟到了。,model-curated,third-party-learner-content-v1
KV002864,Stop when the traffic light is red.,红灯时要停下来。,model-curated,third-party-learner-content-v1
KV002865,Turn left at the traffic lights.,在红绿灯处左转。,model-curated,third-party-learner-content-v1
KV002866,We met at the train station.,我们在火车站见面。,model-curated,third-party-learner-content-v1
KV002867,I bought a new pair of trainers for running.,我买了一双新的跑步运动鞋。,model-curated,third-party-learner-content-v1
KV002868,Please put the trash in the bin.,请把垃圾扔进垃圾桶。,model-curated,third-party-learner-content-v1
KV002869,The trashcan is beside the door.,垃圾桶在门旁边。,model-curated,third-party-learner-content-v1
KV002870,The tired traveller sat by the window.,疲惫的旅行者坐在窗边。,model-curated,third-party-learner-content-v1
KV002871,Grandpa treated us to ice cream.,爷爷请我们吃了冰淇淋。,model-curated,third-party-learner-content-v1
KV002872,A triangle has three sides.,三角形有三条边。,model-curated,third-party-learner-content-v1
KV002873,The magician showed us a clever trick.,魔术师给我们表演了一个巧妙的把戏。,model-curated,third-party-learner-content-v1
KV002874,Put your suitcase on the trolley.,把你的行李箱放在手推车上。,model-curated,third-party-learner-content-v1
KV002875,Ask your teacher if you are in trouble.,遇到困难时请向老师求助。,model-curated,third-party-learner-content-v1
KV002876,A large truck carried the boxes.,一辆大卡车运走了这些箱子。,model-curated,third-party-learner-content-v1
KV002877,Is this story true?,这个故事是真的吗？,model-curated,third-party-learner-content-v1
KV002878,He plays the trumpet in the school band.,他在学校乐队里吹小号。,model-curated,third-party-learner-content-v1
KV002879,Please try this soup.,请尝一尝这个汤。,model-curated,third-party-learner-content-v1
KV002880,You can try out the new bike.,你可以试一试这辆新自行车。,model-curated,third-party-learner-content-v1
KV002881,My tummy hurts after eating too much.,吃得太多后我肚子疼。,model-curated,third-party-learner-content-v1
KV002882,The train went through a long tunnel.,火车穿过了一条长隧道。,model-curated,third-party-learner-content-v1
KV002883,Ankara is the capital of Turkey.,安卡拉是土耳其的首都。,model-curated,third-party-learner-content-v1
KV002884,Turn the key slowly.,慢慢转动钥匙。,model-curated,third-party-learner-content-v1
KV002885,Turn around and look behind you.,转身看看你的身后。,model-curated,third-party-learner-content-v1
KV002886,It was getting dark so we turned back.,天快黑了所以我们往回走。,model-curated,third-party-learner-content-v1
KV002887,Please turn on the light.,请打开灯。,model-curated,third-party-learner-content-v1
KV002888,We heard a bird tweet outside the window.,我们听见窗外小鸟啾啾叫。,model-curated,third-party-learner-content-v1
KV002889,He finished twentieth in the race.,他在比赛中得了第二十名。,model-curated,third-party-learner-content-v1
KV002890,There are twenty-eight students in our class.,我们班有二十八名学生。,model-curated,third-party-learner-content-v1
KV002891,Today is her twenty-first birthday.,今天是她二十一岁生日。,model-curated,third-party-learner-content-v1
