NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001291,The weather was awful yesterday.,昨天的天气糟糕透了。,model-curated,third-party-learner-content-v1
KV001292,The farmer cut the wood with an ax.,农夫用斧头劈木头。,model-curated,third-party-learner-content-v1
KV001293,The baby is sleeping quietly.,宝宝正在安静地睡觉。,model-curated,third-party-learner-content-v1
KV001294,My baby brother is two years old.,我的小弟弟两岁了。,model-curated,third-party-learner-content-v1
KV001295,Please step back from the door.,请从门口向后退一步。,model-curated,third-party-learner-content-v1
KV001296,My books are in my backpack.,我的书在双肩背包里。,model-curated,third-party-learner-content-v1
KV001297,He had eggs and bacon for breakfast.,他早餐吃了鸡蛋和培根。,model-curated,third-party-learner-content-v1
KV001298,My knee was badly hurt.,我的膝盖伤得很严重。,model-curated,third-party-learner-content-v1
KV001299,She put the apples in a bag.,她把苹果放进一个袋子里。,model-curated,third-party-learner-content-v1
KV001300,We bake bread at home.,我们在家烤面包。,model-curated,third-party-learner-content-v1
KV001301,The baker makes fresh bread every morning.,面包师每天早上做新鲜面包。,model-curated,third-party-learner-content-v1
KV001302,Mum bought bread at the bakery.,妈妈在面包店买了面包。,model-curated,third-party-learner-content-v1
KV001303,The red balloon flew into the sky.,红色气球飞上了天空。,model-curated,third-party-learner-content-v1
KV001304,Our school band plays on Friday.,我们学校的乐队星期五演奏。,model-curated,third-party-learner-content-v1
KV001305,The nurse put a bandage on my knee.,护士在我的膝盖上缠了绷带。,model-curated,third-party-learner-content-v1
KV001306,Bangkok is the capital of Thailand.,曼谷是泰国的首都。,model-curated,third-party-learner-content-v1
KV001307,I ate a bar of chocolate.,我吃了一块巧克力。,model-curated,third-party-learner-content-v1
KV001308,We had a barbecue in the park.,我们在公园里举行了烧烤野餐。,model-curated,third-party-learner-content-v1
KV001309,They play baseball after school.,他们放学后打棒球。,model-curated,third-party-learner-content-v1
KV001310,I had a warm bath before bed.,我睡前洗了一个热水澡。,model-curated,third-party-learner-content-v1
KV001311,The soldiers fought a long battle.,士兵们打了一场漫长的战斗。,model-curated,third-party-learner-content-v1
