NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV002731,I am sure this is the right answer.,我确信这是正确答案。,model-curated,third-party-learner-content-v1
KV002732,I sometimes surf the Internet after homework.,我有时做完作业后上网。,model-curated,third-party-learner-content-v1
KV002733,The party was a big surprise for Mum.,这次聚会给妈妈带来了一个大惊喜。,model-curated,third-party-learner-content-v1
KV002734,I was surprised to see him there.,看到他在那里我很惊讶。,model-curated,third-party-learner-content-v1
KV002735,I wear sweatpants when I exercise.,我锻炼时穿运动裤。,model-curated,third-party-learner-content-v1
KV002736,This apple is very sweet.,这个苹果很甜。,model-curated,third-party-learner-content-v1
KV002737,We baked a sweet potato for lunch.,我们午饭烤了一个红薯。,model-curated,third-party-learner-content-v1
KV002738,Do not eat too many sweets.,不要吃太多糖果。,model-curated,third-party-learner-content-v1
KV002739,The swimmer reached the other side first.,那名游泳运动员第一个到达另一边。,model-curated,third-party-learner-content-v1
KV002740,Swimming is my favorite sport.,游泳是我最喜欢的运动。,model-curated,third-party-learner-content-v1
KV002741,Put on your swimming cap before you enter the pool.,进游泳池前戴好泳帽。,model-curated,third-party-learner-content-v1
KV002742,My swimming goggles are blue.,我的泳镜是蓝色的。,model-curated,third-party-learner-content-v1
KV002743,There is a swimming pool near our school.,我们学校附近有一个游泳池。,model-curated,third-party-learner-content-v1
KV002744,She put on her swimsuit before swimming.,她游泳前穿上了泳衣。,model-curated,third-party-learner-content-v1
KV002745,The children are playing on the swing.,孩子们正在荡秋千。,model-curated,third-party-learner-content-v1
KV002746,Turn off the switch before you leave.,离开前关掉开关。,model-curated,third-party-learner-content-v1
KV002747,We walked across Sydney Harbour Bridge.,我们步行穿过了悉尼海港大桥。,model-curated,third-party-learner-content-v1
KV002748,We visited Sydney Opera House during our trip.,旅行时我们参观了悉尼歌剧院。,model-curated,third-party-learner-content-v1
KV002749,The books are on the table.,书在桌子上。,model-curated,third-party-learner-content-v1
