Word,MeaningPrimary,FirstBook
book,书；书本,1年级上
ruler,尺子,1年级上
pencil,铅笔,1年级上
schoolbag,书包,1年级上
teacher,老师,1年级上
I,我,1年级上
have,有,1年级上
a,一；一个,1年级上
an,一；一个,1年级上
face,脸；面部,1年级上
ear,耳朵,1年级上
eye,眼睛,1年级上
nose,鼻子,1年级上
mouth,嘴；口,1年级上
this,这；这个,1年级上
is,是,1年级上
my,我的,1年级上
dog,狗,1年级上
bird,鸟,1年级上
tiger,老虎,1年级上
monkey,猴子,1年级上
cat,猫,1年级上
what,什么,1年级上
it,它,1年级上
one,一；一个,1年级上
two,二；两个,1年级上
three,三；三个,1年级上
four,四；四个,1年级上
five,五；五个,1年级上
six,六；六个,1年级上
seven,七；七个,1年级上
eight,八；八个,1年级上
nine,九；九个,1年级上
ten,十；十个,1年级上
how,怎样；多少,1年级上
many,许多；多少（how many）,1年级上
are,是,1年级上
there,那里；有（there be）,1年级上
black,黑色；黑色的,1年级上
yellow,黄色；黄色的,1年级上
blue,蓝色；蓝色的,1年级上
red,红色；红色的,1年级上
green,绿色；绿色的,1年级上
colour,颜色,1年级上
apple,苹果,1年级上
pear,梨,1年级上
banana,香蕉,1年级上
orange,橙子；橙色,1年级上
do,助动词（用于疑问句）,1年级上
you,你；你们,1年级上
like,喜欢,1年级上
yes,是的；对,1年级上
no,不；不是,1年级上
