Word,MeaningPrimary,FirstBook
running,运转,4年级上
basketball,篮球,4年级上
roller skating,un. 滑旱冰,4年级上
jumping rope,跳绳,4年级上
ping-pong,乒乓球,4年级上
What about ...?,un. 不,4年级上
interesting,有趣的,4年级上
often,常常，时常,4年级上
be good at,善于,4年级上
late,晚的,4年级上
visit one's grandparents,无,4年级上
go to a drawing club,无,4年级上
climb a hill,无,4年级上
pick fruit,无,4年级上
play computer games,玩电脑游戏,4年级上
go fishing,去钓鱼,4年级上
go to the cinema,去看电影,4年级上
on the weekend,在周末,4年级上
fun,乐趣,4年级上
always,永远，一直,4年级上
step,步，脚步,4年级上
paint,油漆,4年级上
evening,晚上,4年级上
dirty,下流的，卑鄙的,4年级上
their,他们的；她们的；它们的,4年级上
house,住宅,4年级上
poor,贫穷的,4年级上
hope,希望,4年级上
so,所以,4年级上
day,一天,4年级上
usually,通常，经常,4年级上
by bus,na. 乘公共汽车,4年级上
by boat,na. 乘船,4年级上
by ship,乘船,4年级上
by car,na. 乘电车,4年级上
by taxi,乘出租车,4年级上
by bike,骑自行车,4年级上
on foot,na. 步行,4年级上
by school bus,无,4年级上
by subway,乘地铁,4年级上
by plane,乘飞机,4年级上
by train,na. 坐火车,4年级上
garden,花园,4年级上
meeting place,会场,4年级上
gate,大门,4年级上
transportation,运输,4年级上
film,电影,4年级上
earth,地球,4年级上
snow,雪，积雪,4年级上
theatre,电影院，戏院,4年级上
come,来,4年级上
enjoy,欣赏，享受,4年级上
pen,钢笔,4年级上
knife,刀,4年级上
eraser,橡皮,4年级上
crayon,蜡笔，有色粉笔,4年级上
scissors,剪刀,4年级上
glue stick,胶棒,4年级上
paper,纸,4年级上
use,使用,4年级上
please,请（礼貌用语）,4年级上
find,发现,4年级上
Information Centre,信息中心,4年级上
Excuse me,un. 请原谅,4年级上
phone,电话,4年级上
dad,爸爸,4年级上
hamburger,汉堡包，火腿汉堡,4年级上
shop,商店,4年级上
climb on the window ledge,无,4年级上
dangerous,危险的,4年级上
play with fire,na. 轻举妄动,4年级上
Be careful!,小心,4年级上
run down the stairs,无,4年级上
sidewalk,人行道,4年级上
wait for,na. 等,4年级上
safe,保险箱,4年级上
stop,停止,4年级上
street,街道,4年级上
safety rule,安全规程,4年级上
nurse,看护，护理,4年级上
cook,厨师，厨子,4年级上
doctor,修理,4年级上
bus driver,na. (公共汽车)驾驶员,4年级上
police officer,警官,4年级上
taxi driver,计程车司机,4年级上
farmer,农夫，农民,4年级上
worker,工人,4年级上
in the future,今后,4年级上
great,大师,4年级上
job,工作,4年级上
sick,厌恶的,4年级上
people,人,4年级上
teach,教,4年级上
just,只是，仅仅,4年级上
myself,我自己,4年级上
sound,声音，语音,4年级上
