Word,MeaningPrimary,FirstBook
clever,聪明的,5年级上
careless,粗心的,5年级上
polite,有礼貌的，客气的,5年级上
quiet,安静,5年级上
friendly,友好的,5年级上
helpful,有帮助的,5年级上
active,主动语态,5年级上
popular,流行的，通俗的,5年级上
talk,谈话,5年级上
all,全部,5年级上
but,但是,5年级上
sometimes,有时，间或,5年级上
bark,树皮,5年级上
forget,忘记,5年级上
with,和；跟；用,5年级上
wear glasses,戴眼镜,5年级上
slim,苗条的,5年级上
curly,卷曲的,5年级上
straight,直,5年级上
nice,精密的,5年级上
young,年轻人,5年级上
guess,猜测,5年级上
has,有；拥有,5年级上
animal,动物,5年级上
elephant,象,5年级上
panda,熊猫,5年级上
horse,马,5年级上
cow,奶牛，母牛,5年级上
pig,猪,5年级上
sheep,羊，绵羊,5年级上
bee,蜜蜂，蜂,5年级上
farm,农场,5年级上
fast,斋戒,5年级上
why,为什么,5年级上
lovely,可爱的,5年级上
butterfly,蝴蝶,5年级上
exercise book,练习本,5年级上
pencil sharpener,卷笔刀,5年级上
a pair of scissors,一把剪刀,5年级上
pencil box,铅笔盒,5年级上
a box of crayons,无,5年级上
only,只，仅仅,5年级上
also,并且,5年级上
saleswoman,女售货员,5年级上
love,恋爱,5年级上
how much,多少,5年级上
a lot,许多,5年级上
wonderful,极好的，精彩的，绝妙的,5年级上
fantastic,古怪的人,5年级上
cartoons,卡通动画,5年级上
news shows,新闻节目,5年级上
nature shows,无,5年级上
chore,家庭杂务,5年级上
clean the room,打扫房间,5年级上
make the bed,铺床,5年级上
take out the rubbish,无,5年级上
wash clothes,洗衣服,5年级上
tidy the desk,无,5年级上
sweep the floor,扫地,5年级上
call,电话,5年级上
