Word,MeaningPrimary,FirstBook
morning tea,早茶,6年级上
soup,汤,6年级上
the Potala Palace,布达拉宫,6年级上
the Summer Palace,颐和园,6年级上
the Terracotta Army,兵马俑,6年级上
vacation,假期,6年级上
taste,味道；尝起来,6年级上
map,地图,6年级上
north,北；北方,6年级上
south,南；南方,6年级上
east,东；东方,6年级上
west,西；西方,6年级上
famous,著名的,6年级上
temple,寺庙；庙宇,6年级上
around,周围；四处,6年级上
the Yangtze River,长江,6年级上
foggy,有雾的,6年级上
spicy,辣的；辛辣的,6年级上
silk,丝绸,6年级上
forest,森林,6年级上
stone,石头；石料,6年级上
London,伦敦,6年级上
Toronto,多伦多,6年级上
Sydney,悉尼,6年级上
Washington D.C.,华盛顿特区,6年级上
the British Museum,大英博物馆,6年级上
the CN Tower,加拿大国家电视塔；CN塔,6年级上
kangaroo,袋鼠,6年级上
the Opera House,悉尼歌剧院,6年级上
the White House,白宫,6年级上
clock,时钟；钟,6年级上
speak,说；讲（某种语言）,6年级上
French,法语；法国的,6年级上
Tower Bridge,伦敦塔桥,6年级上
the London Eye,伦敦眼,6年级上
hiking,徒步旅行,6年级上
sunrise,日出,6年级上
president,总统,6年级上
reptile,爬行动物,6年级上
mammal,哺乳动物,6年级上
insect,昆虫,6年级上
penguin,企鹅,6年级上
shark,鲨鱼,6年级上
whale,鲸,6年级上
kind,种类；类型,6年级上
metre,米,6年级上
spend,花费；度过,6年级上
trunk,象鼻；树干,6年级上
peanut,花生,6年级上
fan,扇子,6年级上
tusk,象牙；长牙,6年级上
Africa,非洲,6年级上
Asia,亚洲,6年级上
smart,聪明的；机灵的,6年级上
scared,害怕的,6年级上
worried,担心的,6年级上
angry,生气的,6年级上
proud,自豪的,6年级上
excited,兴奋的；激动的,6年级上
ill,生病的,6年级上
win,赢；获胜,6年级上
race,比赛；赛跑,6年级上
cry,哭；哭泣,6年级上
because,因为,6年级上
test,考试；测试,6年级上
competition,比赛；竞赛,6年级上
inventor,发明家,6年级上
artist,艺术家,6年级上
scientist,科学家,6年级上
poet,诗人,6年级上
writer,作家,6年级上
American,美国的；美国人,6年级上
Danish,丹麦的；丹麦语,6年级上
poem,诗,6年级上
invention,发明；发明物,6年级上
invent,发明,6年级上
story,故事,6年级上
university,大学,6年级上
deaf,聋的；失聪的,6年级上
blind,盲的；失明的,6年级上
fall,落下；跌倒,6年级上
dumpling,饺子,6年级上
ice lantern,冰灯,6年级上
bring,带来,6年级上
be afraid of,害怕,6年级上
hear,听见；听到,6年级上
pen pal,笔友,6年级上
broken,坏的；破损的,6年级上
pity,遗憾；可惜,6年级上
prize,奖品；奖项,6年级上
