Word,MeaningPrimary,FirstBook
Chinese,中文，汉语,3年级下
English,英语,3年级下
science,科学,3年级下
PE,体育课，体能训练（physical education）,3年级下
music,音乐，乐曲,3年级下
maths,数学（等于mathematics）,3年级下
art,艺术,3年级下
computer class,计算机课,3年级下
we,我们,3年级下
that,那；那个,3年级下
classroom,教室,3年级下
library,图书馆，藏书室,3年级下
toilet,厕所，盥洗室,3年级下
playground,运动场，操场,3年级下
second,第二,3年级下
third,第三,3年级下
floor,地板，地面,3年级下
room,房间,3年级下
our,我们的,3年级下
they,他们；她们；它们,3年级下
after school,na. 放学后,3年级下
play sports,做运动,3年级下
draw pictures,画画,3年级下
play chess,na. 下象棋,3年级下
sing songs,歌咏,3年级下
read books,读书,3年级下
really,实际上，事实上,3年级下
tomorrow,明天,3年级下
wake up,na. 同“wake”,3年级下
be back,na. 回家,3年级下
family,家庭,3年级下
uncle,叔叔,3年级下
aunt,阿姨,3年级下
cousin,堂兄弟姊妹,3年级下
beautiful,美丽的,3年级下
lost,失去的,3年级下
water bottle,un. 水壶,3年级下
know,知道,3年级下
ok,好的,3年级下
much,非常，很,3年级下
welcome,欢迎,3年级下
cooking dinner,做饭,3年级下
walking the dog,无,3年级下
watering the plants,无,3年级下
cleaning the room,无,3年级下
listening to music,无,3年级下
watching TV,看电视,3年级下
feeding the fish,喂鱼,3年级下
play with,na. 玩弄(火等),3年级下
in one hour,无,3年级下
everyone,每个人,3年级下
children,孩子们（child的复数）,3年级下
run,奔跑,3年级下
home,家，住宅,3年级下
bedroom,卧室,3年级下
living room,客厅,3年级下
bathroom,浴室,3年级下
dining room,饭厅,3年级下
study,学习，研究,3年级下
kitchen,厨房,3年级下
for rent,na. 出租的,3年级下
sofa,沙发,3年级下
