Word,MeaningPrimary,FirstBook
father,父亲，爸爸,2年级上
mother,母亲,2年级上
brother,兄弟,2年级上
sister,姐妹,2年级上
grandmother,祖母,2年级上
grandfather,祖父,2年级上
who,谁,2年级上
he,他,2年级上
she,她,2年级上
classmate,同班同学,2年级上
friend,朋友,2年级上
woman,妇女,2年级上
girl,女孩,2年级上
man,人,2年级上
boy,男孩,2年级上
look,看,2年级上
his,他的,2年级上
name,名称，名字,2年级上
her,她的,2年级上
or,或者,2年级上
big,大的,2年级上
tall,高的,2年级上
pretty,有吸引力的事物（尤指饰品）,2年级上
thin,细小部分,2年级上
short,短,2年级上
handsome,（男子）英俊的,2年级上
new,新的，新鲜的,2年级上
does,做；干,2年级上
bookshop,书店,2年级上
zoo,动物园,2年级上
school,学校,2年级上
supermarket,超级市场,2年级上
park,公园,2年级上
hospital,医院,2年级上
go,去,2年级上
to,到；向,2年级上
grass,草,2年级上
tree,树,2年级上
flower,花,2年级上
boat,小船,2年级上
lake,湖,2年级上
hill,小山,2年级上
Christmas,圣诞节,2年级上
Father Christmas,na. 圣诞老人,2年级上
Christmas tree,【节】圣诞树,2年级上
card,卡片,2年级上
present,现在,2年级上
New Year,新年,2年级上
merry,愉快的,2年级上
too,太,2年级上
here,这里,2年级上
for,为了；给,2年级上
thank,感谢,2年级上
happy,幸福的,2年级上
