Word,MeaningPrimary,FirstBook
across from,在……对面,4年级下
next to,紧挨着；在……旁边,4年级下
between,在……之间,4年级下
restaurant,餐馆；饭店,4年级下
post office,邮局,4年级下
bank,银行,4年级下
grocery,食品杂货店；杂货店,4年级下
turn left,向左转,4年级下
turn right,向右转,4年级下
go straight,直走,4年级下
crossroads,十字路口,4年级下
neighbourhood,街区；社区,4年级下
send,发送；寄,4年级下
get,得到；取得,4年级下
money,钱,4年级下
get to,到达,4年级下
before,在……之前,4年级下
leave,离开,4年级下
toy,玩具,4年级下
city,城市,4年级下
sports centre,体育中心,4年级下
hotel,酒店；旅馆,4年级下
square,广场,4年级下
buy toys,买玩具,4年级下
see a film,看电影,4年级下
go boating,去划船,4年级下
busy,忙的,4年级下
station,车站,4年级下
place,地方,4年级下
thing,东西；事情,4年级下
stay,停留；待,4年级下
star,星星,4年级下
king,国王,4年级下
central,中心的；中央的,4年级下
take photos,拍照,4年级下
museum,博物馆,4年级下
dream,梦想,4年级下
sea,海,4年级下
ski,滑雪,4年级下
eat seafood,吃海鲜,4年级下
visit the Mogao Caves,参观莫高窟,4年级下
West Lake,西湖,4年级下
row a boat,划船,4年级下
the Great Wall,长城,4年级下
summer vacation,暑假,4年级下
travel,旅行；旅游,4年级下
reading,阅读；读书,4年级下
skateboarding,滑板运动,4年级下
singing,唱歌,4年级下
dancing,跳舞,4年级下
doing jigsaw puzzles,拼拼图,4年级下
making models,做模型,4年级下
collecting erasers,收集橡皮,4年级下
different,不同的,4年级下
hobby,爱好,4年级下
stamp,邮票,4年级下
catch,抓住；捕捉,4年级下
go for a picnic,去野餐,4年级下
play the violin,拉小提琴,4年级下
go skating,去滑冰,4年级下
go camping,去露营,4年级下
do the housework,做家务,4年级下
free,空闲的,4年级下
never,从不；从未,4年级下
once a week,每周一次,4年级下
twice a week,每周两次,4年级下
three times a week,每周三次,4年级下
Canada,加拿大,4年级下
Australia,澳大利亚,4年级下
the UK,英国,4年级下
the USA,美国,4年级下
China,中国,4年级下
koala,考拉；树袋熊,4年级下
maple leaves,枫叶,4年级下
Big Ben,大本钟,4年级下
Disneyland,迪士尼乐园,4年级下
campfire,篝火；营火,4年级下
cute,可爱的,4年级下
country,国家,4年级下
