Word,MeaningPrimary,FirstBook
live,居住；生活,6年级下
quite,很；相当,6年级下
scarf,围巾,6年级下
airport,机场,6年级下
pupil,小学生；学生,6年级下
arrive,到达,6年级下
meet,见面；遇见,6年级下
wardrobe,衣柜,6年级下
show ... around,带……参观,6年级下
Queen's Park,皇后公园,6年级下
art gallery,美术馆,6年级下
public library,公共图书馆,6年级下
downtown,市中心；在市中心,6年级下
Lake Ontario,安大略湖,6年级下
stadium,体育场,6年级下
volunteer,志愿者；志愿服务,6年级下
sandwich,三明治,6年级下
top,顶部；顶端,6年级下
habit,习惯,6年级下
idea,想法；主意,6年级下
less,更少的；较少,6年级下
at least,至少,6年级下
talk about,谈论；讨论,6年级下
hockey,冰球；曲棍球,6年级下
beaver,海狸,6年级下
raccoon,浣熊,6年级下
moose,驼鹿,6年级下
countryside,乡村；农村,6年级下
Thanksgiving,感恩节,6年级下
roast turkey,烤火鸡,6年级下
squirrel,松鼠,6年级下
swan,天鹅,6年级下
wild goose,大雁；野雁,6年级下
frog,青蛙,6年级下
English-Chinese dictionary,英汉词典,6年级下
shopping centre,购物中心,6年级下
shopping mall,购物中心；商场,6年级下
amazing,令人惊叹的；了不起的,6年级下
hot pot,火锅,6年级下
