Word,MeaningPrimary,FirstBook
chair,椅子,1年级下
desk,办公桌,1年级下
blackboard,黑板,1年级下
on,在……上面,1年级下
under,低于，少于,1年级下
in,在……里面,1年级下
where,哪里,1年级下
the,这/那（个）；定冠词,1年级下
light,光,1年级下
bed,床,1年级下
door,门,1年级下
box,箱，盒子,1年级下
near,近的,1年级下
behind,落后于,1年级下
plane,飞机,1年级下
ball,球,1年级下
doll,洋娃娃,1年级下
train,火车,1年级下
car,汽车,1年级下
bear,熊,1年级下
can,能；会；可以,1年级下
sure,确信的,1年级下
sorry,遗憾的,1年级下
rice,稻,1年级下
noodles,面条，挂面（noodle的复数形式),1年级下
vegetable,蔬菜,1年级下
fish,鱼，鱼类,1年级下
chicken,鸡肉,1年级下
egg,蛋,1年级下
hungry,饥饿的,1年级下
want,需要,1年级下
and,和；并且,1年级下
juice,（水果）汁，液,1年级下
tea,茶叶,1年级下
milk,牛奶,1年级下
water,水,1年级下
thirsty,口渴的，口干的,1年级下
thanks,谢谢（只用复数）,1年级下
shirt,衬衫,1年级下
T-shirt,短袖圆领汗衫,1年级下
skirt,裙子,1年级下
dress,连衣裙,1年级下
socks,袜子（sock的复数）,1年级下
shorts,短裤,1年级下
your,你的；你们的,1年级下
