NoteID,CanonicalWord,SenseLabel
KV002827,Tibet,西藏
KV002828,tick tock,滴答声；滴答
KV002829,ticket office,售票处
KV002830,tidy up,整理；收拾整齐
KV002831,tie,领带
KV002832,tied,系住的；绑好的
KV002833,tightly,紧紧地；牢牢地
KV002834,timetable,时间表；课程表
KV002835,timing,时机；时间安排
KV002836,tin can,铁皮罐；金属罐
KV002837,tire,轮胎
KV002838,to go,外带；打包带走
KV002839,toast,吐司；烤面包片
KV002840,toe,脚趾
KV002841,tofu,豆腐
KV002842,Tokyo,东京（日本首都）
KV002843,tomb,坟墓；陵墓
KV002844,tonight,今晚
KV002845,tool,工具
KV002846,toothless,无牙的
KV002847,topic,主题；题目
KV002848,tortoise,乌龟；陆龟
KV002849,touch,触摸；碰
KV002850,tour guide,导游
KV002851,tourist,游客；旅行者
KV002852,tourist office,旅游咨询处
KV002853,towel,毛巾
KV002854,tower,塔；塔楼
KV002855,town,"城镇,市镇"
KV002856,toy bear,玩具熊
KV002857,toy car,玩具汽车；玩具车
KV002858,toy shop,玩具店
KV002859,toy train,玩具火车
KV002860,track,赛道；轨道
KV002861,traditional,传统的
KV002862,traffic,交通
KV002863,traffic jam,交通堵塞；堵车
KV002864,traffic light,交通信号灯；红绿灯
KV002865,traffic lights,交通信号灯；红绿灯
KV002866,train station,火车站
KV002867,trainer,运动鞋
KV002868,trash,垃圾；废物
KV002869,trashcan,垃圾桶
KV002870,traveller,旅行者；旅客
KV002871,treat,款待；招待
KV002872,triangle,三角形
KV002873,trick,把戏；花招；恶作剧
KV002874,trolley,手推车；行李车
KV002875,trouble,麻烦；困难
KV002876,truck,卡车；货车
KV002877,true,真实的；正确的
KV002878,trumpet,小号；喇叭
KV002879,try,尝试；试着
KV002880,try out,试用；试一试；试验
KV002881,tummy,肚子；胃
KV002882,tunnel,隧道
KV002883,Turkey,土耳其
KV002884,turn,转；转动
KV002885,turn around,转身；掉头
KV002886,turn back,返回；往回走
KV002887,turn on,打开；开启（电器、灯等）
KV002888,tweet,啾啾叫；鸟叫声
KV002889,twentieth,第二十
KV002890,twenty-eight,二十八
KV002891,twenty-first,第二十一
KV002892,twenty-one,二十一
KV002893,twenty-second,第二十二
KV002894,twenty-third,第二十三
KV002895,twin,双胞胎之一；双胞胎
KV002896,twin towers,双子塔；双塔
KV002897,twins,双胞胎
KV002898,typhoon,台风
KV002899,UFO,不明飞行物；UFO
KV002900,ugly,丑陋的
KV002901,UK,英国；联合王国
KV002902,underground,地铁
KV002903,unhealthy,不健康的
KV002904,uniform,制服；校服
KV002905,until,直到……为止
KV002906,up,向上；在上方
KV002907,up and down,上上下下；来来回回
KV002908,upset,心烦的；难过的
KV002909,upstairs,楼上；在楼上；上楼
KV002910,US,我们
KV002911,USA,美国；美利坚合众国
KV002912,valley,山谷；谷地
KV002913,van,面包车；厢式货车
KV002914,vanilla,香草；香草味的
KV002915,vase,花瓶
KV002916,very,非常；很
KV002917,very much,非常；很
KV002918,vest,背心；马甲
KV002919,vet,兽医
KV002920,video game,电子游戏；电子游戏机游戏
KV002921,violin,小提琴
KV002922,violinist,小提琴家；小提琴演奏者
