NoteID,CanonicalWord,SenseLabel
KV001771,frightened,害怕的；受惊的
KV001772,from,从；来自
KV001773,frozen,冷冻的；冰冻的
KV001774,fry,油炸；油煎
KV001775,full,饱的；吃饱的
KV001776,fun park,游乐园
KV001777,funny,有趣的；好笑的；滑稽的
KV001778,furniture,家具
KV001779,future,未来；将来
KV001780,game-maker,游戏制作商；游戏制造商
KV001781,gardener,园丁；园艺工人
KV001782,garlic,大蒜；蒜
KV001783,gatekeeper,看门人；守门人
KV001784,genius,天才
KV001785,gentle,温和的；轻柔的
KV001786,gentleman,绅士；先生
KV001787,gently,轻轻地；温柔地
KV001788,geography,地理
KV001789,Germany,德国
KV001790,get lost,迷路
KV001791,get off,下车
KV001792,get on,上车；登上
KV001793,get out,出去；走出
KV001794,get through,通过；穿过
KV001795,get well,康复；恢复健康
KV001796,ghost,鬼；幽灵
KV001797,giant,巨人；巨大的生物
KV001798,gift shop,礼品店
KV001799,ginger,姜；生姜
KV001800,giraffe,长颈鹿
KV001801,give,给；给予
KV001802,give out,分发；发出
KV001803,given name,名字；名
KV001804,glad,高兴的；乐意的
KV001805,Glasgow,格拉斯哥（英国城市）
KV001806,glass,玻璃；玻璃杯
KV001807,glasses,眼镜
KV001808,glove,手套
KV001809,glue,胶水；胶
KV001810,go away,离开；走开
KV001811,go down,下去；向下走
KV001812,go on a trip,去旅行
KV001813,go out,出去；外出
KV001814,go to a movie,去看电影
KV001815,go to the library,去图书馆
KV001816,go to work,去上班；去工作
KV001817,goal,目标
KV001818,goalkeeper,守门员
KV001819,goat,山羊
KV001820,gold,金；黄金；金色
KV001821,golden,金色的；金黄色的
KV001822,goldfish,金鱼
KV001823,golf,高尔夫球；高尔夫运动
KV001824,good,好的；不错的
KV001825,good-looking,好看的；漂亮的
KV001826,goodbye,再见
KV001827,goose,鹅
KV001828,GPS,全球定位系统；GPS
KV001829,grab,抓住；抓取
KV001830,grandad,爷爷；外公
KV001831,grandchild,孙子；孙女；外孙；外孙女
KV001832,grandchildren,孙辈；孙子孙女（grandchild 的复数）
KV001833,granddaughter,孙女；外孙女
KV001834,grandma,奶奶；外婆
KV001835,grandpa,爷爷；外公
KV001836,grandson,孙子；外孙
KV001837,granny,奶奶；外婆
KV001838,grape,葡萄
KV001839,grassland,草原；草地
KV001840,gray,灰色；灰色的
KV001841,Great Britain,大不列颠
KV001842,Great Wall,长城
KV001843,green beans,四季豆；青豆
KV001844,greet,问候；打招呼
KV001845,greeting,问候；招呼
KV001846,grey,灰色；灰色的
KV001847,grocery,食品杂货；杂货
KV001848,ground,地面；土地
KV001849,group,组；小组
KV001850,grow,生长；成长
KV001851,grow crops,种庄稼；种植农作物
KV001852,grow up,长大；成长
KV001853,grown-up,成年人；成年的
KV001854,guide,指南；指南书
KV001855,guitar,吉他
KV001856,gun,枪；枪支
KV001857,guy,家伙；人
KV001858,hairpin,发夹
KV001859,Halloween,万圣节前夕
KV001860,ham,火腿
KV001861,hammer,锤子
KV001862,hamster,仓鼠
KV001863,hang,悬挂；挂
KV001864,hang glider,滑翔翼
KV001865,happen,发生
KV001866,happily,快乐地；高兴地
