NoteID,CanonicalWord,SenseLabel
KV002347,play basketball,打篮球
KV002348,play games,玩游戏；做游戏
KV002349,play ping-pong,打乒乓球
KV002350,play sport,做运动；参加体育运动
KV002351,play the guitar,弹吉他
KV002352,play the piano,弹钢琴
KV002353,play the pipa,弹琵琶；演奏琵琶
KV002354,play volleyball,打排球
KV002355,pleased,高兴的；满意的
KV002356,plenty,大量；充足
KV002357,plum,李子；梅子
KV002358,plus,加；加上
KV002359,pm,下午；午后（p.m.）
KV002360,pocket,口袋
KV002361,pod,豆荚
KV002362,polar bear,北极熊
KV002363,police,警察；警方
KV002364,police station,警察局；派出所
KV002365,policeman,警察；男警察
KV002366,policewoman,女警察；女警官
KV002367,policewomen,女警察（复数）
KV002368,polish,擦亮；擦光
KV002369,pollute,污染
KV002370,pollution,污染
KV002371,pond,池塘
KV002372,pony,小马；矮种马
KV002373,pool,游泳池
KV002374,pop,流行音乐
KV002375,popcorn,爆米花
KV002376,pork,猪肉
KV002377,porridge,粥；麦片粥
KV002378,position,位置；方位
KV002379,possible,可能的
KV002380,possibly,可能；也许；大概
KV002381,post,邮寄；寄出
KV002382,postcard,明信片
KV002383,poster,海报；招贴
KV002384,postman,邮递员；邮差
KV002385,pound,英镑
KV002386,pour,倒；倒入
KV002387,poverty,贫困；贫穷
KV002388,powerful,强大的；有力的
KV002389,practice,练习；训练
KV002390,practise,练习；实践
KV002391,praise,表扬；称赞
KV002392,prawn,对虾；明虾
KV002393,PRC,中华人民共和国
KV002394,precious,宝贵的；珍贵的
KV002395,prefer,更喜欢；更愿意
KV002396,prepare,准备；为……做准备
KV002397,presenter,主持人
KV002398,press,按；按下
KV002399,price,价格；价钱
KV002400,primary,小学的；初级的
KV002401,primary school,小学
KV002402,prince,王子
KV002403,princess,公主
KV002404,print,打印；印刷
KV002405,printing,印刷
KV002406,probably,大概；很可能
KV002407,problem,问题；难题
KV002408,programme,节目；电视节目
KV002409,promise,承诺；许诺
KV002410,protect,保护
KV002411,protein,蛋白质
KV002412,provide,提供
KV002413,PS,附言；又及（P.S.）
KV002414,public,公共的；公用的
KV002415,pudding,布丁
KV002416,puddle,水坑；水洼
KV002417,Puma Ranch,Puma Ranch（地名/场景名）
KV002418,puppy,小狗；幼犬
KV002419,purple,紫色；紫色的
KV002420,push,推
KV002421,put,放；放置
KV002422,put on,穿上；戴上
KV002423,put out fires,灭火；扑灭火灾
KV002424,puzzle,谜；难题；谜题
KV002425,puzzled,困惑的；迷惑的
KV002426,pyjamas,睡衣
KV002427,pyramid,金字塔
KV002428,quack,嘎嘎叫；鸭叫声
KV002429,quarter,四分之一；一刻钟（15分钟）
KV002430,queen,女王；王后
KV002431,quickly,很快地；迅速地
KV002432,quietly,安静地；悄悄地
KV002433,quilt,被子；棉被
KV002434,quiz,小测验；测验
KV002435,racing car,赛车
KV002436,radio,收音机；无线电
KV002437,railway,铁路；铁道
KV002438,railway museum,铁路博物馆
KV002439,railway station,火车站
KV002440,rain boots,雨鞋
KV002441,rainbow,彩虹
KV002442,raise,举起；升起
