NoteID,CanonicalWord,SenseLabel
KV001579,deep,深的；深处的
KV001580,deer,鹿
KV001581,degree,度；度数
KV001582,dentist,牙医；牙科医生
KV001583,department store,百货商店；百货公司
KV001584,departure,出发；离开
KV001585,desert,沙漠
KV001586,design,设计；构思
KV001587,dessert,甜点；餐后甜点
KV001588,detective,侦探
KV001589,dialogue,对话
KV001590,diamond,钻石；金刚石
KV001591,dice,骰子
KV001592,dictionary,字典；词典
KV001593,die,死；死亡
KV001594,difficult,困难的；难的
KV001595,dig,挖；掘
KV001596,digital,数字的
KV001597,dimsum,中式点心；点心
KV001598,direction,方向
KV001599,disappear,消失
KV001600,display,展示；陈列
KV001601,dizzy,头晕的；眩晕的
KV001602,do,做；干
KV001603,do a survey,做调查；进行调查
KV001604,do exercise,锻炼；做运动
KV001605,do homework,做作业
KV001606,do jigsaw puzzles,拼拼图；做拼图
KV001607,do kung fu,练功夫；做中国功夫
KV001608,dog food,狗粮
KV001609,dog sledding,狗拉雪橇活动
KV001610,doggie,小狗；狗
KV001611,dollar,美元
KV001612,dolphin,海豚
KV001613,Donald Duck,唐老鸭
KV001614,donkey,驴；驴子
KV001615,doorbell,门铃
KV001616,dot,点；圆点
KV001617,dotted line,虚线
KV001618,Double Ninth Festival,重阳节
KV001619,double-decker,双层公共汽车；双层巴士
KV001620,down,向下；在下面
KV001621,downstairs,楼下；在楼下
KV001622,dragon,龙
KV001623,dragon boat,龙舟
KV001624,Dragon Boat Festival,端午节
KV001625,dragon boat race,龙舟赛
KV001626,dragon dance,舞龙
KV001627,drama,戏剧；戏剧课
KV001628,draw,画；绘画
KV001629,draw cartoons,画卡通；画漫画
KV001630,drawing,绘画；图画
KV001631,dressed,穿好衣服的；打扮好的
KV001632,drill,电钻；钻孔机
KV001633,drink cold drinks,喝冷饮
KV001634,dripping,滴水的；滴着水的
KV001635,drive away,赶走；驱赶
KV001636,drum,鼓
KV001637,drummer,鼓手
KV001638,duckling,小鸭子
KV001639,Dunvegan Castle,Dunvegan Castle（城堡名）
KV001640,during,在……期间；在……的时候
KV001641,dust,掸去灰尘；除尘
KV001642,DVD,DVD；数字光盘
KV001643,e-book,电子书
KV001644,e-card,电子贺卡
KV001645,e-friend,网友；网上朋友
KV001646,easily,容易地；轻易地
KV001647,Easter,复活节
KV001648,Easter Bunny,复活节兔子
KV001649,eat out,在外面吃饭；外出就餐
KV001650,Edinburgh,爱丁堡（英国城市）
KV001651,Edison,爱迪生（美国发明家）
KV001652,eggplants,茄子
KV001653,Egypt,埃及
KV001654,eighteen,十八
KV001655,eighteenth,第十八
KV001656,eighth,第八
KV001657,eighty,八十
KV001658,either,两者中的任一个
KV001659,elbow,肘；肘部
KV001660,elementary school,小学
KV001661,eleventh,第十一
KV001662,emergency,紧急情况；突发事件
KV001663,emperor,皇帝
KV001664,end,结束；末尾；尽头
KV001665,engineer,工程师
KV001666,England,英格兰
KV001667,English book,英语书；英文书
KV001668,English class,英语课
KV001669,enter,进入；进去
KV001670,entrance,入口；入口处
KV001671,entry,报名；参赛登记
KV001672,envelope,信封
KV001673,environment,环境
KV001674,escalator,自动扶梯；电动扶梯
