NoteID,CanonicalWord,SenseLabel
KV002635,soccer,足球
KV002636,sock,短袜；袜子
KV002637,soft,软的；柔软的
KV002638,soft toy,软体玩具
KV002639,softly,轻轻地；柔和地
KV002640,soldier,士兵；军人
KV002641,some,一些；有些
KV002642,some time,一段时间
KV002643,someday,"有一天,有朝一日"
KV002644,someone,某人；有人
KV002645,something,某事；某物
KV002646,sometime,在某一时候；改天
KV002647,somewhere,某处；某个地方
KV002648,son,儿子
KV002649,song,歌曲；歌
KV002650,sore,疼痛的；痛的
KV002651,sorrow,悲伤；悲痛
KV002652,sour,酸的；酸味的
KV002653,South Africa,南非
KV002654,South China Tiger,华南虎
KV002655,South Pole,南极
KV002656,south-east,东南；东南方
KV002657,south-west,西南；西南方
KV002658,soya milk,豆浆
KV002659,spacecraft,航天器；宇宙飞船
KV002660,spaghetti,意大利面；细面条
KV002661,speak English,说英语；讲英语
KV002662,speech,演讲
KV002663,spell,拼写
KV002664,spider,蜘蛛
KV002665,Spiderman,蜘蛛侠
KV002666,spit,吐痰；吐口水
KV002667,sport-lover,体育爱好者
KV002668,Sports Day,学校运动会；运动日
KV002669,sports meeting,运动会
KV002670,sports shoes,运动鞋
KV002671,sports star,体育明星；运动明星
KV002672,spread,涂；抹；铺开
KV002673,Spring Festival,春节
KV002674,spring outing,春游
KV002675,stage,舞台
KV002676,stair,（楼梯的）一级；梯级
KV002677,stairs,楼梯
KV002678,stall,摊位；货摊
KV002679,stand,站；站立
KV002680,stand in line,排队；站成一排
KV002681,starfish,海星
KV002682,starter,开胃菜；第一道菜
KV002683,stay at home,待在家里；留在家中
KV002684,steady,稳定的；平稳的
KV002685,steak,牛排；肉排
KV002686,steam,蒸；蒸汽
KV002687,stick,粘；贴；粘住
KV002688,sticker,贴纸；贴画
KV002689,stitch,缝；缝针
KV002690,stocking,长袜；圣诞袜
KV002691,stomach,胃；肚子
KV002692,store,商店
KV002693,storm,暴风雨；风暴
KV002694,stormy,有暴风雨的；暴风雨的
KV002695,story book,故事书
KV002696,storybook,故事书
KV002697,strange,奇怪的；陌生的
KV002698,stranger,陌生人
KV002699,strawberry,草莓
KV002700,stream,溪流；小河
KV002701,street cleaner,街道清洁工；清洁工
KV002702,street sweeper,扫街车；道路清扫车
KV002703,stretch,伸展；拉伸
KV002704,strict,严格的；严厉的
KV002705,strike,（钟）敲响；报时
KV002706,string,"线,弦,细绳"
KV002707,string bean,菜豆；四季豆
KV002708,strip,条；带
KV002709,strongly,强劲地；强烈地
KV002710,stuck,卡住的；陷住的
KV002711,student,学生
KV002712,stupid,愚蠢的；笨的
KV002713,style,款式；样式
KV002714,subway,地铁
KV002715,successful,成功的
KV002716,such,这样的；如此的
KV002717,suddenly,突然地；忽然
KV002718,sugar,糖；食糖
KV002719,suggestion,建议
KV002720,suitcase,手提箱；行李箱
KV002721,summer holiday,暑假
KV002722,Summer Olympics,夏季奥运会
KV002723,Summer Palace,颐和园
KV002724,sun,太阳
KV002725,Sun Moon Lake,日月潭
KV002726,sunshine,阳光
KV002727,super,极好的；很棒的
KV002728,supersonic,超音速的
KV002729,superstar,超级明星；巨星
KV002730,supper,晚餐；晚饭
