NoteID,CanonicalWord,SenseLabel
KV002059,long jump,跳远
KV002060,long race,长跑；长距离比赛
KV002061,longest,最长的
KV002062,look at,看；看着
KV002063,look like,看起来像；像
KV002064,lorry,卡车；货车
KV002065,Los Angeles,洛杉矶
KV002066,lose,丢失；失去
KV002067,lots of,许多；很多
KV002068,loudly,大声地；响亮地
KV002069,lower,更低的；较低的
KV002070,luck,运气；幸运
KV002071,lucky money,压岁钱
KV002072,lunar,农历的；阴历的
KV002073,lunch box,饭盒
KV002074,lunchtime,午餐时间
KV002075,machine,机器
KV002076,magic,魔法；魔术
KV002077,magician,魔术师
KV002078,mail,邮件；邮寄
KV002079,main,主要的；最重要的
KV002080,main course,主菜
KV002081,make friends,交朋友
KV002082,make mistakes,犯错误；出错
KV002083,make noise,制造噪音；发出声音
KV002084,make peace,讲和；和解
KV002085,make phone calls,打电话
KV002086,make use of,利用；使用
KV002087,mall,购物中心；商场
KV002088,manager,经理；管理人员
KV002089,mango,芒果
KV002090,manners,礼貌；礼仪
KV002091,manual,说明书；手册
KV002092,maple,枫树
KV002093,marker,马克笔；记号笔
KV002094,mascot,吉祥物
KV002095,mask,面具
KV002096,master,掌握；精通
KV002097,material,材料；原料
KV002098,maths book,数学书
KV002099,May Day,五一劳动节
KV002100,maybe,也许；可能；大概
KV002101,me,我（宾格）
KV002102,meal,一餐；一顿饭
KV002103,mean,意思是；意味着
KV002104,meatball,肉丸子
KV002105,medicine,药；药物
KV002106,meeting,会议；集会
KV002107,meeting room,会议室
KV002108,member,成员；会员
KV002109,member state,成员国
KV002110,memory,记忆；记忆力
KV002111,men,男人；男性（man 的复数）
KV002112,menu,菜单
KV002113,mess,脏乱；一团糟
KV002114,message,消息；信息
KV002115,messy,"凌乱的,散乱的"
KV002116,metal,金属
KV002117,metro,地铁
KV002118,Mexico,墨西哥
KV002119,miaow,猫叫；猫叫声
KV002120,mice,老鼠（mouse 的复数）
KV002121,Mickey Mouse,米老鼠
KV002122,Mid-Autumn Festival,中秋节
KV002123,middle,中间；中部
KV002124,middle school,初中；中学
KV002125,midnight,午夜；半夜
KV002126,milkshake,奶昔
KV002127,million,一百万
KV002128,mime,哑剧；模仿表演
KV002129,minus,减；减去
KV002130,mirror,镜子
KV002131,Miss,小姐；女士（称谓）
KV002132,Miss,错过；想念
KV002133,missing,失踪的；找不到的
KV002134,mistake,错误；过失
KV002135,mix,混合；搅拌
KV002136,mobile,手机；移动电话
KV002137,mobile phone,手机；移动电话
KV002138,model,模型
KV002139,model car,汽车模型；模型车
KV002140,model house,房屋模型；模型房屋
KV002141,model plane,模型飞机
KV002142,modern,现代的
KV002143,mom,妈妈
KV002144,moment,片刻；瞬间
KV002145,Monkey King,孙悟空；美猴王
KV002146,monster,怪物
KV002147,moon cake,月饼
KV002148,mooncake,月饼
KV002149,more than,超过；多于
KV002150,morning exercises,早操；晨练
KV002151,Moscow,莫斯科
KV002152,most,最多的；大多数的
KV002153,motorbike,摩托车
KV002154,motorcycle,摩托车
