NoteID,CanonicalWord,SenseLabel
KV002731,sure,确信的；确定的
KV002732,surf,浏览网络；上网
KV002733,surprise,惊喜；惊讶
KV002734,surprised,惊讶的
KV002735,sweatpants,运动裤；宽松长运动裤
KV002736,sweet,甜的
KV002737,sweet potato,红薯；甘薯
KV002738,sweets,糖果；甜食
KV002739,swimmer,游泳者；游泳运动员
KV002740,swimming,游泳
KV002741,swimming cap,泳帽
KV002742,swimming goggles,泳镜
KV002743,swimming pool,游泳池
KV002744,swimsuit,泳衣
KV002745,swing,秋千
KV002746,switch,开关
KV002747,Sydney Harbour Bridge,悉尼海港大桥
KV002748,Sydney Opera House,悉尼歌剧院
KV002749,table,桌子
KV002750,table tennis,乒乓球
KV002751,Taipei,台北
KV002752,take,拿；取；带走
KV002753,take a deep breath,深呼吸；做一次深呼吸
KV002754,take a photo,拍照
KV002755,take a picture,拍照；照相
KV002756,take a trip,旅行；去旅行
KV002757,take a walk,散步
KV002758,take away,拿走；带走
KV002759,take down,取下；拿下
KV002760,take off,脱下；摘下
KV002761,take part in,参加
KV002762,take pictures,拍照；照相
KV002763,talent,才能；天赋
KV002764,talent show,才艺表演；选秀节目
KV002765,talk to,和……交谈；对……说话
KV002766,tallest,最高的；最高个的
KV002767,tangyuan,汤圆
KV002768,tap,水龙头
KV002769,tape,胶带
KV002770,taste,尝；品尝
KV002771,tasty,美味的；可口的
KV002772,taxi,出租车
KV002773,tea party,茶会；茶话会
KV002774,teacher's desk,讲台；讲桌
KV002775,teacher's office,教师办公室
KV002776,teachers' office,教师办公室
KV002777,teachers' room,教师办公室；教师休息室
KV002778,teddy bear,泰迪熊；玩具熊
KV002779,teeth,牙齿（tooth 的复数）
KV002780,telephone,电话；电话机
KV002781,tell a story,讲故事
KV002782,telly,电视
KV002783,temperature,温度；气温
KV002784,tennis,网球；网球运动
KV002785,tent,帐篷
KV002786,term,学期
KV002787,terrible,糟糕的；可怕的
KV002788,textbook,课本；教科书
KV002789,Thailand,泰国
KV002790,Thanksgiving Day,感恩节
KV002791,the Bund,上海外滩
KV002792,the Double Ninth Festival,重阳节
KV002793,the Dragon Boat Festival,端午节
KV002794,the Eiffel Tower,埃菲尔铁塔
KV002795,the Golden Gate Bridge,金门大桥
KV002796,the Great Wall of China,中国长城
KV002797,the high jump,跳高
KV002798,the Internet,互联网；因特网
KV002799,the Lantern Festival,元宵节
KV002800,the long jump,跳远
KV002801,the Mayflower,五月花号
KV002802,the Mid-autumn Festival,中秋节
KV002803,the National Team,国家队
KV002804,the Palace Museum,故宫博物院
KV002805,the Spring Festival,春节
KV002806,the sun,太阳
KV002807,the Tree Planting Day,植树节
KV002808,the U.S.,美国
KV002809,the West Lake,西湖
KV002810,them,他们；她们；它们
KV002811,themselves,他们自己；她们自己；它们自己
KV002812,these,这些
KV002813,thick,厚的
KV002814,thief,小偷；贼
KV002815,thinnest,最瘦的；最薄的
KV002816,thirteenth,第十三
KV002817,thirtieth,第三十
KV002818,thirty-one,三十一
KV002819,thirty-two,三十二
KV002820,Thomas Edison,托马斯·爱迪生
KV002821,throat,喉咙；嗓子
KV002822,through,穿过；通过
KV002823,throw,扔；投
KV002824,throw away,扔掉；丢弃
KV002825,thump,砰的一声；重击
KV002826,Tian'anmen Square,天安门广场
