Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
play football,,,a. 踢足球,na. 踢足球；对难办的事采取踢皮球的态度,2年级下|3年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下 appears::4年级上
fly a kite,,,a. 放风筝,na. 放风筝；试探舆论；开空头支票；〈美〉(从狱中)非法寄出信件,2年级下|3年级下,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下
ride a bike,,,骑自行车,骑自行车；骑车；骑单车,2年级下|3年级下,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下
make a model plane,,,无,无,2年级下|3年级下,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下
swim,[swɪm],[swɪm],游泳,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起",2年级下|3年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下 appears::4年级上
make a snowman,,,堆雪人,堆雪人；做雪人；堆一个雪人,2年级下|3年级下,rj_start1 grade::2 semester::下 appears::2年级下 appears::3年级下
can't,,,不能；不会,abbr. 不能（can not）,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
rainy,[ˈreɪni],[ˈreɪni],下雨的,adj. 下雨的；多雨的,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
cloudy,[ˈklaʊdi],[ˈklaʊdi],多云的,adj. 多云的；阴天的；愁容满面的,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
snowy,[ˈsnəʊi],[ˈsnoʊi],下雪的，多雪的,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
windy,[ˈwɪndi],[ˈwɪndi],多风的，有风的,adj. 多风的，有风的；腹胀的；吹牛的,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
sunny,[ˈsʌni],[ˈsʌni],阳光充足的，和煦的,adj. 阳光充足的，和煦的；快活的；性情开朗的,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
umbrella,[ʌmˈbrelə],[ʌmˈbrelə],雨伞,n. 雨伞；保护伞；庇护；伞形结构,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
weather,[ˈweðə(r)],[ˈweðər],天气,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
wow,[waʊ],[waʊ],极大的成功,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
let's,,,让我们（let us的简写）,让我们（let us的简写）,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
spring,[sprɪŋ],[sprɪŋ],春天,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
summer,[ˈsʌmə(r)],[ˈsʌmər],夏季,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
autumn,[ˈɔːtəm],[ˈɔːtəm; ˈɑːtəm],秋天,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
winter,[ˈwɪntə(r)],[ˈwɪntər],冬季,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
hot,[hɒt],[hɑːt],热的,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
warm,[wɔːm],[wɔːrm],取暖,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
cool,[kuːl],[kuːl],凉爽,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地",2年级下|5年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::5年级上
cold,[kəʊld],[kəʊld],寒冷,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
favourite,[ˈfeɪvərɪt],[ˈfeɪvərɪt],特别喜爱的人（或物）特别受喜爱的,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
season,[ˈsiːzn],[ˈsiːzn],时期,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
eleven,[ɪˈlev(ə)n],[ɪˈlevn],um. 十一,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
twelve,[twelv],[twelv],um. 十二,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
twenty,[ˈtwenti],[ˈtwenti],um. 二十二十,"num. 二十
n. 二十；二十年代
adj. 二十的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
thirty,[ˈθɜːti],[ˈθɜːrti],um. 三十三十年代三十个的,"num. 三十
n. 三十年代
adj. 三十个的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
forty,[ˈfɔːti],[ˈfɔːrti],四十四十的,"n. 四十
adj. 四十的；四十个的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
fifty,[ˈfɪfti],[ˈfɪfti],五十,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
thirteen,[ˌθɜːˈtiːn],[ˌθɜːrˈtiːn],十三,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
fourteen,[ˌfɔːˈtiːn],[ˌfɔːrˈtiːn],um. 十四,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
