Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
too much,,,a. 太过份,na. 太过份,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
candy,[ˈkændi],[ˈkændi],糖果（等于sweets）,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
early,[ˈɜːli],[ˈɜːrli],早期的,"adj. 早期的；早熟的
adv. 提早；在初期",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
exercise,[ˈeksəsaɪz],[ˈeksərsaɪz],运动,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
tired,[ˈtaɪəd],[ˈtaɪərd],疲倦,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
drink,[drɪŋk],[drɪŋk],酒，饮料,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
stomachache,[ˈstʌməkeɪk],[ˈstʌməkˌeɪk],腹痛，肚子痛,n. 腹痛，肚子痛；胃痛,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
headache,[ˈhedeɪk],[ˈhedeɪk],头痛,n. 头痛；麻烦；令人头痛之事,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
toothache,[ˈtuːθeɪk],[ˈtuːθeɪk],牙痛,n. [口腔] 牙痛,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
a lot of,,,det. 许多,det. 许多,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
sleepy,[ˈsliːpi],[ˈsliːpi],欲睡的,adj. 欲睡的；困乏的；不活跃的,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
subject,[ˈsʌbdʒɪkt; ˈsʌbdʒekt],[ˈsʌbdʒɪkt; ˈsʌbdʒekt],主题,"n. 主题；科目；[语] 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
mark,[mɑːk],[mɑːrk],标志,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
advice,[ədˈvaɪs],[ədˈvaɪs],建议,n. 建议；忠告；劝告；通知,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
more,[mɔː(r)],[mɔːr],更多,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
New Year's Day,,,a. 元旦,na. 元旦,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
Tree Planting Day,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
Mother's Day,,,a. (美国和加拿大的)母亲节,na. (美国和加拿大的)母亲节,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
Children's Day,,,a. 儿童节,na. 儿童节,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
