Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
across from,,,在……对面,The bank is across from the hotel.,银行在酒店对面。,na. 在…的正对面,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
next to,,,紧挨着；在……旁边,The post office is next to the bank.,邮局在银行旁边。,prep. 紧邻；在…近旁；仅次于；紧接,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
between,[bɪˈtwiːn],[bɪˈtwiːn],在……之间,The shop is between the bank and hotel.,商店在银行和酒店之间。,"prep. 在…之间
adv. 在中间",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
restaurant,[ˈrestrɒnt],[ˈrestrɑːnt; ˈrestərɑːnt],餐馆；饭店,We eat dinner at the restaurant.,我们在餐馆吃晚饭。,n. 餐馆；[经] 饭店,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
post office,[ˈpəust ɔfis],[ˈpost ɔfɪs],邮局,I go to the post office.,我去邮局。,n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
bank,[bæŋk],[bæŋk],银行,The bank is near the hotel.,银行在酒店附近。,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
grocery,[ˈɡrəʊsəri],[ˈɡroʊsəri],食品杂货店；杂货店,We buy food at the grocery.,我们在杂货店买食物。,"n. 食品杂货店
食品杂货",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
turn left,[tɜ:n left],[tɝ​n lɛft],向左转,Turn left at the crossroads.,在十字路口向左转。,un. 向左转,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
turn right,,,向右转,Turn right at the bank.,在银行那里向右转。,na. 转往右面,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
go straight,,,直走,Go straight and turn left.,直走然后左转。,na. 笔直走,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
