Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
live,[lɪv; laɪv],[lɪv; laɪv],居住；生活,I live in a big city.,我住在一座大城市里。,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
quite,[kwaɪt],[kwaɪt],很；相当,The city is quite beautiful.,这座城市相当漂亮。,adv. 很；相当；完全,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
scarf,[skɑːf],[skɑːrf],围巾,I wear a scarf in winter.,我冬天戴围巾。,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
airport,[ˈeəpɔːt],[ˈerpɔːrt],机场,We arrived at the airport early.,我们很早到达机场。,n. 机场；航空站,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
pupil,[ˈpjuːp(ə)l],[ˈpjuːpl],小学生；学生,He is a primary school pupil.,他是一名小学生。,n. 学生；[解剖] 瞳孔；未成年人,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
arrive,[əˈraɪv],[əˈraɪv],到达,We arrived in Toronto yesterday.,我们昨天到达多伦多。,vi. 到达；成功；达成；出生,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
meet,[miːt],[miːt],见面；遇见,I met my pen pal at the airport.,我在机场见到了笔友。,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
wardrobe,[ˈwɔːdrəʊb],[ˈwɔːrdroʊb],衣柜,My clothes are in the wardrobe.,我的衣服在衣柜里。,n. 衣柜；行头；全部戏装,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
show ... around,,,带……参观,I will show you around our school.,我会带你参观我们的学校。,v. 带…参观,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
Queen's Park,,,皇后公园,We visited Queen's Park yesterday.,我们昨天参观了皇后公园。,皇后公园；女王公园；女王公园酒店,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
art gallery,,,美术馆,We saw many paintings at the art gallery.,我们在美术馆看到了许多画。,n. 美术馆；艺术展览馆,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
public library,,,公共图书馆,We read books at the public library.,我们在公共图书馆看书。,na. 公立[公共]图书馆,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
downtown,[ˌdaʊnˈtaʊn],[ˌdaʊnˈtaʊn],市中心；在市中心,We took the subway downtown.,我们乘地铁去了市中心。,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
Lake Ontario,,,安大略湖,Toronto is beside Lake Ontario.,多伦多在安大略湖畔。,n. 安大略湖,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
stadium,[ˈsteɪdiəm],[ˈsteɪdiəm],体育场,We watched a game at the stadium.,我们在体育场看了一场比赛。,n. 体育场；露天大型运动场,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
volunteer,[ˌvɒlənˈtɪə(r)],[ˌvɑːlənˈtɪr],志愿者；志愿服务,I want to be a volunteer.,我想成为一名志愿者。,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
sandwich,[ˈsænwɪtʃ; ˈsænwɪdʒ],[ˈsænwɪtʃ; ˈsænwɪdʒ],三明治,I had a sandwich for lunch.,我午饭吃了一个三明治。,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
top,[tɒp],[tɑːp],顶部；顶端,We went to the top of the tower.,我们去了塔顶。,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
habit,[ˈhæbɪt],[ˈhæbɪt],习惯,Reading every day is a good habit.,每天阅读是一个好习惯。,"n. 习惯，习性；嗜好
vt. 使穿衣",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
idea,[aɪˈdɪə],[aɪˈdiːə],想法；主意,That is a good idea.,那是个好主意。,n. 想法；主意；概念,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
less,[les],[les],更少的；较少,We should eat less candy.,我们应该少吃糖果。,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
at least,,,至少,I read for at least twenty minutes.,我至少阅读二十分钟。,na. 至少,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
talk about,,,谈论；讨论,We talked about healthy habits.,我们讨论了健康习惯。,na. 讲(某事),6年级下,rj_start1 grade::6 semester::下 appears::6年级下
hockey,[ˈhɒki],[ˈhɑːki],冰球；曲棍球,Hockey is popular in Canada.,冰球在加拿大很受欢迎。,n. 曲棍球；冰球,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
beaver,[ˈbiːvə(r)],[ˈbiːvər],海狸,The beaver lives near water.,海狸生活在水边。,n. 海狸；海狸皮毛,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
raccoon,[rəˈkuːn],[ræˈkuːn],浣熊,A raccoon has a black mask.,浣熊脸上有黑色的斑纹。,n. 浣熊；浣熊毛皮,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
moose,[muːs],[muːs],驼鹿,A moose is a large animal.,驼鹿是一种大型动物。,"n. [脊椎] 驼鹿；麋
[ 复数 moose ]",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
countryside,[ˈkʌntrisaɪd],[ˈkʌntrisaɪd],乡村；农村,My grandparents live in the countryside.,我的祖父母住在乡下。,n. 农村，乡下；乡下的全体居民,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
Thanksgiving,,,感恩节,Families eat together at Thanksgiving.,家人们在感恩节一起吃饭。,n. 感恩,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
roast turkey,,,烤火鸡,We had roast turkey for dinner.,我们晚饭吃了烤火鸡。,n. 【食】烤火鸡,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
squirrel,[ˈskwɪrəl],[ˈskwɜːrəl],松鼠,A squirrel can climb trees.,松鼠会爬树。,"n. 松鼠；松鼠毛皮
vt. 贮藏",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
swan,[swɒn],[swɑːn],天鹅,The swan is swimming on the lake.,天鹅正在湖上游泳。,"n. 天鹅；天鹅星座
vi. 游荡，闲荡",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
wild goose,,,大雁；野雁,Wild geese fly south in autumn.,大雁秋天向南飞。,na. 【鸟】雁,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
frog,[frɒɡ],[frɑːɡ],青蛙,A frog can jump and swim.,青蛙会跳也会游泳。,"n. 青蛙；[铁路] 辙叉；饰扣
vi. 捕蛙",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
English-Chinese dictionary,,,英汉词典,I use an English-Chinese dictionary.,我使用英汉词典。,英汉字典；辞典；氏英字典,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
shopping centre,,,购物中心,There are many shops in the shopping centre.,购物中心里有很多商店。,n. 购物中心（集中一批商店，有时在同一建筑物内）,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
shopping mall,,,购物中心；商场,We went shopping at the mall.,我们去商场购物了。,un. 商业区林荫路,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
amazing,[əˈmeɪzɪŋ],[əˈmeɪzɪŋ],令人惊叹的；了不起的,The CN Tower is amazing.,加拿大国家电视塔令人惊叹。,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）",6年级下,rj_start1 grade::6 semester::下 appears::6年级下
hot pot,,,火锅,We ate hot pot together.,我们一起吃了火锅。,na. 〈英〉马铃薯炖牛[羊]肉,6年级下,rj_start1 grade::6 semester::下 appears::6年级下
