Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
book,[bʊk],[bʊk],书籍,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
ruler,[ˈruːlə(r)],[ˈruːlər],尺,n. 尺；统治者；[测] 划线板，划线的人,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
pencil,[ˈpens(ə)l],[ˈpensl],铅笔,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状",1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
schoolbag,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,n. 书包,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],教师,n. 教师；导师,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
I,[aɪ],[aɪ],我,"n. 碘元素；英语字母I
pron. 我",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
have,[həv],[həv; əv; hæv],有；拥有,"aux. 已经
vt. 有；让；拿；从事；允许",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
a,[ə],[ə; eɪ],一个；一,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. [物]安（ampere）",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
an,[ən],[ən; æn],一个；一,art. 一（在元音音素前）,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
face,[feɪs],[feɪs],脸,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
ear,[ɪə(r)],[ɪr],耳朵,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
eye,[aɪ],[aɪ],眼睛,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
nose,[nəʊz],[noʊz],鼻子,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
mouth,[maʊθ],[maʊθ],口，嘴,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
this,[ðɪs],[ðɪs],这；这个,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
is,[ɪz],[ɪz],是,"v. 是（be的三单形式）
n. 存在",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
my,[maɪ],[maɪ],我的,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
dog,[dɒɡ],[dɔːɡ],狗,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
bird,[bɜːd],[bɜːrd],鸟,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟",1年级上|3年级上|6年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上 appears::6年级上
tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],老虎,n. 老虎；凶暴的人,1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
monkey,[ˈmʌŋki],[ˈmʌŋki],猴子,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
cat,[kæt],[kæt],猫，猫科动物,n. 猫，猫科动物,1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
what,[wɒt],[wʌt],什么,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
it,[ɪt],[ɪt],它；这件事,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
one,[wʌn],[wʌn],一；一个,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
two,[tuː],[tuː],二；两个,"num. 二
n. 两个
adj. 两个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
three,[θriː],[θriː],三；三个,"num. 三
n. 三，三个
adj. 三的，三个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
four,[fɔː(r)],[fɔːr],四；四个,"num. 四；四个
adj. 四的；四个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
five,[faɪv],[faɪv],五；五个,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
six,[sɪks],[sɪks],六；六个,"num. 六，六个
n. 六，六个",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
seven,[ˈsev(ə)n],[ˈsev(ə)n],七；七个,"num. 七个，七
n. 七个，七
adj. 七的；七个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
eight,[eɪt],[eɪt],八；八个,"num. 八；八个；第八
n. 八字形
adj. 八的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
nine,[naɪn],[naɪn],九；九个,"n. 九，九个
num. 九；九个
adj. 九的，九个的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
ten,[ten],[ten],十；十个,num. 十个，十,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
how,[haʊ],[haʊ],怎样；如何,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
many,[ˈmeni],[ˈmeni],许多,"pron. 许多；许多人
adj. 许多的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
are,[ɑ:(r)],[ər; ɑːr; er],是,"v. 是（be的第二人称单复数现在式）
n. 公亩",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
there,[ðeə(r)],[ðer],那个地方,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
black,[blæk],[blæk],黑色,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
yellow,[ˈjeləʊ],[ˈjeloʊ],黄色,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
blue,[bluː],[bluː],蓝色的,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
red,[red],[red],红色，红颜料,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
green,[ɡriːn],[ɡriːn],绿色,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色",1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
colour,[ˈkʌlə(r)],[ˈkʌlər],颜色,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
apple,[ˈæp(ə)l],[ˈæpl],苹果，苹果树，苹果似的东西,n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
pear,[peə(r)],[per],梨树,n. [园艺] 梨树；梨子,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
banana,[bəˈnɑːnə],[bəˈnænə],香蕉,n. 香蕉；喜剧演员；大鹰钩鼻,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],橙色的,"adj. 橙色的；橘色的
n. 橙；橙色；桔子",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
do,[duː; də; du; dəʊ],[duː; də; du; doʊ],做；干,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
you,[ju],[juː; jə],你；你们,pron. 你；你们,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
like,[laɪk],[laɪk],喜欢,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
yes,[jes],[jes],是；对,"n. 是（表示肯定）
adv. 是, 是的",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
no,[nəʊ],[noʊ],不；不是,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
