Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
clever,[ˈklevə(r)],[ˈklevər],聪明的,"adj. 聪明的；机灵的；熟练的
[ 比较级cleverer 最高级 cleverest ]",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
careless,[ˈkeələs],[ˈkerləs],粗心的,adj. 粗心的；无忧无虑的；淡漠的,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
polite,[pəˈlaɪt],[pəˈlaɪt],有礼貌的，客气的,adj. 有礼貌的，客气的；文雅的；上流的；优雅的,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
quiet,[ˈkwaɪət],[ˈkwaɪət],安静,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
friendly,[ˈfrendli],[ˈfrendli],友好的,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
helpful,[ˈhelpfl],[ˈhelpfl],有帮助的,adj. 有帮助的；有益的,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
active,[ˈæktɪv],[ˈæktɪv],主动语态,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
popular,[ˈpɒpjələ(r)],[ˈpɑːpjələr],流行的，通俗的,adj. 流行的，通俗的；受欢迎的；大众的；普及的,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
talk,[tɔːk],[tɔːk],谈话,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
all,[ɔːl],[ɔːl],全部,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
but,[bət],[bət; bʌt],但是,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
sometimes,[ˈsʌmtaɪmz],[ˈsʌmtaɪmz],有时，间或,adv. 有时，间或,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
bark,[bɑːk],[bɑːrk],树皮,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
forget,[fəˈɡet],[fərˈɡet],忘记,"vi. 忘记
vt. 忘记；忽略",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
with,[wɪð],[wɪð; wɪθ],和；跟；用,prep. 用；随着；支持；和…在一起,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
wear glasses,,,戴眼镜,戴眼镜；戴着眼镜；带着眼镜,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
slim,[slɪm],[slɪm],苗条的,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
curly,[ˈkɜːli],[ˈkɜːrli],卷曲的,adj. 卷曲的；卷毛的；（木材）有皱状纹理的；蜷缩的,5年级上,rj_start1 grade::5 semester::上 appears::5年级上
straight,[streɪt],[streɪt],直,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地",5年级上,rj_start1 grade::5 semester::上 appears::5年级上
