Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
father,[ˈfɑːðə(r)],[ˈfɑːðər],父亲，爸爸,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲",2年级上|3年级下|4年级上,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下 appears::4年级上
mother,[ˈmʌðə(r)],[ˈmʌðər],母亲,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的",2年级上|3年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下
brother,[ˈbrʌðə(r)],[ˈbrʌðər],兄弟,"n. 兄弟；同事；战友
int. 我的老兄！",2年级上|3年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下
sister,[ˈsɪstə(r)],[ˈsɪstər],姐妹,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的",2年级上|3年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下
grandmother,[ˈɡrænmʌðə(r)],[ˈɡrænmʌðər],祖母,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母",2年级上|3年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下
grandfather,[ˈɡrænfɑːðə(r)],[ˈɡrænfɑːðər],祖父,"n. 祖父；始祖
vt. 不受新规定限制",2年级上|3年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级下
who,[huː],[huː],谁,pron. 谁；什么人,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
he,[hi; iː; i; hiː],[hi; iː; i; hiː],他,"n. 男孩，男人；它（雄性动物）
pron. 他",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
she,[ʃi],[ʃi; ʃiː],她,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
classmate,[ˈklɑːsmeɪt],[ˈklæsmeɪt],同班同学,n. 同班同学,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
friend,[frend],[frend],朋友,n. 朋友；助手；赞助者,2年级上|4年级上,rj_start1 grade::2 semester::上 appears::2年级上 appears::4年级上
woman,[ˈwʊmən],[ˈwʊmən],妇女,n. 妇女；女性；成年女子,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
girl,[ɡɜːl],[ɡɜːrl],女孩,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
man,[mæn],[mæn],人,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
boy,[bɔɪ],[bɔɪ],男孩,n. 男孩；男人,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
look,[lʊk],[lʊk],看,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
his,[hɪz],[hɪz; ɪz],他的,pron. 他的,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
name,[neɪm],[neɪm],名称，名字,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的",2年级上|3年级上,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级上
her,[hə(r)],[hər; ɜːr; ər; hɜːr],她的,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
or,[ɔː(r)],[ɔːr],或者,conj. 或，或者；还是,2年级上,rj_start1 grade::2 semester::上 appears::2年级上
big,[bɪɡ],[bɪɡ],大的,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地",2年级上|3年级上,rj_start1 grade::2 semester::上 appears::2年级上 appears::3年级上
tall,[tɔːl],[tɔːl],高的,"adj. 高的；长的；过分的；夸大的
adv. 夸大地",2年级上,rj_start1 grade::2 semester::上 appears::2年级上
pretty,[ˈprɪti],[ˈprɪti],有吸引力的事物（尤指饰品）,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇",2年级上|4年级下,rj_start1 grade::2 semester::上 appears::2年级上 appears::4年级下
