Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
running,[ˈrʌnɪŋ],[ˈrʌnɪŋ],跑步,I like running after school.,我喜欢放学后跑步。,"n. 运转；赛跑；流出
v. 跑；运转（run的ing形式）；行驶
adj. 连续的；流动的；跑着的；运转着的",4年级上,rj_start1 grade::4 semester::上 appears::4年级上
basketball,[ˈbɑːskɪtbɔːl],[ˈbæskɪtbɔːl],篮球,I play basketball after school.,我放学后打篮球。,n. 篮球；篮球运动,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
roller skating,,,轮滑；滑旱冰,I like roller skating.,我喜欢轮滑。,un. 滑旱冰,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
jumping rope,,,跳绳,She is good at jumping rope.,她擅长跳绳。,跳绳；正在跳绳；跳跳绳,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
ping-pong,[ˈpɪŋ pɒŋ],[ˈpɪŋ pɑːŋ],乒乓球,We play ping-pong after school.,我们放学后打乒乓球。,n. 乒乓球；桌球,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
What about ...?,,,……怎么样？,What about basketball?,篮球怎么样？,un. 不；…怎样,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
interesting,[ˈɪntrəstɪŋ],[ˈɪntrəstɪŋ; ˈɪntrestɪŋ],有趣的,This book is interesting.,这本书很有趣。,adj. 有趣的；引起兴趣的，令人关注的,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
often,[ˈɒf(ə)n],[ˈɔːf(ə)n],经常；常常,I often play basketball.,我经常打篮球。,adv. 常常，时常,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
be good at,,,擅长,He is good at swimming.,他擅长游泳。,v. 善于,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
late,[leɪt],[leɪt],迟到的；晚的,Don't be late for school.,上学不要迟到。,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期",4年级上,rj_start1 grade::4 semester::上 appears::4年级上
visit one's grandparents,,,看望祖父母或外祖父母,I visit my grandparents on Sunday.,我星期日去看望祖父母。,无,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
go to a drawing club,,,参加绘画俱乐部,I go to a drawing club.,我参加绘画俱乐部。,无,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
climb a hill,,,爬山；爬小山,We climb a hill on Sunday.,我们星期日爬山。,无,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
pick fruit,,,摘水果,We pick fruit in autumn.,我们秋天摘水果。,无,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
play computer games,,,玩电脑游戏,I play computer games on Saturday.,我星期六玩电脑游戏。,玩电脑游戏；打电脑游戏；玩电子游戏,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
go fishing,,,去钓鱼,Dad and I go fishing.,爸爸和我去钓鱼。,去钓鱼；垂钓；我以前常去钓鱼,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
go to the cinema,,,去电影院；看电影,We go to the cinema.,我们去电影院看电影。,去看电影；去电影院；上电影院,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
on the weekend,,,在周末,I play sports on the weekend.,我周末做运动。,在周末；在这个周末；美式英语,4年级上,rj_start1 grade::4 semester::上 appears::4年级上
fun,[fʌn],[fʌn],乐趣；有趣,Roller skating is fun.,轮滑很有趣。,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑",4年级上,rj_start1 grade::4 semester::上 appears::4年级上
