Word,MeaningPrimary,ExampleSentence,ExampleTranslation
father,爸爸；父亲,My father is tall.,我爸爸很高。
mother,妈妈；母亲,My mother is pretty.,我妈妈很漂亮。
brother,兄弟；哥哥；弟弟,He is my brother.,他是我的兄弟。
sister,姐妹；姐姐；妹妹,She is my sister.,她是我的姐妹。
grandmother,奶奶；外婆,She is my grandmother.,她是我的奶奶或外婆。
grandfather,爷爷；外公,He is my grandfather.,他是我的爷爷或外公。
who,谁,Who is he?,他是谁？
he,他,He is my father.,他是我的爸爸。
she,她,She is my mother.,她是我的妈妈。
classmate,同班同学,He is my classmate.,他是我的同班同学。
friend,朋友,She is my friend.,她是我的朋友。
woman,女人；妇女,The woman is my teacher.,那个女人是我的老师。
girl,女孩,The girl is my friend.,那个女孩是我的朋友。
man,男人,The man is my father.,那个男人是我的爸爸。
boy,男孩,The boy is my friend.,那个男孩是我的朋友。
look,看,Look at the girl.,看那个女孩。
his,他的,His name is Tom.,他的名字叫汤姆。
name,名字,My name is Tom.,我的名字叫汤姆。
her,她的,Her name is Amy.,她的名字叫艾米。
or,或者,Is he tall or short?,他是高还是矮？
big,大的,The school is big.,这所学校很大。
tall,高的,My father is tall.,我爸爸很高。
pretty,漂亮的,The girl is pretty.,这个女孩很漂亮。
thin,瘦的,The boy is thin.,这个男孩很瘦。
short,矮的；短的,The boy is short.,这个男孩个子矮。
handsome,英俊的,The man is handsome.,这个男人很英俊。
new,新的,This is my new book.,这是我的新书。
does,助动词（do的第三人称单数）,Does he like cats?,他喜欢猫吗？
bookshop,书店,Let's go to the bookshop.,我们去书店吧。
zoo,动物园,Let's go to the zoo.,我们去动物园吧。
school,学校,I go to school.,我去上学。
supermarket,超市,Let's go to the supermarket.,我们去超市吧。
park,公园,Let's go to the park.,我们去公园吧。
hospital,医院,The hospital is big.,这家医院很大。
go,去,Let's go to the park.,我们去公园吧。
to,到；向；去,Let's go to school.,我们去学校吧。
grass,草,The grass is green.,草是绿色的。
tree,树,The tree is green.,这棵树是绿色的。
flower,花,The flower is red.,这朵花是红色的。
boat,小船,The boat is on the lake.,小船在湖上。
lake,湖,The boat is on the lake.,小船在湖上。
hill,小山,The hill is green.,小山是绿色的。
Christmas,圣诞节,Merry Christmas!,圣诞快乐！
Father Christmas,圣诞老人,Father Christmas has presents.,圣诞老人有礼物。
Christmas tree,圣诞树,The Christmas tree is green.,圣诞树是绿色的。
card,卡片；贺卡,This card is for you.,这张卡片送给你。
present,礼物,This present is for you.,这个礼物送给你。
New Year,新年,Happy New Year!,新年快乐！
merry,快乐的；愉快的,Merry Christmas!,圣诞快乐！
too,也,I like it too.,我也喜欢它。
here,这里,Your present is here.,你的礼物在这里。
for,给；为了,This card is for you.,这张卡片送给你。
thank,感谢；谢谢,Thank you.,谢谢你。
happy,快乐的；高兴的,Happy New Year!,新年快乐！
