Word,MeaningPrimary,ExampleSentence,ExampleTranslation
live,居住；生活,I live in a big city.,我住在一座大城市里。
quite,很；相当,The city is quite beautiful.,这座城市相当漂亮。
scarf,围巾,I wear a scarf in winter.,我冬天戴围巾。
airport,机场,We arrived at the airport early.,我们很早到达机场。
pupil,小学生；学生,He is a primary school pupil.,他是一名小学生。
arrive,到达,We arrived in Toronto yesterday.,我们昨天到达多伦多。
meet,见面；遇见,I met my pen pal at the airport.,我在机场见到了笔友。
wardrobe,衣柜,My clothes are in the wardrobe.,我的衣服在衣柜里。
show ... around,带……参观,I will show you around our school.,我会带你参观我们的学校。
Queen's Park,皇后公园,We visited Queen's Park yesterday.,我们昨天参观了皇后公园。
art gallery,美术馆,We saw many paintings at the art gallery.,我们在美术馆看到了许多画。
public library,公共图书馆,We read books at the public library.,我们在公共图书馆看书。
downtown,市中心；在市中心,We took the subway downtown.,我们乘地铁去了市中心。
Lake Ontario,安大略湖,Toronto is beside Lake Ontario.,多伦多在安大略湖畔。
stadium,体育场,We watched a game at the stadium.,我们在体育场看了一场比赛。
volunteer,志愿者；志愿服务,I want to be a volunteer.,我想成为一名志愿者。
sandwich,三明治,I had a sandwich for lunch.,我午饭吃了一个三明治。
top,顶部；顶端,We went to the top of the tower.,我们去了塔顶。
habit,习惯,Reading every day is a good habit.,每天阅读是一个好习惯。
idea,想法；主意,That is a good idea.,那是个好主意。
less,更少的；较少,We should eat less candy.,我们应该少吃糖果。
at least,至少,I read for at least twenty minutes.,我至少阅读二十分钟。
talk about,谈论；讨论,We talked about healthy habits.,我们讨论了健康习惯。
hockey,冰球；曲棍球,Hockey is popular in Canada.,冰球在加拿大很受欢迎。
beaver,海狸,The beaver lives near water.,海狸生活在水边。
raccoon,浣熊,A raccoon has a black mask.,浣熊脸上有黑色的斑纹。
moose,驼鹿,A moose is a large animal.,驼鹿是一种大型动物。
countryside,乡村；农村,My grandparents live in the countryside.,我的祖父母住在乡下。
Thanksgiving,感恩节,Families eat together at Thanksgiving.,家人们在感恩节一起吃饭。
roast turkey,烤火鸡,We had roast turkey for dinner.,我们晚饭吃了烤火鸡。
squirrel,松鼠,A squirrel can climb trees.,松鼠会爬树。
swan,天鹅,The swan is swimming on the lake.,天鹅正在湖上游泳。
wild goose,大雁；野雁,Wild geese fly south in autumn.,大雁秋天向南飞。
frog,青蛙,A frog can jump and swim.,青蛙会跳也会游泳。
English-Chinese dictionary,英汉词典,I use an English-Chinese dictionary.,我使用英汉词典。
shopping centre,购物中心,There are many shops in the shopping centre.,购物中心里有很多商店。
shopping mall,购物中心；商场,We went shopping at the mall.,我们去商场购物了。
amazing,令人惊叹的；了不起的,The CN Tower is amazing.,加拿大国家电视塔令人惊叹。
hot pot,火锅,We ate hot pot together.,我们一起吃了火锅。
