Word,MeaningPrimary,ExampleSentence,ExampleTranslation
across from,在……对面,The bank is across from the hotel.,银行在酒店对面。
next to,紧挨着；在……旁边,The post office is next to the bank.,邮局在银行旁边。
between,在……之间,The shop is between the bank and hotel.,商店在银行和酒店之间。
restaurant,餐馆；饭店,We eat dinner at the restaurant.,我们在餐馆吃晚饭。
post office,邮局,I go to the post office.,我去邮局。
bank,银行,The bank is near the hotel.,银行在酒店附近。
grocery,食品杂货店；杂货店,We buy food at the grocery.,我们在杂货店买食物。
turn left,向左转,Turn left at the crossroads.,在十字路口向左转。
turn right,向右转,Turn right at the bank.,在银行那里向右转。
go straight,直走,Go straight and turn left.,直走然后左转。
crossroads,十字路口,Turn right at the crossroads.,在十字路口右转。
neighbourhood,街区；社区,There is a park in my neighbourhood.,我的社区里有一个公园。
send,发送；寄,I send a card.,我寄一张卡片。
get,得到；取得,I get a present today.,我今天得到一份礼物。
money,钱,I have some money.,我有一些钱。
get to,到达,How can I get to the bank?,我怎样到银行？
before,在……之前,I get up before seven.,我七点前起床。
leave,离开,We leave home at eight.,我们八点离开家。
toy,玩具,This shop sells toys.,这家商店卖玩具。
city,城市,This city is beautiful.,这座城市很漂亮。
sports centre,体育中心,We play basketball at the sports centre.,我们在体育中心打篮球。
hotel,酒店；旅馆,We stay at a hotel.,我们住在酒店。
square,广场,There are many people in the square.,广场上有很多人。
buy toys,买玩具,We buy toys at the shop.,我们在商店买玩具。
see a film,看电影,We see a film at the cinema.,我们在电影院看电影。
go boating,去划船,We go boating on the lake.,我们在湖上划船。
busy,忙的,The street is busy today.,今天街上很繁忙。
station,车站,The station is near the hotel.,车站在酒店附近。
place,地方,This is a beautiful place.,这是一个美丽的地方。
thing,东西；事情,I have many things to do.,我有很多事情要做。
stay,停留；待,We stay at home today.,我们今天待在家里。
star,星星,We can see many stars.,我们能看到许多星星。
king,国王,The king lives in a big house.,国王住在一所大房子里。
central,中心的；中央的,The museum is in the central square.,博物馆在中心广场。
take photos,拍照,We take photos at the Great Wall.,我们在长城拍照。
museum,博物馆,We visit the museum today.,我们今天参观博物馆。
dream,梦想,My dream is to travel.,我的梦想是去旅行。
sea,海,We swim in the sea.,我们在海里游泳。
ski,滑雪,I want to ski in winter.,我想冬天去滑雪。
eat seafood,吃海鲜,We eat seafood by the sea.,我们在海边吃海鲜。
visit the Mogao Caves,参观莫高窟,We visit the Mogao Caves.,我们参观莫高窟。
West Lake,西湖,West Lake is beautiful.,西湖很美。
row a boat,划船,We row a boat on West Lake.,我们在西湖划船。
the Great Wall,长城,We visit the Great Wall.,我们参观长城。
summer vacation,暑假,We travel in summer vacation.,我们暑假去旅行。
travel,旅行；旅游,I like to travel with my family.,我喜欢和家人旅行。
reading,阅读；读书,Reading is my hobby.,阅读是我的爱好。
skateboarding,滑板运动,Skateboarding is my hobby.,滑板运动是我的爱好。
singing,唱歌,Singing is my hobby.,唱歌是我的爱好。
dancing,跳舞,Dancing is her hobby.,跳舞是她的爱好。
doing jigsaw puzzles,拼拼图,I like doing jigsaw puzzles.,我喜欢拼拼图。
making models,做模型,He likes making models.,他喜欢做模型。
collecting erasers,收集橡皮,She likes collecting erasers.,她喜欢收集橡皮。
different,不同的,We have different hobbies.,我们有不同的爱好。
hobby,爱好,Reading is my hobby.,阅读是我的爱好。
stamp,邮票,I like collecting stamps.,我喜欢集邮。
catch,抓住；捕捉,The cat can catch a fish.,猫能抓到鱼。
go for a picnic,去野餐,We go for a picnic on Sunday.,我们星期日去野餐。
play the violin,拉小提琴,She can play the violin.,她会拉小提琴。
go skating,去滑冰,We go skating in winter.,我们冬天去滑冰。
go camping,去露营,We go camping in summer.,我们夏天去露营。
do the housework,做家务,I help do the housework.,我帮忙做家务。
free,空闲的,Are you free on Sunday?,你星期日有空吗？
never,从不；从未,I never play with fire.,我从不玩火。
once a week,每周一次,I go swimming once a week.,我每周游泳一次。
twice a week,每周两次,I play basketball twice a week.,我每周打两次篮球。
three times a week,每周三次,I read books three times a week.,我每周读三次书。
Canada,加拿大,Canada is a big country.,加拿大是一个大国。
Australia,澳大利亚,Koalas live in Australia.,考拉生活在澳大利亚。
the UK,英国,Big Ben is in the UK.,大本钟在英国。
the USA,美国,Disneyland is in the USA.,迪士尼乐园在美国。
China,中国,The Great Wall is in China.,长城在中国。
koala,考拉；树袋熊,The koala is cute.,考拉很可爱。
maple leaves,枫叶,Maple leaves are beautiful.,枫叶很漂亮。
Big Ben,大本钟,Big Ben is in the UK.,大本钟在英国。
Disneyland,迪士尼乐园,I want to visit Disneyland.,我想参观迪士尼乐园。
campfire,篝火；营火,We sit by the campfire.,我们坐在篝火旁。
cute,可爱的,The koala is very cute.,考拉非常可爱。
country,国家,China is my country.,中国是我的国家。
