Word,MeaningPrimary,ExampleSentence,ExampleTranslation
too much,太多,Don't eat too much candy.,不要吃太多糖果。
candy,糖果,Too much candy is bad for teeth.,太多糖果对牙齿不好。
early,早；早地,I go to bed early.,我很早上床睡觉。
exercise,锻炼；运动,We need exercise every day.,我们每天都需要锻炼。
tired,疲倦的；累的,I am tired after exercise.,运动后我很累。
drink,喝；饮料,Drink more water every day.,每天多喝水。
stomachache,胃痛；肚子痛,I have a stomachache.,我肚子痛。
headache,头痛,I have a headache.,我头痛。
toothache,牙痛,I have a toothache.,我牙痛。
a lot of,许多；大量,Drink a lot of water.,多喝水。
sleepy,困倦的；想睡的,I feel sleepy in class.,我上课时觉得困。
subject,学科；科目,English is my favourite subject.,英语是我最喜欢的学科。
mark,分数；成绩,I got a good mark in English.,我的英语取得了好成绩。
advice,建议,Thank you for your advice.,谢谢你的建议。
more,更多的；更多,You should drink more water.,你应该多喝水。
New Year's Day,元旦,New Year's Day is on January first.,元旦是一月一日。
Tree Planting Day,植树节,We plant trees on Tree Planting Day.,我们在植树节植树。
Mother's Day,母亲节,I make a card for Mother's Day.,我为母亲节做一张卡片。
Children's Day,儿童节,Children's Day is on June first.,儿童节是六月一日。
Father's Day,父亲节,I call Dad on Father's Day.,我在父亲节给爸爸打电话。
Teachers' Day,教师节,We thank teachers on Teachers' Day.,我们在教师节感谢老师。
National Day,国庆节,National Day is on October first.,国庆节是十月一日。
Christmas Day,圣诞节,Christmas Day is in December.,圣诞节在十二月。
fifth,第五,May is the fifth month.,五月是第五个月。
5th,第五（fifth的缩写）,May is the 5th month.,五月是第五个月。
tenth,第十,October is the tenth month.,十月是第十个月。
10th,第十（tenth的缩写）,October is the 10th month.,十月是第十个月。
twelfth,第十二,December is the twelfth month.,十二月是第十二个月。
12th,第十二（twelfth的缩写）,December is the 12th month.,十二月是第十二个月。
twenty-fifth,第二十五,Christmas is on December twenty-fifth.,圣诞节是十二月二十五日。
25th,第二十五（twenty-fifth的缩写）,Christmas is on December 25th.,圣诞节是十二月二十五日。
plant,种植；植物,We plant trees in spring.,我们春天植树。
make a poster,制作海报,We make a poster for the school.,我们为学校制作海报。
celebrate,庆祝,We celebrate Children's Day at school.,我们在学校庆祝儿童节。
have a picnic,去野餐；举行野餐,We have a picnic in the park.,我们在公园野餐。
office,办公室,My teacher is in the office.,我的老师在办公室。
together,一起,We celebrate the day together.,我们一起庆祝这个节日。
special,特别的；特殊的,Today is a special day.,今天是特别的一天。
send an email,发送电子邮件,I send an email to my friend.,我给朋友发电子邮件。
write a letter,写信,I write a letter to Grandma.,我给奶奶写信。
make a phone call,打电话,I make a phone call to Dad.,我给爸爸打电话。
send a short message,发送短信,I send a short message to Mum.,我给妈妈发短信。
mail a present,邮寄礼物,I mail a present to my cousin.,我给表兄弟姐妹邮寄礼物。
make a video call,视频通话,We make a video call to Grandma.,我们和奶奶视频通话。
say,说；讲,Please say hello to your family.,请向你的家人问好。
make a card,制作卡片,I make a card for Mum.,我给妈妈做一张卡片。
everywhere,到处；各处,There are flowers everywhere in spring.,春天到处都是花。
flower show,花展,We visit the flower show.,我们参观花展。
cleaned the window,擦了窗户,I cleaned the window yesterday.,我昨天擦了窗户。
watched TV,看了电视,I watched TV last night.,我昨晚看了电视。
climbed a hill,爬了山,We climbed a hill yesterday.,我们昨天爬了山。
visited grandparents,看望了祖父母或外祖父母,I visited my grandparents on Sunday.,我星期日看望了祖父母。
danced,跳了舞,We danced at the party.,我们在聚会上跳舞。
jumped rope,跳了绳,She jumped rope after school.,她放学后跳了绳。
listened to music,听了音乐,I listened to music yesterday.,我昨天听了音乐。
rowed a boat,划了船,We rowed a boat on the lake.,我们在湖上划了船。
played computer games,玩了电脑游戏,I played computer games yesterday.,我昨天玩了电脑游戏。
stayed at home,待在家里,I stayed at home on Sunday.,我星期日待在家里。
played the piano,弹了钢琴,She played the piano at the party.,她在聚会上弹了钢琴。
played chess,下了棋,I played chess with Dad.,我和爸爸下了棋。
washed clothes,洗了衣服,I washed clothes yesterday.,我昨天洗了衣服。
boring,无聊的；乏味的,The film was boring.,这部电影很无聊。
badminton,羽毛球,I play badminton after school.,我放学后打羽毛球。
won,赢了；获胜（win的过去式）,Our class won the game.,我们班赢得了比赛。
went to the beach,去了海滩,We went to the beach yesterday.,我们昨天去了海滩。
drank cold drinks,喝了冷饮,We drank cold drinks at the beach.,我们在海滩喝了冷饮。
swam,游了泳（swim的过去式）,We swam in the sea.,我们在海里游泳了。
ate ice-cream,吃了冰淇淋,I ate ice-cream yesterday.,我昨天吃了冰淇淋。
the Stone Forest,石林,We visited the Stone Forest.,我们参观了石林。
bought some gifts,买了一些礼物,We bought some gifts there.,我们在那里买了一些礼物。
took photos,拍了照片,We took photos at the museum.,我们在博物馆拍了照片。
saw flowers,看到了花,We saw many beautiful flowers.,我们看到了许多漂亮的花。
slept,睡了；睡觉（sleep的过去式）,I slept well last night.,我昨晚睡得很好。
felt happy,感到高兴,I felt happy on the trip.,旅行中我感到很高兴。
sad,难过的；伤心的,She felt sad yesterday.,她昨天感到难过。
left,离开（leave的过去式）,We left the hotel at eight.,我们八点离开了酒店。
French fries,炸薯条,I ate French fries for lunch.,我午饭吃了炸薯条。
were,是（are的过去式）,They were happy yesterday.,他们昨天很高兴。
was born,出生,I was born in 2017.,我出生于2017年。
