Word,MeaningPrimary,ExampleSentence,ExampleTranslation
year,年；岁,I am nine years old.,我九岁。
old,……岁的；年老的,How old are you?,你几岁？
how old,几岁；多大,How old is your sister?,你妹妹几岁？
class,班；班级,I am in Class One.,我在一班。
grade,年级,I am in Grade Three.,我上三年级。
age,年龄,What is your age?,你多大年龄？
dear,亲爱的,Dear Amy thank you.,亲爱的艾米，谢谢你。
body,身体,My body is strong.,我的身体很强壮。
head,头；头部,My head hurts.,我的头疼。
hair,头发,Her hair is long.,她的头发很长。
arm,手臂,My arm hurts.,我的手臂疼。
hand,手,Wash your hands.,洗洗你的手。
leg,腿,My leg hurts.,我的腿疼。
foot,脚,My foot hurts.,我的脚疼。
feet,脚（foot的复数）,My feet are cold.,我的脚很冷。
the matter,问题；怎么了,What's the matter?,怎么了？
hurt,疼；受伤,My leg hurts.,我的腿疼。
help,帮助；帮忙,Can I help you?,我能帮你吗？
bad,坏的；糟糕的,That is too bad.,那太糟糕了。
bite,咬,The dog can bite.,狗会咬人。
tongue,舌头,Show me your tongue.,伸出你的舌头给我看。
kick,踢,Don't kick the ball here.,不要在这里踢球。
morning,早晨；上午,Good morning teacher.,老师早上好。
afternoon,下午,Good afternoon teacher.,老师下午好。
summary,总结；概要,Let's read the summary.,我们来读一下总结。
bread,面包,I want some bread.,我想要一些面包。
cake,蛋糕,I like cake.,我喜欢蛋糕。
fruit,水果,I like fruit.,我喜欢水果。
ice-cream,冰淇淋,I like ice-cream.,我喜欢冰淇淋。
potato,土豆；马铃薯,I want some potatoes.,我想要一些土豆。
tomato,西红柿；番茄,I like tomatoes.,我喜欢西红柿。
meat,肉；肉类,I want some meat.,我想要一些肉。
shopping list,购物清单,This is my shopping list.,这是我的购物清单。
cola,可乐,I don't drink cola.,我不喝可乐。
buy,买；购买,I want to buy fruit.,我想买水果。
vegetables,蔬菜,I like vegetables.,我喜欢蔬菜。
duck,鸭子,The duck is in the water.,鸭子在水里。
rabbit,兔子,The rabbit has long ears.,兔子有长耳朵。
pet,宠物,My cat is my pet.,我的猫是我的宠物。
snake,蛇,The snake is long.,这条蛇很长。
turtle,乌龟,The turtle is small.,这只乌龟很小。
small,小的,The turtle is small.,这只乌龟很小。
long,长的,The snake is long.,这条蛇很长。
look for,寻找,I am looking for my cat.,我在找我的猫。
tail,尾巴,The dog has a long tail.,狗有一条长尾巴。
dance,跳舞,I like to dance.,我喜欢跳舞。
cap,帽子；便帽,Wear your cap.,戴上你的帽子。
coat,外套,Wear your coat.,穿上你的外套。
shoes,鞋,These are my shoes.,这是我的鞋。
sweater,毛衣,Wear your sweater.,穿上你的毛衣。
jacket,夹克衫,This is my jacket.,这是我的夹克衫。
gloves,手套,Wear your gloves.,戴上你的手套。
trousers,裤子；长裤,These are my trousers.,这是我的裤子。
should,应该,You should wear a coat.,你应该穿外套。
wear,穿；戴,I wear a coat in winter.,我冬天穿外套。
week,星期；周,I go swimming every week.,我每周去游泳。
soon,很快；不久,See you soon.,很快再见。
look forward to,期待；盼望,I look forward to my birthday.,我期待我的生日。
January,一月,My birthday is in January.,我的生日在一月。
February,二月,My birthday is in February.,我的生日在二月。
March,三月,Spring starts in March.,春天从三月开始。
April,四月,April is in spring.,四月在春季。
May,五月,My birthday is in May.,我的生日在五月。
June,六月,Children's Day is in June.,儿童节在六月。
July,七月,July is in summer.,七月在夏季。
August,八月,August is in summer.,八月在夏季。
September,九月,School starts in September.,学校九月开学。
October,十月,October is in autumn.,十月在秋季。
November,十一月,November is in autumn.,十一月在秋季。
December,十二月,Christmas is in December.,圣诞节在十二月。
birthday,生日,Today is my birthday.,今天是我的生日。
first,第一；首先,January is the first month.,一月是第一个月。
party,聚会；派对,We have a birthday party.,我们举办生日聚会。
delicious,美味的；好吃的,The cake is delicious.,蛋糕很好吃。
