Word,MeaningPrimary,ExampleSentence,ExampleTranslation
morning tea,早茶,We had morning tea at the hotel.,我们在酒店吃了早茶。
soup,汤,This soup tastes delicious.,这汤尝起来很好喝。
the Potala Palace,布达拉宫,The Potala Palace is in Lhasa.,布达拉宫在拉萨。
the Summer Palace,颐和园,The Summer Palace is in Beijing.,颐和园在北京。
the Terracotta Army,兵马俑,The Terracotta Army is in Xi'an.,兵马俑在西安。
vacation,假期,We travelled during the vacation.,我们假期里去旅行了。
taste,味道；尝起来,The soup tastes good.,这汤味道很好。
map,地图,Find Beijing on the map.,在地图上找到北京。
north,北；北方,Beijing is in the north of China.,北京在中国北方。
south,南；南方,Guangzhou is in the south of China.,广州在中国南方。
east,东；东方,Shanghai is in the east of China.,上海在中国东部。
west,西；西方,Tibet is in the west of China.,西藏在中国西部。
famous,著名的,Beijing is famous for the Great Wall.,北京因长城而著名。
temple,寺庙；庙宇,We visited an old temple.,我们参观了一座古老的寺庙。
around,周围；四处,We walked around the lake.,我们绕着湖走了一圈。
the Yangtze River,长江,The Yangtze River is very long.,长江很长。
foggy,有雾的,It was foggy this morning.,今天早上有雾。
spicy,辣的；辛辣的,Sichuan food can be spicy.,四川菜可能很辣。
silk,丝绸,This scarf is made of silk.,这条围巾是丝绸做的。
forest,森林,Many animals live in the forest.,许多动物生活在森林里。
stone,石头；石料,The bridge is made of stone.,这座桥是石头建的。
London,伦敦,London is in the UK.,伦敦在英国。
Toronto,多伦多,Toronto is a city in Canada.,多伦多是加拿大的一座城市。
Sydney,悉尼,Sydney is a city in Australia.,悉尼是澳大利亚的一座城市。
Washington D.C.,华盛顿特区,Washington D.C. is in the USA.,华盛顿特区在美国。
the British Museum,大英博物馆,The British Museum is in London.,大英博物馆在伦敦。
the CN Tower,加拿大国家电视塔；CN塔,The CN Tower is in Toronto.,加拿大国家电视塔在多伦多。
kangaroo,袋鼠,Kangaroos live in Australia.,袋鼠生活在澳大利亚。
the Opera House,悉尼歌剧院,The Opera House is in Sydney.,悉尼歌剧院在悉尼。
the White House,白宫,The White House is in Washington D.C.,白宫在华盛顿特区。
clock,时钟；钟,There is a clock on the wall.,墙上有一个钟。
speak,说；讲（某种语言）,Can you speak English?,你会说英语吗？
French,法语；法国的,She can speak French.,她会说法语。
Tower Bridge,伦敦塔桥,Tower Bridge is in London.,伦敦塔桥在伦敦。
the London Eye,伦敦眼,The London Eye is in London.,伦敦眼在伦敦。
hiking,徒步旅行,We went hiking in the hills.,我们去山里徒步了。
sunrise,日出,We watched the sunrise on the hill.,我们在山上看日出。
president,总统,The president works in the capital.,总统在首都工作。
reptile,爬行动物,A snake is a reptile.,蛇是爬行动物。
mammal,哺乳动物,A whale is a mammal.,鲸是哺乳动物。
insect,昆虫,A bee is an insect.,蜜蜂是昆虫。
