Word,MeaningPrimary,ExampleSentence,ExampleTranslation
Chinese,汉语；中文,We have Chinese today.,我们今天有语文课。
English,英语,I like English.,我喜欢英语。
science,科学；科学课,We have science today.,我们今天有科学课。
PE,体育；体育课,We have PE today.,我们今天有体育课。
music,音乐；音乐课,I like music.,我喜欢音乐。
maths,数学；数学课,We have maths today.,我们今天有数学课。
art,美术；美术课,We have art today.,我们今天有美术课。
computer class,计算机课,We have computer class today.,我们今天有计算机课。
we,我们,We are classmates.,我们是同班同学。
that,那；那个,That is our classroom.,那是我们的教室。
classroom,教室,This is our classroom.,这是我们的教室。
library,图书馆,The library is on the second floor.,图书馆在二楼。
toilet,厕所；卫生间,The toilet is near the classroom.,卫生间在教室附近。
playground,操场,We play on the playground.,我们在操场上玩。
second,第二,The library is on the second floor.,图书馆在二楼。
third,第三,Our classroom is on the third floor.,我们的教室在三楼。
floor,楼层；地板,Our classroom is on the third floor.,我们的教室在三楼。
room,房间,This room is big.,这个房间很大。
our,我们的,This is our classroom.,这是我们的教室。
they,他们；她们；它们,They are my friends.,他们是我的朋友。
after school,放学后,I play sports after school.,我放学后做运动。
play sports,做运动；参加体育活动,We play sports after school.,我们放学后做运动。
draw pictures,画画,I like to draw pictures.,我喜欢画画。
play chess,下棋,I play chess with my friend.,我和朋友下棋。
sing songs,唱歌,We sing songs in music class.,我们在音乐课上唱歌。
read books,读书；看书,I read books in the library.,我在图书馆看书。
really,真的；确实,I really like English.,我真的很喜欢英语。
tomorrow,明天,Tomorrow is Monday.,明天是星期一。
wake up,醒来；叫醒,I wake up at seven.,我七点醒来。
be back,回来,I will be back soon.,我很快回来。
family,家庭；家人,This is my family.,这是我的家人。
uncle,叔叔；舅舅等,My uncle is tall.,我叔叔个子很高。
aunt,阿姨；姑姑；姨妈等,My aunt is a teacher.,我阿姨是老师。
cousin,堂兄弟姐妹；表兄弟姐妹,My cousin is ten.,我的表兄弟姐妹十岁。
beautiful,美丽的；漂亮的,The flower is beautiful.,这朵花很漂亮。
lost,丢失的；迷路的,My water bottle is lost.,我的水瓶丢了。
water bottle,水瓶；水壶,This is my water bottle.,这是我的水瓶。
know,知道；认识,I know her name.,我知道她的名字。
ok,好的；可以,OK let's go.,好的，我们走吧。
much,很；非常,Thank you very much.,非常感谢你。
welcome,欢迎；不客气,You are welcome.,不客气。
cooking dinner,正在做晚饭,Mum is cooking dinner.,妈妈正在做晚饭。
walking the dog,正在遛狗,I am walking the dog.,我正在遛狗。
watering the plants,正在给植物浇水,She is watering the plants.,她正在给植物浇水。
cleaning the room,正在打扫房间,He is cleaning the room.,他正在打扫房间。
listening to music,正在听音乐,I am listening to music.,我正在听音乐。
watching TV,正在看电视,They are watching TV.,他们正在看电视。
feeding the fish,正在喂鱼,She is feeding the fish.,她正在喂鱼。
play with,和……一起玩,I play with my dog.,我和我的狗一起玩。
in one hour,一小时后,I will be back in one hour.,我一小时后回来。
everyone,每个人；大家,Everyone is here.,大家都在这里。
children,孩子们,The children are playing.,孩子们正在玩。
run,跑；奔跑,Don't run in the classroom.,不要在教室里跑。
home,家；在家,I am at home.,我在家。
bedroom,卧室,This is my bedroom.,这是我的卧室。
living room,客厅,We watch TV in the living room.,我们在客厅看电视。
bathroom,浴室；卫生间,The bathroom is near my bedroom.,浴室在我的卧室附近。
dining room,餐厅；饭厅,We eat dinner in the dining room.,我们在餐厅吃晚饭。
study,书房；学习,This is my study.,这是我的书房。
kitchen,厨房,Mum is in the kitchen.,妈妈在厨房里。
for rent,出租,This room is for rent.,这个房间出租。
sofa,沙发,The cat is on the sofa.,猫在沙发上。
