Word,MeaningPrimary,ExampleSentence,ExampleTranslation
chair,椅子,The book is on the chair.,书在椅子上。
desk,课桌；书桌,The pencil is on the desk.,铅笔在桌子上。
blackboard,黑板,The blackboard is black.,黑板是黑色的。
on,在……上面,The book is on the desk.,书在桌子上。
under,在……下面,The cat is under the desk.,猫在桌子下面。
in,在……里面,The pencil is in the box.,铅笔在盒子里。
where,哪里,Where is my book?,我的书在哪里？
the,这；那（定冠词）,The book is on the desk.,这本书在桌子上。
light,灯,The light is on.,灯亮着。
bed,床,The cat is on the bed.,猫在床上。
door,门,The door is near the bed.,门在床附近。
box,盒子；箱子,The pencil is in the box.,铅笔在盒子里。
near,在……附近,The chair is near the desk.,椅子在桌子附近。
behind,在……后面,The ball is behind the box.,球在盒子后面。
plane,飞机,This is a plane.,这是一架飞机。
ball,球,I have a ball.,我有一个球。
doll,玩具娃娃,I have a doll.,我有一个玩具娃娃。
train,火车,This is a train.,这是一列火车。
car,小汽车；汽车,This is a car.,这是一辆小汽车。
bear,熊,This is a bear.,这是一只熊。
can,能；会；可以,I can swim.,我会游泳。
sure,当然；可以,Sure you can.,当然可以。
sorry,对不起；抱歉,Sorry I can't.,对不起，我不能。
rice,米饭,I like rice.,我喜欢米饭。
noodles,面条,I like noodles.,我喜欢面条。
vegetable,蔬菜,I like vegetables.,我喜欢蔬菜。
fish,鱼；鱼肉,I like fish.,我喜欢鱼。
chicken,鸡肉,I like chicken.,我喜欢鸡肉。
egg,鸡蛋；蛋,I like eggs.,我喜欢鸡蛋。
hungry,饿的；饥饿的,I am hungry.,我饿了。
want,想要,I want some rice.,我想要一些米饭。
and,和；并且,I like rice and eggs.,我喜欢米饭和鸡蛋。
juice,果汁,I want some juice.,我想喝一些果汁。
tea,茶,I want some tea.,我想喝一些茶。
milk,牛奶,I like milk.,我喜欢牛奶。
water,水,I want some water.,我想喝一些水。
thirsty,口渴的,I am thirsty.,我渴了。
thanks,谢谢,Thanks for the water.,谢谢你的水。
shirt,衬衫,This is my shirt.,这是我的衬衫。
T-shirt,T恤衫,This is my T-shirt.,这是我的T恤衫。
skirt,短裙；裙子,This is my skirt.,这是我的裙子。
dress,连衣裙,This is my dress.,这是我的连衣裙。
socks,袜子,These are my socks.,这是我的袜子。
shorts,短裤,These are my shorts.,这是我的短裤。
your,你的；你们的,Is this your book?,这是你的书吗？
