Word,MeaningPrimary,ExampleSentence,ExampleTranslation
book,书；书本,This is a book.,这是一本书。
ruler,尺子,This is a ruler.,这是一把尺子。
pencil,铅笔,This is a pencil.,这是一支铅笔。
schoolbag,书包,This is my schoolbag.,这是我的书包。
teacher,老师,This is my teacher.,这是我的老师。
I,我,I like apples.,我喜欢苹果。
have,有,I have a book.,我有一本书。
a,一；一个,I have a book.,我有一本书。
an,一；一个,I have an apple.,我有一个苹果。
face,脸；面部,This is my face.,这是我的脸。
ear,耳朵,This is my ear.,这是我的耳朵。
eye,眼睛,This is my eye.,这是我的眼睛。
nose,鼻子,This is my nose.,这是我的鼻子。
mouth,嘴；口,This is my mouth.,这是我的嘴。
this,这；这个,This is a cat.,这是一只猫。
is,是,It is a dog.,它是一只狗。
my,我的,This is my book.,这是我的书。
dog,狗,I like dogs.,我喜欢狗。
bird,鸟,I like birds.,我喜欢鸟。
tiger,老虎,It is a tiger.,它是一只老虎。
monkey,猴子,It is a monkey.,它是一只猴子。
cat,猫,I like cats.,我喜欢猫。
what,什么,What is this?,这是什么？
it,它,It is a cat.,它是一只猫。
one,一；一个,I have one book.,我有一本书。
two,二；两个,I have two books.,我有两本书。
three,三；三个,I have three pencils.,我有三支铅笔。
four,四；四个,I have four books.,我有四本书。
five,五；五个,I have five apples.,我有五个苹果。
six,六；六个,I have six pencils.,我有六支铅笔。
seven,七；七个,I have seven books.,我有七本书。
eight,八；八个,I have eight apples.,我有八个苹果。
nine,九；九个,I have nine pencils.,我有九支铅笔。
ten,十；十个,I have ten books.,我有十本书。
how,怎样；多少,How many books?,有多少本书？
many,许多；多少（how many）,How many apples?,有多少个苹果？
are,是,There are two books.,有两本书。
there,那里；有（there be）,There are three cats.,有三只猫。
black,黑色；黑色的,The cat is black.,这只猫是黑色的。
yellow,黄色；黄色的,The banana is yellow.,香蕉是黄色的。
blue,蓝色；蓝色的,The schoolbag is blue.,书包是蓝色的。
red,红色；红色的,The apple is red.,苹果是红色的。
green,绿色；绿色的,The book is green.,这本书是绿色的。
colour,颜色,What colour is it?,它是什么颜色？
apple,苹果,I like apples.,我喜欢苹果。
pear,梨,I like pears.,我喜欢梨。
banana,香蕉,I like bananas.,我喜欢香蕉。
orange,橙子；橙色,I like oranges.,我喜欢橙子。
do,助动词（用于疑问句）,Do you like apples?,你喜欢苹果吗？
you,你；你们,Do you like cats?,你喜欢猫吗？
like,喜欢,I like bananas.,我喜欢香蕉。
yes,是的；对,Yes I do.,是的，我喜欢。
no,不；不是,No I don't.,不，我不喜欢。
