Word,MeaningPrimary,ExampleSentence,ExampleTranslation
clever,聪明的,She is clever and helpful.,她聪明又乐于助人。
careless,粗心的,Don't be careless with your homework.,做作业不要粗心。
polite,有礼貌的,The boy is polite to everyone.,这个男孩对每个人都很有礼貌。
quiet,安静的；文静的,She is quiet in class.,她在课堂上很安静。
friendly,友好的,Our new teacher is friendly.,我们的新老师很友好。
helpful,乐于助人的；有帮助的,He is always helpful at home.,他在家总是乐于帮忙。
active,活跃的；积极的,She is active in class.,她在课堂上很活跃。
popular,受欢迎的,He is popular at school.,他在学校很受欢迎。
talk,交谈；说话,We often talk after school.,我们经常放学后聊天。
all,全部；所有,All the children are here.,所有孩子都在这里。
but,但是,He is young but tall.,他很年轻但是个子高。
sometimes,有时,I sometimes go to the library.,我有时去图书馆。
bark,狗叫；吠,The dog barks at night.,狗在晚上叫。
forget,忘记,Don't forget your schoolbag.,别忘了你的书包。
with,和；跟；带有,I play with my friends.,我和朋友一起玩。
wear glasses,戴眼镜,My teacher wears glasses.,我的老师戴眼镜。
slim,苗条的,My sister is tall and slim.,我姐姐高而苗条。
curly,卷曲的,She has curly hair.,她有卷发。
straight,直的,She has long straight hair.,她有长直发。
nice,友好的；好的,Our new classmate is very nice.,我们的新同学很好。
young,年轻的,Our English teacher is young.,我们的英语老师很年轻。
guess,猜；猜测,Can you guess his name?,你能猜出他的名字吗？
has,有（have的第三人称单数）,The elephant has a long trunk.,大象有长鼻子。
animal,动物,My favourite animal is the panda.,我最喜欢的动物是熊猫。
elephant,大象,The elephant has a long trunk.,大象有长鼻子。
panda,熊猫,The panda is black and white.,熊猫是黑白相间的。
horse,马,The horse can run fast.,马跑得很快。
cow,奶牛；母牛,The cow lives on a farm.,奶牛生活在农场。
pig,猪,The pig lives on a farm.,猪生活在农场。
sheep,绵羊；羊,The sheep is on the farm.,绵羊在农场里。
bee,蜜蜂,A bee can fly.,蜜蜂会飞。
farm,农场,There are many animals on the farm.,农场里有许多动物。
fast,快的；快速地,The horse can run fast.,马能跑得很快。
why,为什么,Why do you like pandas?,你为什么喜欢熊猫？
lovely,可爱的；讨人喜欢的,The little panda is lovely.,小熊猫很可爱。
butterfly,蝴蝶,The butterfly is beautiful.,蝴蝶很漂亮。
exercise book,练习本,I need a new exercise book.,我需要一本新练习本。
pencil sharpener,卷笔刀,I need a pencil sharpener.,我需要一个卷笔刀。
a pair of scissors,一把剪刀,I need a pair of scissors.,我需要一把剪刀。
pencil box,铅笔盒,My pencils are in the pencil box.,我的铅笔在铅笔盒里。
a box of crayons,一盒蜡笔,I want a box of crayons.,我想要一盒蜡笔。
only,只；仅仅,I only need one pencil.,我只需要一支铅笔。
also,也；还,I also need an eraser.,我还需要一块橡皮。
saleswoman,女售货员,The saleswoman is very helpful.,女售货员很热心。
love,喜爱；爱,I love this new pencil box.,我很喜欢这个新铅笔盒。
how much,多少钱,How much is this pencil box?,这个铅笔盒多少钱？
a lot,很多；非常,Thanks a lot for your help.,非常感谢你的帮助。
wonderful,精彩的；极好的,The cartoon is wonderful.,这部动画片很精彩。
fantastic,极好的；非常棒的,The nature show is fantastic.,这个自然节目非常棒。
cartoons,动画片；卡通片,I like watching cartoons.,我喜欢看动画片。
news shows,新闻节目,My father watches news shows.,我爸爸看新闻节目。
nature shows,自然节目,I like nature shows about animals.,我喜欢关于动物的自然节目。
chore,家务；杂务,I do a chore every day.,我每天做一项家务。
clean the room,打扫房间,I clean the room on Saturday.,我星期六打扫房间。
make the bed,整理床铺；铺床,I make the bed every morning.,我每天早上整理床铺。
take out the rubbish,倒垃圾；把垃圾拿出去,I take out the rubbish after dinner.,我晚饭后倒垃圾。
wash clothes,洗衣服,I help Mum wash clothes.,我帮妈妈洗衣服。
tidy the desk,整理书桌,I tidy the desk after homework.,我做完作业后整理书桌。
sweep the floor,扫地,I sweep the floor on Sunday.,我星期日扫地。
call,打电话；呼叫,I call my grandmother on Sunday.,我星期日给奶奶打电话。
