Semester,Unit,Order,Expression,Translation,SourceStatus
upper,1,1,Hello! I'm Mike Black.,你好！我是迈克·布莱克。,observed-from-klose-textbook
upper,1,2,Hi! My name is Wu Binbin.,嗨！我叫吴斌斌。,observed-from-klose-textbook
upper,1,3,Nice to meet you.,见到你很高兴。,observed-from-klose-textbook
upper,1,4,Nice to meet you too.,见到你（我）也很高兴。,observed-from-klose-textbook
upper,1,5,Oh no!,噢，不！,observed-from-klose-textbook
upper,1,6,"It's OK, Chen Jie.",没关系，陈杰。,observed-from-klose-textbook
upper,1,7,Hey Sarah! We can share.,嘿，萨拉！我们可以分享。,observed-from-klose-textbook
upper,1,8,"Thanks, Sarah. / Thank you, Chen Jie.","谢谢，萨拉。 / 谢谢你，陈杰。",observed-from-klose-textbook
upper,1,9,I am nice to my friends.,我对我的朋友们很好。,observed-from-klose-textbook
upper,2,1,This is my grandma.,这是我的奶奶。,observed-from-klose-textbook
upper,2,2,Look! This is my family.,看！这是我的家庭。,observed-from-klose-textbook
upper,2,3,Is that your brother?,那是你弟弟吗？,observed-from-klose-textbook
upper,2,4,"Yes, it is.",对，是的。,observed-from-klose-textbook
upper,2,5,They love each other.,他们相互关爱。,observed-from-klose-textbook
upper,3,1,"Good morning, Mike!",早上好，迈克！,observed-from-klose-textbook
upper,3,2,Good morning! Come in.,早上好！进来吧。,observed-from-klose-textbook
upper,3,3,Do you have a pet?,你有宠物吗？,observed-from-klose-textbook
upper,3,4,"No, I don't.",不，我没有。,observed-from-klose-textbook
upper,3,5,Yes I do. I have a cat.,是的，我有。我有一只猫。,observed-from-klose-textbook
upper,3,6,Let's go to the zoo!,我们一起去动物园吧！,observed-from-klose-textbook
upper,3,7,Great!,太好了！,observed-from-klose-textbook
upper,3,8,What's this?,这是什么？,observed-from-klose-textbook
upper,3,9,It's a fox.,是只狐狸。,observed-from-klose-textbook
upper,3,10,"Miss White, what's that?",怀特老师，那是什么？,observed-from-klose-textbook
upper,3,11,It's a red panda.,是只小熊猫。,observed-from-klose-textbook
upper,4,1,"Mike, do you like apples?",迈克，你喜欢苹果吗？,observed-from-klose-textbook
upper,4,2,"Yes, I do. And you?",是的，我喜欢。你呢？,observed-from-klose-textbook
upper,4,3,"No, I don't.",不，我不喜欢。,observed-from-klose-textbook
upper,4,4,Do you like the farm?,你们喜欢农场吗？,observed-from-klose-textbook
upper,4,5,I like the fresh air.,我喜欢新鲜的空气。,observed-from-klose-textbook
upper,4,6,We can plant new trees.,我们可以新种些树。,observed-from-klose-textbook
upper,4,7,Plants can give us many things.,植物能为我们提供很多东西。,observed-from-klose-textbook
upper,5,1,What colour is it?,它是什么颜色？,observed-from-klose-textbook
upper,5,2,It's orange.,它是橙红色。,observed-from-klose-textbook
upper,5,3,Red and blue make purple.,红色加蓝色是紫色。,observed-from-klose-textbook
upper,5,4,What colours do you like?,你喜欢什么颜色？,observed-from-klose-textbook
upper,5,5,I like red and pink.,我喜欢红色和粉色。,observed-from-klose-textbook
upper,5,6,Let's draw some purple and brown birds.,我们一起画一些紫色和棕色的鸟吧。,observed-from-klose-textbook
upper,5,7,Use again!,再次利用！,observed-from-klose-textbook
upper,5,8,Be careful!,小心！,observed-from-klose-textbook
upper,6,1,How old are you?,你几岁了？,observed-from-klose-textbook
upper,6,2,I'm five years old.,我五岁了。,observed-from-klose-textbook
upper,6,3,Me too.,我也是。,observed-from-klose-textbook
upper,6,4,How many apples?,几个苹果？,observed-from-klose-textbook
upper,6,5,Two.,两个。,observed-from-klose-textbook
upper,6,6,Great! Let's go to the shop!,好极了！我们一起去商店吧！,observed-from-klose-textbook
upper,6,7,"That's ten yuan, please.",（共）十元，谢谢。,observed-from-klose-textbook
upper,6,8,Here you are.,给您。,observed-from-klose-textbook
upper,6,9,It's seven o'clock. Hurry!,七点了。快点！,observed-from-klose-textbook
upper,6,10,Happy birthday!,生日快乐！,observed-from-klose-textbook
upper,6,11,"Oh, one more cut for the dog.",噢，再切一块给小狗。,observed-from-klose-textbook
lower,1,1,What's your name?,你叫什么名字？,observed-from-klose-textbook
lower,1,2,My name's Amy Green.,我叫埃米·格林。,observed-from-klose-textbook
lower,1,3,Where are you from?,你是哪里人？,observed-from-klose-textbook
lower,1,4,I'm from the UK.,我是英国人。,observed-from-klose-textbook
lower,1,5,Let me help.,我来帮忙。,observed-from-klose-textbook
lower,1,6,After you!,您先请！,observed-from-klose-textbook
lower,1,7,You're welcome.,别客气。,observed-from-klose-textbook
lower,1,8,Who's that girl?,那个女孩是谁？,observed-from-klose-textbook
lower,1,9,"That's our new neighbour, Amy.",是我们的新邻居埃米。,observed-from-klose-textbook
lower,2,1,It has a long body and short legs.,它有长长的身体和短短的腿。,observed-from-klose-textbook
lower,2,2,Dogs are friendly.,狗是友善的。,observed-from-klose-textbook
lower,2,3,Do you often say that to your mum?,你经常对妈妈那么说吗？,observed-from-klose-textbook
lower,2,4,"Yes, I do.",是的。,observed-from-klose-textbook
lower,2,5,I often make her gifts.,我经常给她做礼物。,observed-from-klose-textbook
lower,2,6,We express ourselves in many ways.,我们用很多种方式表达自己。,observed-from-klose-textbook
lower,3,1,Excuse me.,劳驾。,observed-from-klose-textbook
lower,3,2,"Can I use your eraser, please?",我能用一下你的橡皮吗？,observed-from-klose-textbook
lower,3,3,Sure. Here you are.,当然。给你。,observed-from-klose-textbook
lower,3,4,No problem.,没问题。,observed-from-klose-textbook
lower,3,5,What are these?,这些是什么？,observed-from-klose-textbook
lower,3,6,They're grapes.,是葡萄。,observed-from-klose-textbook
lower,3,7,What about this?,这个呢？,observed-from-klose-textbook
lower,4,1,"I'd like some bread and eggs, please.",我想吃点儿面包和鸡蛋。,observed-from-klose-textbook
lower,4,2,Have some milk too.,也喝点儿牛奶吧。,observed-from-klose-textbook
lower,4,3,Would you like some rice and meat?,要吃点儿米饭和肉吗？,observed-from-klose-textbook
lower,4,4,"Yes, please.",好的，谢谢。,observed-from-klose-textbook
lower,4,5,Eat some every day!,每天吃一些吧！,observed-from-klose-textbook
