Unit,Order,Expression,Translation,SourceStatus
1,1,What's your name?,你叫什么名字？,observed-from-klose-textbook
1,2,My name's Amy Green.,我叫埃米·格林。,observed-from-klose-textbook
1,3,Where are you from?,你是哪里人？,observed-from-klose-textbook
1,4,I'm from the UK.,我是英国人。,observed-from-klose-textbook
1,5,Let me help.,我来帮忙。,observed-from-klose-textbook
1,6,After you!,您先请！,observed-from-klose-textbook
1,7,You're welcome.,别客气。,observed-from-klose-textbook
1,8,Who's that girl?,那个女孩是谁？,observed-from-klose-textbook
1,9,"That's our new neighbour, Amy.",是我们的新邻居埃米。,observed-from-klose-textbook
2,1,It has a long body and short legs.,它有长长的身体和短短的腿。,observed-from-klose-textbook
2,2,Dogs are friendly.,狗是友善的。,observed-from-klose-textbook
2,3,Do you often say that to your mum?,你经常对妈妈那么说吗？,observed-from-klose-textbook
2,4,"Yes, I do.",是的。,observed-from-klose-textbook
2,5,I often make her gifts.,我经常给她做礼物。,observed-from-klose-textbook
2,6,We express ourselves in many ways.,我们用很多种方式表达自己。,observed-from-klose-textbook
3,1,Excuse me.,劳驾。,observed-from-klose-textbook
3,2,"Can I use your eraser, please?",我能用一下你的橡皮吗？,observed-from-klose-textbook
3,3,Sure. Here you are.,当然。给你。,observed-from-klose-textbook
3,4,No problem.,没问题。,observed-from-klose-textbook
3,5,What are these?,这些是什么？,observed-from-klose-textbook
3,6,They're grapes.,是葡萄。,observed-from-klose-textbook
3,7,What about this?,这个呢？,observed-from-klose-textbook
4,1,"I'd like some bread and eggs, please.",我想吃点儿面包和鸡蛋。,observed-from-klose-textbook
4,2,Have some milk too.,也喝点儿牛奶吧。,observed-from-klose-textbook
4,3,Would you like some rice and meat?,要吃点儿米饭和肉吗？,observed-from-klose-textbook
4,4,"Yes, please.",好的，谢谢。,observed-from-klose-textbook
4,5,Eat some every day!,每天吃一些吧！,observed-from-klose-textbook
5,1,Do you have old things?,你有旧东西吗？,observed-from-klose-textbook
5,2,"Yes, I do. I have some old books.",是的。我有些旧书。,observed-from-klose-textbook
5,3,This boat is cool.,这只船很酷。,observed-from-klose-textbook
5,4,You can keep it.,你可以留着它。,observed-from-klose-textbook
5,5,"Mum, where is my animal book?",妈妈，我的动物书在哪儿？,observed-from-klose-textbook
5,6,Is it on the shelf?,在架子上吗？,observed-from-klose-textbook
5,7,"No, it isn't.",不，不在。,observed-from-klose-textbook
5,8,It's in the box.,它在盒子里。,observed-from-klose-textbook
6,1,How many books do we have?,我们有多少本书？,observed-from-klose-textbook
6,2,We have fifteen books.,我们有十五本书。,observed-from-klose-textbook
6,3,How many boxes do we need?,我们需要多少个箱子？,observed-from-klose-textbook
6,4,We need three boxes.,我们需要三个箱子。,observed-from-klose-textbook
6,5,How much is this bag?,这个包多少钱？,observed-from-klose-textbook
6,6,It's twenty yuan.,二十元。,observed-from-klose-textbook
6,7,"Six yuan, or three for seventeen yuan.",六元，或者十七元三个。,observed-from-klose-textbook
6,8,How about three for sixteen yuan?,十六元三个行吗？,observed-from-klose-textbook
