Unit,Order,Expression,Translation,SourceStatus
1,1,Hello! I'm Mike Black.,你好！我是迈克·布莱克。,observed-from-klose-textbook
1,2,Hi! My name is Wu Binbin.,嗨！我叫吴斌斌。,observed-from-klose-textbook
1,3,Nice to meet you.,见到你很高兴。,observed-from-klose-textbook
1,4,Nice to meet you too.,见到你（我）也很高兴。,observed-from-klose-textbook
1,5,Oh no!,噢，不！,observed-from-klose-textbook
1,6,"It's OK, Chen Jie.",没关系，陈杰。,observed-from-klose-textbook
1,7,Hey Sarah! We can share.,嘿，萨拉！我们可以分享。,observed-from-klose-textbook
1,8,"Thanks, Sarah. / Thank you, Chen Jie.","谢谢，萨拉。 / 谢谢你，陈杰。",observed-from-klose-textbook
1,9,I am nice to my friends.,我对我的朋友们很好。,observed-from-klose-textbook
2,1,This is my grandma.,这是我的奶奶。,observed-from-klose-textbook
2,2,Look! This is my family.,看！这是我的家庭。,observed-from-klose-textbook
2,3,Is that your brother?,那是你弟弟吗？,observed-from-klose-textbook
2,4,"Yes, it is.",对，是的。,observed-from-klose-textbook
2,5,They love each other.,他们相互关爱。,observed-from-klose-textbook
3,1,"Good morning, Mike!",早上好，迈克！,observed-from-klose-textbook
3,2,Good morning! Come in.,早上好！进来吧。,observed-from-klose-textbook
3,3,Do you have a pet?,你有宠物吗？,observed-from-klose-textbook
3,4,"No, I don't.",不，我没有。,observed-from-klose-textbook
3,5,Yes I do. I have a cat.,是的，我有。我有一只猫。,observed-from-klose-textbook
3,6,Let's go to the zoo!,我们一起去动物园吧！,observed-from-klose-textbook
3,7,Great!,太好了！,observed-from-klose-textbook
3,8,What's this?,这是什么？,observed-from-klose-textbook
3,9,It's a fox.,是只狐狸。,observed-from-klose-textbook
3,10,"Miss White, what's that?",怀特老师，那是什么？,observed-from-klose-textbook
3,11,It's a red panda.,是只小熊猫。,observed-from-klose-textbook
4,1,"Mike, do you like apples?",迈克，你喜欢苹果吗？,observed-from-klose-textbook
4,2,"Yes, I do. And you?",是的，我喜欢。你呢？,observed-from-klose-textbook
4,3,"No, I don't.",不，我不喜欢。,observed-from-klose-textbook
4,4,Do you like the farm?,你们喜欢农场吗？,observed-from-klose-textbook
4,5,I like the fresh air.,我喜欢新鲜的空气。,observed-from-klose-textbook
4,6,We can plant new trees.,我们可以新种些树。,observed-from-klose-textbook
4,7,Plants can give us many things.,植物能为我们提供很多东西。,observed-from-klose-textbook
5,1,What colour is it?,它是什么颜色？,observed-from-klose-textbook
5,2,It's orange.,它是橙红色。,observed-from-klose-textbook
5,3,Red and blue make purple.,红色加蓝色是紫色。,observed-from-klose-textbook
5,4,What colours do you like?,你喜欢什么颜色？,observed-from-klose-textbook
5,5,I like red and pink.,我喜欢红色和粉色。,observed-from-klose-textbook
5,6,Let's draw some purple and brown birds.,我们一起画一些紫色和棕色的鸟吧。,observed-from-klose-textbook
5,7,Use again!,再次利用！,observed-from-klose-textbook
5,8,Be careful!,小心！,observed-from-klose-textbook
6,1,How old are you?,你几岁了？,observed-from-klose-textbook
6,2,I'm five years old.,我五岁了。,observed-from-klose-textbook
6,3,Me too.,我也是。,observed-from-klose-textbook
6,4,How many apples?,几个苹果？,observed-from-klose-textbook
6,5,Two.,两个。,observed-from-klose-textbook
6,6,Great! Let's go to the shop!,好极了！我们一起去商店吧！,observed-from-klose-textbook
6,7,"That's ten yuan, please.",（共）十元，谢谢。,observed-from-klose-textbook
6,8,Here you are.,给您。,observed-from-klose-textbook
6,9,It's seven o'clock. Hurry!,七点了。快点！,observed-from-klose-textbook
6,10,Happy birthday!,生日快乐！,observed-from-klose-textbook
6,11,"Oh, one more cut for the dog.",噢，再切一块给小狗。,observed-from-klose-textbook
