NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002635,new-third-party-stable,soccer,足球,足球,We play soccer after school.,我们放学后踢足球。,,[ˈsɒkə(r)],[ˈsɑːkər],stage::third-party-primary,001424,8299e4272277df94aa6dcbac86fee0de696b052f1d828605525894e5143b7b56,model-curated-pending-review,third-party-learner-content-v1
KV002636,new-third-party-stable,sock,短袜；袜子,短袜；袜子,I cannot find my other sock.,我找不到另一只短袜了。,,,,stage::third-party-primary,000746,70762f4b81615b03f26ca1bea3bca211bd98ec323a0d52e2480262710a5a3a12,model-curated-pending-review,third-party-learner-content-v1
KV002637,new-third-party-stable,soft,软的；柔软的,软的；柔软的,This pillow is very soft.,这个枕头很柔软。,,[sɒft],[sɔːft],stage::third-party-primary,001338,7f87d35379aacc017578826dbd48ce7dba460397cf5fb6299b5eb1cf9e08fd18,model-curated-pending-review,third-party-learner-content-v1
KV002638,new-third-party-stable,soft toy,软体玩具,软体玩具,The little girl sleeps with her soft toy.,小女孩抱着软体玩具睡觉。,,,,stage::third-party-primary,002706,4933414308b3f418fc428e9bccebea51e82cd0a3d24793be888a734e66750968,model-curated-pending-review,third-party-learner-content-v1
KV002639,new-third-party-stable,softly,轻轻地；柔和地,轻轻地；柔和地,She spoke softly to the baby.,她轻声对宝宝说话。,,[ˈsɒftli],[ˈsɔːftli],stage::third-party-primary,002394,c08eae64a0cdde00262678ba0a4841d97657b445448e7d9c3ebc30bb88f48466,model-curated-pending-review,third-party-learner-content-v1
KV002640,new-third-party-stable,soldier,士兵；军人,士兵；军人,The soldier stood beside the gate.,士兵站在大门旁边。,,[ˈsəʊldʒə(r)],[ˈsoʊldʒər],stage::third-party-primary,002395,2bbe2ae89dcd081184c18c9ace2665af9c24447aac63b733258ccd319a4a0cb5,model-curated-pending-review,third-party-learner-content-v1
KV002641,new-third-party-stable,some,一些；有些,一些；有些,I need some water.,我需要一些水。,,[sʌm],[sʌm; səm],stage::third-party-primary,000760,618065a7dfc468c6782a67b9230d6bec0eeb6da3de5c3fc1133997beb17a76fb,model-curated-pending-review,third-party-learner-content-v1
KV002642,new-third-party-stable,some time,一段时间,一段时间,We stayed there for some time.,我们在那里待了一段时间。,,,,stage::third-party-primary,002707,f07f5054ab03970696148d5dee858587562df6e0e45b817dc41286b3b01f455b,model-curated-pending-review,third-party-learner-content-v1
KV002643,new-third-party-stable,someday,"有一天,有朝一日","有一天,有朝一日",Someday I want to visit Australia.,有一天我想去澳大利亚。,,[ˈsʌmdeɪ],[ˈsʌmdeɪ],stage::third-party-primary,001425,07da66a47043a07db2be2f70dde01c308dc2345ec8173993e43f6ca1d024b7cf,model-curated-pending-review,third-party-learner-content-v1
KV002644,new-third-party-stable,someone,某人；有人,某人；有人,Someone is waiting at the door.,有人在门口等着。,,[ˈsʌmwʌn],[ˈsʌmwʌn],stage::third-party-primary,001706,f53662b920c62e65970fead2acc6c4b0180188297be7092c61b3cf949a61ea21,model-curated-pending-review,third-party-learner-content-v1
