NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV001235,new-third-party-stable,Alaska,阿拉斯加州,阿拉斯加州,Alaska is in the United States.,阿拉斯加州在美国。,,[əˈlæskə],[əˈlæskə],stage::third-party-primary,001899,fa3e6349d537b2925fde6629bbad871281c4d0e3af786c867558c1051a57d301,model-curated-pending-review,third-party-learner-content-v1
KV001236,new-third-party-stable,alive,活着的；有生命的,活着的；有生命的,The fish is still alive.,这条鱼还活着。,,[əˈlaɪv],[əˈlaɪv],stage::third-party-primary,001900,64c07fb720acdc304f6981a868ca0dc5a1d21673ff0c654f19bf912e9ee39742,model-curated-pending-review,third-party-learner-content-v1
KV001237,new-third-party-stable,all around,四处；到处,四处；到处,We looked all around for the ball.,我们四处寻找那个球。,,[ˌɔːl əˈraʊnd],[ˌɔːl əˈraʊnd],stage::third-party-primary,002496,2123c2c61861a5b24f3df7dfbb4a43f5df30d158126aaad46cbd7cc3a4239275,model-curated-pending-review,third-party-learner-content-v1
KV001238,new-third-party-stable,all day,整天；一整天,整天；一整天,It rained all day.,雨下了一整天。,,[ˈɔːl deɪ],[ˈɔːl deɪ],stage::third-party-primary,001766,27fe7b3278ec835955ba0b984610d7ee5525c89834a8bee32c8f0c51b29c1248,model-curated-pending-review,third-party-learner-content-v1
KV001239,new-third-party-stable,all over the world,世界各地；遍及全世界,世界各地；遍及全世界,People all over the world enjoy music.,世界各地的人们都喜欢音乐。,,,,stage::third-party-primary,001858,75d13fb03565a2bb6a1c49d8f59a9715b3da319fb88f12487b50421306e57fd2,model-curated-pending-review,third-party-learner-content-v1
KV001240,new-third-party-stable,all the time,一直；始终,一直；始终,He talks about football all the time.,他总是谈论足球。,,,,stage::third-party-primary,002777,9d0c2d7462b69daa6705d46fde5ee2940bc44dcaf14559430b589c7f615c65ff,model-curated-pending-review,third-party-learner-content-v1
KV001241,new-third-party-stable,all year round,全年；一年到头,全年；一年到头,This shop is open all year round.,这家商店全年营业。,,,,stage::third-party-primary,002778,18d4ea4f71b67a9c0e405fb831444721ab0abd5b8eebf3893e953c9bedeaa267,model-curated-pending-review,third-party-learner-content-v1
KV001242,new-third-party-stable,almost,"差不多,几乎","差不多,几乎",We are almost home.,我们快到家了。,,[ˈɔːlməʊst],[ˈɔːlmoʊst],stage::third-party-primary,001234,ab084645e87de7787b4961f8fbfbc9f6cd3d3d68142abcc4c2bddf1695b1ac88,model-curated-pending-review,third-party-learner-content-v1
KV001243,new-third-party-stable,alone,独自的；独自地,独自的；独自地,She walked home alone.,她独自走回家。,,[əˈləʊn],[əˈloʊn],stage::third-party-primary,001901,e3beec8bb710211348a4d4e28eed486a309922aa1776314c1e86923b3cca0f72,model-curated-pending-review,third-party-learner-content-v1
KV001244,new-third-party-stable,along,沿着；顺着,沿着；顺着,We walked along the river.,我们沿着河边走。,,[əˈlɒŋ],[əˈlɔːŋ],stage::third-party-primary,000931,22f1a028118e9ceddb9216d331d719885440b3b6a346def729a60461e854aba9,model-curated-pending-review,third-party-learner-content-v1
KV001245,new-third-party-stable,aloud,大声地；出声地,大声地；出声地,Please read the story aloud.,请大声朗读这个故事。,,[əˈlaʊd],[əˈlaʊd],stage::third-party-primary,001539,4f23dfbf02c1398c459ff841ffb956f9ad27a245957312dc475a21afc3f3bae7,model-curated-pending-review,third-party-learner-content-v1
KV001246,new-third-party-stable,alphabet,字母表,字母表,There are twenty-six letters in the English alphabet.,英文字母表有二十六个字母。,,[ˈælfəbet],[ˈælfəbet],stage::third-party-primary,001902,e280b3c0c571eb1bf19928f8257344e13b42e880070a4671f1207d1939e46022,model-curated-pending-review,third-party-learner-content-v1
KV001247,new-third-party-stable,already,已经；早已,已经；早已,I have already finished my homework.,我已经完成作业了。,,[ɔːlˈredi],[ɔːlˈredi],stage::third-party-primary,001342,5f85d455d850c9db890d9e1ec004f3829e5c70c2c091ee90fec0de12bbfedec6,model-curated-pending-review,third-party-learner-content-v1
KV001248,new-third-party-stable,alright,好吧；没问题的,好吧；没问题的,Everything will be alright.,一切都会没问题的。,,[ɔːlˈraɪt],[ɔːlˈraɪt],stage::third-party-primary,001903,a755fdd3042ab80f4a45f6e1ef62f9a24178ad5f467d1ddfe3be068051cc61f2,model-curated-pending-review,third-party-learner-content-v1
KV001249,new-third-party-stable,am,是（be 的第一人称单数现在式）,是（be 的第一人称单数现在式）,I am happy today.,我今天很开心。,,[əm; æm],[əm; æm],stage::third-party-primary,000864,e010fb978e7422810a921da39b4bf01841b72499044e2431b3c84e9b3c6bcb19,model-curated-pending-review,third-party-learner-content-v1
KV001250,new-third-party-stable,ambulance,救护车,救护车,An ambulance took him to the hospital.,一辆救护车把他送到了医院。,,[ˈæmbjələns],[ˈæmbjələns],stage::third-party-primary,001904,c117fa4fc030d8b21023e7fab056fb8da26973df354b3fc0dfeff1f5518ab319,model-curated-pending-review,third-party-learner-content-v1
KV001251,new-third-party-stable,America,美国,美国,My cousin lives in America.,我的表哥住在美国。,,[əˈmerɪkə],[əˈmerɪkə],stage::third-party-primary,001905,333ebd49c6d736027d1140fbe6c81fa176a75c514aff3e6d42bc438d4bc5eef3,model-curated-pending-review,third-party-learner-content-v1
KV001252,new-third-party-stable,American football,美式足球,美式足球,They play American football after school.,他们放学后打美式足球。,,,,stage::third-party-primary,002497,c327914ede50119f34d1a5159a45b525c0a9dcf5cdbc4eaeecc778bb6ed0dca2,model-curated-pending-review,third-party-learner-content-v1
KV001253,new-third-party-stable,amusement park,游乐园；游乐场,游乐园；游乐场,We rode the big wheel at the amusement park.,我们在游乐园坐了摩天轮。,,,,stage::third-party-primary,002498,33798c67b0016c1331f434024ec0c4f557fc405d08028e55e711e153f5c544cb,model-curated-pending-review,third-party-learner-content-v1
KV001254,new-third-party-stable,ankle,脚踝；踝关节,脚踝；踝关节,I hurt my ankle while running.,我跑步时伤了脚踝。,,[ˈæŋk(ə)l],[ˈæŋk(ə)l],stage::third-party-primary,001906,a5a9b57762fa92cebc1b77bdb7360df1669331cb9b8bf7f51ca678e481c94e40,model-curated-pending-review,third-party-learner-content-v1
KV001255,new-third-party-stable,ant,蚂蚁,蚂蚁,An ant is carrying some food.,一只蚂蚁正在搬食物。,,[ænt],[ænt],stage::third-party-primary,001020,62367a2fd44c26f092a693fb1c6b8bee02bc19f2d54bbe9fc63922843bccb070,model-curated-pending-review,third-party-learner-content-v1
KV001256,new-third-party-stable,anyone,任何人；无论谁,任何人；无论谁,Can anyone answer this question?,有人能回答这个问题吗？,,[ˈeniwʌn],[ˈeniwʌn],stage::third-party-primary,001907,23872c23a2e507c8fc7a738c5857ffe52dd66e89d9c6fc67776a3bd34f0c4cae,model-curated-pending-review,third-party-learner-content-v1
KV001257,new-third-party-stable,anytime,任何时候；随时,任何时候；随时,You can call me anytime.,你随时都可以给我打电话。,,[ˈenɪtaɪm],[ˈeniˌtaɪm],stage::third-party-primary,001908,d3c9fa107aa0fd6c9af8e4fb683a4be86be5f004012990c5819660c938ea00e7,model-curated-pending-review,third-party-learner-content-v1
KV001258,new-third-party-stable,anyway,无论如何；总之,无论如何；总之,It was raining but we went anyway.,虽然下着雨但我们还是去了。,,[ˈeniweɪ],[ˈeniweɪ],stage::third-party-primary,001540,6c3937dd2c7f5c9fe5334da3c7aff7942f44bc7912dd9ff0ff969a196bd1e5ae,model-curated-pending-review,third-party-learner-content-v1
KV001259,new-third-party-stable,anywhere,任何地方；无论哪里,任何地方；无论哪里,You can sit anywhere.,你可以坐在任何地方。,,[ˈeniweə(r)],[ˈeniwer],stage::third-party-primary,001344,ecd5bed8abef217cfae2e50a007309a8aafb895105b354014dcaebb749dc75d2,model-curated-pending-review,third-party-learner-content-v1
KV001260,new-third-party-stable,appear,出现；出现于,出现；出现于,A rainbow may appear after the rain.,雨后可能会出现彩虹。,,[əˈpɪə(r)],[əˈpɪr],stage::third-party-primary,001345,29d10d23ff29a48c017815261a537534f5e3f5b4062d529d53820cd5ad6c40ac,model-curated-pending-review,third-party-learner-content-v1
KV001261,new-third-party-stable,Arctic,北极地区；北极的,北极地区；北极的,Polar bears live in the Arctic.,北极熊生活在北极地区。,,[ˈɑːktɪk],[ˈɑːrktɪk],stage::third-party-primary,001909,e3bc9ff47fa181b1ba1325eb1519c57f92c62a5ed4549073c91785f21e6c9af5,model-curated-pending-review,third-party-learner-content-v1
KV001262,new-third-party-stable,are not,不是；没有；不（are 的否定形式）,不是；没有；不（are 的否定形式）,These books are not mine.,这些书不是我的。,,,,stage::third-party-primary,001328,e247c1f411b3293ca54340312cbbdb0684447211f095e71a5651c100fbdfd8c8,model-curated-pending-review,third-party-learner-content-v1
KV001263,new-third-party-stable,area,地区；区域,地区；区域,This area is safe for children.,这个地区对孩子们来说很安全。,,[ˈeəriə],[ˈeriə],stage::third-party-primary,001910,8a0eae24d17982e85db793153e937d5030b3a9c59d405c3af33ce23270219482,model-curated-pending-review,third-party-learner-content-v1
KV001264,new-third-party-stable,Argentina,阿根廷,阿根廷,Argentina is in South America.,阿根廷在南美洲。,,[ˌɑːdʒənˈtiːnə],[ˌɑːrdʒənˈtiːnə],stage::third-party-primary,001911,e4f6be7ce4b138befbd0d695e6a22980534368f5b5b2c913a6e72d6c2f16ad76,model-curated-pending-review,third-party-learner-content-v1
KV001265,new-third-party-stable,argue,争论；争吵,争论；争吵,Do not argue with your sister.,不要和你妹妹争吵。,,[ˈɑːɡjuː],[ˈɑːrɡjuː],stage::third-party-primary,001912,4b4ed583e490e88f17edc8384c38f03da85832e275e17e5376ac2fac5faf7f9b,model-curated-pending-review,third-party-learner-content-v1
KV001266,new-third-party-stable,art museum,美术馆,美术馆,We saw many paintings at the art museum.,我们在美术馆看到了许多画。,,,,stage::third-party-primary,002500,63273083a3babd8d4338df75ae64b4e11bcb45d625720d10a0be34b16686bf41,model-curated-pending-review,third-party-learner-content-v1
KV001267,new-third-party-stable,art room,美术教室,美术教室,Our class paints pictures in the art room.,我们班在美术教室画画。,,,,stage::third-party-primary,001459,e5899cf0b5719dad94b66df5a0de4b15245b6f80cf61d774a94d8d69e150a0c4,model-curated-pending-review,third-party-learner-content-v1
KV001268,new-third-party-stable,as well,也；还,也；还,My sister likes music as well.,我妹妹也喜欢音乐。,,[æz wel],[æz wel],stage::third-party-primary,002501,105be55ffac74427b4e41021e3ea883c7ad196c5c00f31e9da05ecba7c205ed6,model-curated-pending-review,third-party-learner-content-v1
KV001269,new-third-party-stable,asleep,睡着的,睡着的,The baby is asleep now.,宝宝现在睡着了。,,[əˈsliːp],[əˈsliːp],stage::third-party-primary,001541,2738c4f49781f3ee7ff5376961b90d68804fadf22cf19c80fc5841d7ee69ce58,model-curated-pending-review,third-party-learner-content-v1
KV001270,new-third-party-stable,assistant,助手；助理,助手；助理,The shop assistant helped me find a shirt.,店员帮我找了一件衬衫。,,[əˈsɪstənt],[əˈsɪstənt],stage::third-party-primary,001913,7888078bf38f37c6cfb2ce855833273828d22c72a9ec169bed70e23c474a26e2,model-curated-pending-review,third-party-learner-content-v1
KV001271,new-third-party-stable,at all,根本；完全（用于否定或疑问）,根本；完全（用于否定或疑问）,I do not like this game at all.,我根本不喜欢这个游戏。,,[æt ɔ:l],[æt ɔːl],stage::third-party-primary,002502,736ea31bb2c197b67dfc6afbb5542c825bc33aa156d82b3920687539c376e5f1,model-curated-pending-review,third-party-learner-content-v1
KV001272,new-third-party-stable,at first,起初；一开始,起初；一开始,At first I could not ride a bike.,起初我不会骑自行车。,,,,stage::third-party-primary,001460,d1135ac958f69dad5cd669935eff45d4e858cea8e59dc21019f5105465d7b491,model-curated-pending-review,third-party-learner-content-v1
KV001273,new-third-party-stable,at home,在家,在家,Dad is at home today.,爸爸今天在家。,,,,stage::third-party-primary,001306,5b79ff79aa6efb3a903751c92be146eed3a012d8c930df3abcf0400acc6ddb0e,model-curated-pending-review,third-party-learner-content-v1
