NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002035,new-third-party-stable,leopard,豹；豹子,豹；豹子,A leopard has dark spots on its body.,豹子身上有深色斑点。,,[ˈlepəd],[ˈlepərd],stage::third-party-primary,002182,d6cf5650819d957dbcdde78d99a2ca180c3b019e44e61e20a0b2f6a066d1e256,model-curated-pending-review,third-party-learner-content-v1
KV002036,new-third-party-stable,let,让；允许,让；允许,Please let me try again.,请让我再试一次。,,[let],[let],stage::third-party-primary,000992,e18f8b83c7f053098731f1b7d35591105d5d406a5aae4c89b8263f64174b3f23,model-curated-pending-review,third-party-learner-content-v1
KV002037,new-third-party-stable,librarian,图书馆员,图书馆员,The librarian helped me find the book.,图书馆员帮我找到了那本书。,,[laɪˈbreəriən],[laɪˈbreriən],stage::third-party-primary,001627,9b77d7f530aa1d655a608dae71b5eb4a7b528a2d915458bb52dd13775831540c,model-curated-pending-review,third-party-learner-content-v1
KV002038,new-third-party-stable,library card,借书证；图书馆卡,借书证；图书馆卡,I use my library card to borrow books.,我用借书证借书。,,,,stage::third-party-primary,002611,eb80b317a9f7b912df42bb45b3f7baa1fc9147b5a25b08d59f4f65ae7b9fc00c,model-curated-pending-review,third-party-learner-content-v1
KV002039,new-third-party-stable,lie,说谎；撒谎,说谎；撒谎,It is wrong to lie to your parents.,对父母说谎是不对的。,,[laɪ],[laɪ],stage::third-party-primary,001389,8aafb65ab22edb2bd298668935541a27eefc7f736068ae154bc5c40c282aa479,model-curated-pending-review,third-party-learner-content-v1
KV002040,new-third-party-stable,life,生活；生命,生活；生命,Plants need water for life.,植物的生命需要水。,,[laɪf],[laɪf],stage::third-party-primary,000952,ff30d2807594e9a07271f6ea0d0745f9e752206f16aea92ce63616830b34e5c8,model-curated-pending-review,third-party-learner-content-v1
KV002041,new-third-party-stable,lifeguard,救生员,救生员,The lifeguard watched the swimmers carefully.,救生员仔细看着游泳的人。,,[ˈlaɪfɡɑːd],[ˈlaɪfɡɑːrd],stage::third-party-primary,002183,25f4f4c0b5f820593212db6630759d847ded1ad2664f5c70210b1c038c3dcd95,model-curated-pending-review,third-party-learner-content-v1
KV002042,new-third-party-stable,lift,电梯,电梯,We took the lift to the fifth floor.,我们乘电梯去了五楼。,,[lɪft],[lɪft],stage::third-party-primary,002184,d44b6fb05ac3c75bd590461da29e0dd6584404a74ec0dc328fde2512dbb5a504,model-curated-pending-review,third-party-learner-content-v1
KV002043,new-third-party-stable,lift,举起；抬起,举起；抬起,Can you lift this box?,你能抬起这个箱子吗？,,[lɪft],[lɪft],stage::third-party-primary,002185,ca5c0777759ce4f32bb32a420832961f989bd9cf012e08ccc02d5d79c58f91c1,model-curated-pending-review,third-party-learner-content-v1
KV002044,new-third-party-stable,light bulb,灯泡,灯泡,The light bulb needs to be changed.,这个灯泡需要更换。,,[ˈlaɪt bʌlb],[ˈlaɪt bʌlb],stage::third-party-primary,002612,db29de520629d09355f95c5c37fecb07d4aa84771b2feb1893d3f9688d5e1815,model-curated-pending-review,third-party-learner-content-v1
KV002045,new-third-party-stable,light rail,轻轨,轻轨,We took the light rail across the city.,我们乘轻轨穿过城市。,,,,stage::third-party-primary,002613,a3e2aa0dffc08f55b4d4e6a6692c8e09c801419a44d429c314503b6b763a18b5,model-curated-pending-review,third-party-learner-content-v1
KV002046,new-third-party-stable,lion,狮子,狮子,The lion rested under a tree.,狮子在树下休息。,,[ˈlaɪən],[ˈlaɪən],stage::third-party-primary,000853,d46c14835b2c4aacf35ad495dc711ccad589526eb7e6c3796f2848f1799f23fc,model-curated-pending-review,third-party-learner-content-v1
KV002047,new-third-party-stable,lion dance,舞狮,舞狮,We watched a lion dance during the festival.,节日期间我们看了舞狮。,,,,stage::third-party-primary,001476,fa565a226f6bfa677c72981aabff0752f4532eacd02bb1204da90068abc1dedf,model-curated-pending-review,third-party-learner-content-v1
