NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002535,new-third-party-stable,seasonal,季节性的；随季节变化的,季节性的；随季节变化的,This shop sells seasonal fruit.,这家商店卖时令水果。,,[ˈsiːzən(ə)l],[ˈsiːzənl],stage::third-party-primary,002353,cbbca651ca490a0e09c08dd1c7919f2f5dcbc5c8dd88689836c87090e17f6428,model-curated-pending-review,third-party-learner-content-v1
KV002536,new-third-party-stable,seat,座位,座位,Please take a seat near the window.,请在窗边找个座位坐下。,,[siːt],[siːt],stage::third-party-primary,001198,1cfa663f13f22a0a3103a161f18d0fb1fb1d35bebaff94cfed02275cb17de6a6,model-curated-pending-review,third-party-learner-content-v1
KV002537,new-third-party-stable,Seattle,西雅图,西雅图,Seattle is a city in the United States.,西雅图是美国的一座城市。,,[sɪˈæt(ə)l],[siˈætl],stage::third-party-primary,002354,c754b27db54613ab5bb584a47bdb1f3eddfe99ee289b1058b96fc8847f0ac770,model-curated-pending-review,third-party-learner-content-v1
KV002538,new-third-party-stable,second floor,二楼,二楼,Our classroom is on the second floor.,我们的教室在二楼。,,,,stage::third-party-primary,002694,ce9cc686e30cf7fd54798aea0d8e534f52983ecc9842980551c9b1d8f426546d,model-curated-pending-review,third-party-learner-content-v1
KV002539,new-third-party-stable,secret,秘密；秘密的,秘密；秘密的,Can you keep a secret?,你能保守秘密吗？,,[ˈsiːkrət],[ˈsiːkrət],stage::third-party-primary,001694,359aef8f27abc3f9a86e535285bb89c6c2d8b183a9f3062c0a963885c35d110b,model-curated-pending-review,third-party-learner-content-v1
KV002540,new-third-party-stable,secretary,秘书,秘书,The secretary answered the phone.,秘书接了电话。,,[ˈsekrət(ə)ri],[ˈsekrəteri],stage::third-party-primary,001695,9a19fed440974438bde3948d4b5ffafc3171e6b589c122f3a79c582503c0b37b,model-curated-pending-review,third-party-learner-content-v1
KV002541,new-third-party-stable,section,部分；区域,部分；区域,Read the last section of the story.,读故事的最后一部分。,,[ˈsekʃn],[ˈsekʃn],stage::third-party-primary,002355,b662220cd0575479f59d3068fc0a6d75a2f8cc4acf52ab774915cb1512b18e8d,model-curated-pending-review,third-party-learner-content-v1
KV002542,new-third-party-stable,see a doctor,看医生；就医,看医生；就医,I need to see a doctor today.,我今天需要去看医生。,,,,stage::third-party-primary,001848,64886010a73d8037e075ed46b3663e48b12652bf220f50dd9153c61f81c6f432,model-curated-pending-review,third-party-learner-content-v1
KV002543,new-third-party-stable,see the world,看看世界；见世面,看看世界；见世面,She wants to travel and see the world.,她想旅行看看世界。,,,,stage::third-party-primary,002831,ebb3c2d270e2fe0dc083e76edb70182b201c6214fbd646b763c6e8a9ddc13d1a,model-curated-pending-review,third-party-learner-content-v1
KV002544,new-third-party-stable,seek,寻找；寻求,寻找；寻求,We seek help when we have a problem.,遇到问题时我们会寻求帮助。,,[siːk],[siːk],stage::third-party-primary,002356,1a23ed29d97a983d485f473f7b82b066215f4c5dad09a7825d5421e661e7fc9d,model-curated-pending-review,third-party-learner-content-v1
KV002545,new-third-party-stable,seesaw,跷跷板,跷跷板,The two children played on the seesaw.,两个孩子在玩跷跷板。,,[ˈsiːsɔː],[ˈsiːsɔː],stage::third-party-primary,002357,7500ec898b9844f0dfebb403217ae034dbe4fe21db9a36b228b1887e3be6b528,model-curated-pending-review,third-party-learner-content-v1
KV002546,new-third-party-stable,seldom,很少；不常,很少；不常,We seldom eat out on school nights.,上学日的晚上我们很少外出吃饭。,,[ˈseldəm],[ˈseldəm],stage::third-party-primary,002358,8b5950f73fbc69b1a8c8fa3640003a1f1e02c5f46e489b6a70a83125f190fa70,model-curated-pending-review,third-party-learner-content-v1
KV002547,new-third-party-stable,sentence,句子,句子,Write one sentence about your family.,写一个关于你家庭的句子。,,[ˈsentəns],[ˈsentəns],stage::third-party-primary,002359,48636a1ce24437d4c9b86d4ce2664075bfbd585eaf61dd4ba288bc7b80d259a6,model-curated-pending-review,third-party-learner-content-v1
KV002548,new-third-party-stable,serious,严肃的；认真的,严肃的；认真的,The doctor looked serious.,医生看起来很严肃。,,[ˈsɪəriəs],[ˈsɪriəs],stage::third-party-primary,001696,663f26060430b7d50f0db53e4ad4d7273907c0785d8d2ce49bc445256dd79523,model-curated-pending-review,third-party-learner-content-v1
KV002549,new-third-party-stable,seventeen,十七,十七,There are seventeen books on the shelf.,架子上有十七本书。,,[ˌsev(ə)nˈtiːn],[ˌsevnˈtiːn],stage::third-party-primary,000861,9a698e34ebf701220bce8c4ed002b950f1e8575701fafe9411e9c724062af1c3,model-curated-pending-review,third-party-learner-content-v1
KV002550,new-third-party-stable,seventeenth,第十七,第十七,Today is her seventeenth birthday.,今天是她十七岁生日。,,[ˌsev(ə)nˈtiːnθ],[ˌsevnˈtiːnθ],stage::third-party-primary,002360,c07a263072ebe07409150907e4cabf6b1ae949e294c434d537446c8eab257ce4,model-curated-pending-review,third-party-learner-content-v1
