NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV001335,new-third-party-stable,bicycle,自行车,自行车,She rides her bicycle to school.,她骑自行车去上学。,,[ˈbaɪsɪk(ə)l],[ˈbaɪsɪkl],stage::third-party-primary,001329,5a1f934df5dd0be5768341d7d6797b0b43b274b949f29a0f2cb0ca5b9070960c,model-curated-pending-review,third-party-learner-content-v1
KV001336,new-third-party-stable,biggest,最大的,最大的,That is the biggest apple in the basket.,那是篮子里最大的苹果。,,[bɪgɪst],[bɪgɪst],stage::third-party-primary,001352,72a2506d61bc06f3de81a0cf373d3fb727adb5929bd095c867ddbc17a8188a30,model-curated-pending-review,third-party-learner-content-v1
KV001337,new-third-party-stable,bike,自行车,自行车,My bike is blue.,我的自行车是蓝色的。,,[baɪk],[baɪk],stage::third-party-primary,000747,db9df86af7e907eb3f1f58acdb979dbd13cb616d92b20ac30ab126f380bb82f3,model-curated-pending-review,third-party-learner-content-v1
KV001338,new-third-party-stable,bike ride,骑自行车出行；骑车兜风,骑自行车出行；骑车兜风,We went for a bike ride by the river.,我们沿着河边骑车兜风。,,,,stage::third-party-primary,002509,c60463585ee689f0f45279700a5b31d87aea586e73623be7e52c3247ecaf09d4,model-curated-pending-review,third-party-learner-content-v1
KV001339,new-third-party-stable,bin,垃圾箱；垃圾桶,垃圾箱；垃圾桶,Please put the paper in the bin.,请把纸放进垃圾桶。,,[bɪn],[bɪn],stage::third-party-primary,001549,636045de285607dbd686c1523ae7bfc5ef523d2864f74b7fbde76c83c1a6f82d,model-curated-pending-review,third-party-learner-content-v1
KV001340,new-third-party-stable,biscuit,饼干,饼干,I had a biscuit with my milk.,我喝牛奶时吃了一块饼干。,,[ˈbɪskɪt],[ˈbɪskɪt],stage::third-party-primary,001330,063560cd50fca5355b6d6c4ff99f4371fab84968f589be751ce598e94bd4ec83,model-curated-pending-review,third-party-learner-content-v1
KV001341,new-third-party-stable,bitter,苦的；苦味的,苦的；苦味的,This medicine tastes bitter.,这种药尝起来很苦。,,[ˈbɪtə(r)],[ˈbɪtər],stage::third-party-primary,001864,52394870d2e6051cd594127614f119e113f39be2bf5d2476e690a4a75e6a4ea1,model-curated-pending-review,third-party-learner-content-v1
KV001342,new-third-party-stable,black rhino,黑犀牛,黑犀牛,The black rhino is a large animal.,黑犀牛是一种大型动物。,,,,stage::third-party-primary,002510,249a1428b555a40774d648f1c80f470e1ef0534037e1bf78a3d2043d84aff77b,model-curated-pending-review,third-party-learner-content-v1
KV001343,new-third-party-stable,blazer,运动夹克；西装外套,运动夹克；西装外套,He wore a blue blazer to school.,他穿着一件蓝色西装外套去学校。,,[ˈbleɪzə(r)],[ˈbleɪzər],stage::third-party-primary,001933,0733ba2043de122350f0102bbc16eb91a8f02f5cb88c6e3e59ba200d41981ba8,model-curated-pending-review,third-party-learner-content-v1
KV001344,new-third-party-stable,blink,眨眼,眨眼,Try not to blink for ten seconds.,试着十秒钟不要眨眼。,,[blɪŋk],[blɪŋk],stage::third-party-primary,001934,868e44d0642d12a74eb8f0180c8e4f3ffccd6b371b59a264a78e0f13ebb79d82,model-curated-pending-review,third-party-learner-content-v1
KV001345,new-third-party-stable,block,街区,街区,The library is one block away.,图书馆离这里一个街区。,,[blɒk],[blɑːk],stage::third-party-primary,001935,a6fc7d49b3caf4545cc7e1797d92b53710b209c3e8594bb9ed6f5c2ca020404a,model-curated-pending-review,third-party-learner-content-v1
KV001346,new-third-party-stable,blond,金发的,金发的,The boy has blond hair.,那个男孩有一头金发。,,[blɒnd],[blɑːnd],stage::third-party-primary,001936,c6f71a3230bb1d1289b0ac44003c076ae45b7dcee00ef9cf1aab07d7632cf313,model-curated-pending-review,third-party-learner-content-v1
KV001347,new-third-party-stable,blood,血；血液,血；血液,There was a little blood on his knee.,他的膝盖上有一点血。,,[blʌd],[blʌd],stage::third-party-primary,001937,8e034882a4e8074d9dfe0019e6e3e10a8979cb1daa6038336c57d9b14035c65f,model-curated-pending-review,third-party-learner-content-v1
KV001348,new-third-party-stable,blouse,女衬衫；女式上衣,女衬衫；女式上衣,She wore a white blouse.,她穿着一件白色女衬衫。,,[blaʊz],[blaʊs],stage::third-party-primary,001223,4c225e94978244a6e8fcaec634eabdd583fa0c283df69ada9f4ed5d58ee3b05b,model-curated-pending-review,third-party-learner-content-v1
KV001349,new-third-party-stable,blow,吹；刮,吹；刮,The wind can blow very hard here.,这里的风有时会刮得很大。,,[bləʊ],[bloʊ],stage::third-party-primary,001236,54eb2d47ac4db3a7a46b773c703ddc78ae17109dddc2a6bca94d2e348658a524,model-curated-pending-review,third-party-learner-content-v1
KV001350,new-third-party-stable,blow off,吹掉；刮掉,吹掉；刮掉,The strong wind may blow off your hat.,大风可能会把你的帽子吹掉。,,,,stage::third-party-primary,002511,fdc43535057b6e50011d35ed1eb01b7944a1533b6e00d0100cbcd59f8a69ad19,model-curated-pending-review,third-party-learner-content-v1
KV001351,new-third-party-stable,blue whale,蓝鲸,蓝鲸,A blue whale is very large.,蓝鲸非常大。,,[ˌbluː ˈweɪl],[ˌbluː ˈweɪl],stage::third-party-primary,002512,37f6530e4ffa5bfeba4d2f4979531b0841e69f5f8a6ad0123d72606f19040e04,model-curated-pending-review,third-party-learner-content-v1
KV001352,new-third-party-stable,blunt,钝的；不锋利的,钝的；不锋利的,This old knife is blunt.,这把旧刀很钝。,,[blʌnt],[blʌnt],stage::third-party-primary,001938,c1219c8cdbe00c1489a15e0921df653308e152ecdb6faa27c9e6c53e9eaca6e9,model-curated-pending-review,third-party-learner-content-v1
KV001353,new-third-party-stable,blush,脸红,脸红,Her face began to blush.,她的脸开始发红。,,[blʌʃ],[blʌʃ],stage::third-party-primary,001939,f89af5d079ef5fee91303db58536efaa2561288919d4cde0b42e1ae569862816,model-curated-pending-review,third-party-learner-content-v1
KV001354,new-third-party-stable,board,上车；登上（交通工具）,上车；登上（交通工具）,We will board the train at ten.,我们十点上火车。,,[bɔːd],[bɔːrd],stage::third-party-primary,001353,b091df3d761b3bbdfc6cf44ed6a7ef93c4a84e906d6d4aef4e11e33b371b3df2,model-curated-pending-review,third-party-learner-content-v1
KV001355,new-third-party-stable,boarding card,登机卡；登船卡,登机卡；登船卡,Keep your boarding card with you.,请随身带好登机卡。,,[ˈbɔːdɪŋ kɑːd],[ˈbɔːrdɪŋ kɑːrd],stage::third-party-primary,002513,331b648a983e8fd370a0367880565b60ff6b92899c4aa8a2af51c1d546271b54,model-curated-pending-review,third-party-learner-content-v1
KV001356,new-third-party-stable,boarding pass,登机牌,登机牌,I showed my boarding pass at the gate.,我在登机口出示了登机牌。,,,,stage::third-party-primary,002514,fcbc3a5cff39f6499ec4e8d982c52a04fe7d9896e1da30cb8ad1fda2b1701ba2,model-curated-pending-review,third-party-learner-content-v1
KV001357,new-third-party-stable,boating,划船；划船活动,划船；划船活动,We went boating on the lake.,我们去湖上划船了。,,[ˈbəʊtɪŋ],[ˈboʊtɪŋ],stage::third-party-primary,001940,339ed9fe016d6aa0534377561ce0e18e8388f7a16a7fc5339fb5cc3ff579656f,model-curated-pending-review,third-party-learner-content-v1
KV001358,new-third-party-stable,boil,煮沸；烧开,煮沸；烧开,Boil the water before you drink it.,喝水前先把水烧开。,,[bɔɪl],[bɔɪl],stage::third-party-primary,001517,8ba64df0f1e252a58c32c57fc01c035b21b8d07ace40ba39a592feb80ed19e37,model-curated-pending-review,third-party-learner-content-v1
KV001359,new-third-party-stable,bone,骨头；骨骼,骨头；骨骼,The dog buried a bone in the garden.,狗把一根骨头埋在花园里。,,[bəʊn],[boʊn],stage::third-party-primary,001551,774c47a50b6408abedb26bf2e7b551d6f465fea2c6c0ccfbc3a07fcd7aa4b002,model-curated-pending-review,third-party-learner-content-v1
KV001360,new-third-party-stable,bookshelf,书架,书架,My storybooks are on the bookshelf.,我的故事书在书架上。,,[ˈbʊkʃelf],[ˈbʊkʃelf],stage::third-party-primary,001552,f7838a99a5e2911c91123791e3915f8830ebdbba69720bfc663a6121cb735786,model-curated-pending-review,third-party-learner-content-v1
KV001361,new-third-party-stable,bookstore,书店,书店,We bought this book at the bookstore.,我们在书店买了这本书。,,[ˈbʊkstɔː(r)],[ˈbʊkstɔːr],stage::third-party-primary,001354,aae53511ac34d228e1b2b428375b1bad4a2b93b513a1b38d8126531d41ea2755,model-curated-pending-review,third-party-learner-content-v1
KV001362,new-third-party-stable,bookworm,书虫；爱读书的人,书虫；爱读书的人,My sister is a real bookworm.,我妹妹是个真正的书虫。,,[ˈbʊkwɜːm],[ˈbʊkwɜːrm],stage::third-party-primary,001941,82c733018a026b1b057cdbb4a73baa8956a072d04d30368b1ea26160b791f76d,model-curated-pending-review,third-party-learner-content-v1
KV001363,new-third-party-stable,boot,靴子,靴子,There is mud on my boot.,我的靴子上有泥。,,,,stage::third-party-primary,001553,70dea023beb2191242c8ca45c412ac6362687cf0b708903ee8c6323f238fac7d,model-curated-pending-review,third-party-learner-content-v1
KV001364,new-third-party-stable,bored,感到无聊的；厌倦的,感到无聊的；厌倦的,I felt bored during the long wait.,长时间等待时我感到无聊。,,[bɔːd],[bɔːrd],stage::third-party-primary,001011,e0134b6e5937b889ddeafeda0d9309055af5aceb70f75908db5a531568fb8eca,model-curated-pending-review,third-party-learner-content-v1
KV001365,new-third-party-stable,borrow,借；借入,借；借入,May I borrow your pencil?,我可以借你的铅笔吗？,,[ˈbɒrəʊ],[ˈbɔːroʊ],stage::third-party-primary,001148,b0c86e8409d2d095efbf109d0630bc025f28857cd6537f37dd487bd123cd91e8,model-curated-pending-review,third-party-learner-content-v1
KV001366,new-third-party-stable,boss,老板；上司,老板；上司,My mum's boss is very kind.,我妈妈的老板很友善。,,[bɒs],[bɔːs],stage::third-party-primary,001942,1c28256f165952e87d174027f78a72cbc9ebd7fc67c13a2f4ea64890eac4da8b,model-curated-pending-review,third-party-learner-content-v1
KV001367,new-third-party-stable,bottom,底部；底端,底部；底端,The toy is at the bottom of the box.,玩具在盒子底部。,,[ˈbɒtəm],[ˈbɑːtəm],stage::third-party-primary,001943,ff07969b8b10a38792bff3683002c0c1c6db9caea2756f90dad3c37c0ec4047e,model-curated-pending-review,third-party-learner-content-v1
KV001368,new-third-party-stable,bow and arrow,弓箭,弓箭,He learned to use a bow and arrow.,他学会了使用弓箭。,,[bəu ənd 'ærəʊ],[bəu],stage::third-party-primary,002786,5d7f6afc2f11521a37d2326401a535396c94e70d40f2308f57f61be83219d2a3,model-curated-pending-review,third-party-learner-content-v1
KV001369,new-third-party-stable,bowling,保龄球；保龄球运动,保龄球；保龄球运动,We went bowling on Saturday.,我们星期六去打保龄球了。,,[ˈbəʊlɪŋ],[ˈboʊlɪŋ],stage::third-party-primary,001944,c7d489b193471b5b5cb895e3303e1194bb5e849ab32aa3ec728328edce6f45d1,model-curated-pending-review,third-party-learner-content-v1
KV001370,new-third-party-stable,brake,刹车；制动,刹车；制动,Press the brake before the bike stops.,自行车停下前要按刹车。,,[breɪk],[breɪk],stage::third-party-primary,001945,cc5446ab82afcb8d93e5dc06e42fe2ab0e4dd4561df9ec25423754cdc120e32c,model-curated-pending-review,third-party-learner-content-v1
KV001371,new-third-party-stable,branch,树枝,树枝,A bird is sitting on the branch.,一只鸟停在树枝上。,,[brɑːntʃ],[bræntʃ],stage::third-party-primary,001946,5ba07b388e5bd545f755d8a5ae045f27184c0a991dbfa126513c3cc85929c053,model-curated-pending-review,third-party-learner-content-v1
KV001372,new-third-party-stable,brave,勇敢的,勇敢的,The brave girl helped the little dog.,勇敢的女孩帮助了那只小狗。,,[breɪv],[breɪv],stage::third-party-primary,001237,01023492c829585211a59feb29b90331a7263af018f5cbeef765390c82833663,model-curated-pending-review,third-party-learner-content-v1
KV001373,new-third-party-stable,Brazil,巴西,巴西,Brazil is in South America.,巴西在南美洲。,,[brəˈzɪl],[brəˈzɪl],stage::third-party-primary,001947,ae0fe115e44b86a4248f8a1ae2cceb154299be5d187a7f5aff0c8ff9bcf22f1b,model-curated-pending-review,third-party-learner-content-v1
KV001374,new-third-party-stable,breakfast,早餐；早饭,早餐；早饭,I eat breakfast at seven.,我七点吃早餐。,,[ˈbrekfəst],[ˈbrekfəst],stage::third-party-primary,000779,6512576b99eededfacfb1304b5f6607556e321808625d7593f378246b8b92072,model-curated-pending-review,third-party-learner-content-v1
KV001375,new-third-party-stable,breath,呼吸；气息,呼吸；气息,Take a deep breath and relax.,深吸一口气然后放松。,,[breθ],[breθ],stage::third-party-primary,001948,5abe7faa64c7754d6ff3171bed111e975a70674da697082699bc328144575895,model-curated-pending-review,third-party-learner-content-v1
KV001376,new-third-party-stable,bridge,桥,桥,We walked across the old bridge.,我们走过那座老桥。,,[brɪdʒ],[brɪdʒ],stage::third-party-primary,001077,9f7c72dd965c6540ba955b49d6e67f8216bd79da989125b0b4e3d281f320f679,model-curated-pending-review,third-party-learner-content-v1
KV001377,new-third-party-stable,bright,明亮的；光亮的,明亮的；光亮的,The room is bright in the morning.,这个房间早上很明亮。,,[braɪt],[braɪt],stage::third-party-primary,001149,ec0d9a7c97b2ab1fde09baad6b0e112425d5e8cd089261a03f828c987dd42572,model-curated-pending-review,third-party-learner-content-v1
KV001378,new-third-party-stable,brightly,明亮地；鲜明地,明亮地；鲜明地,The stars shone brightly.,星星明亮地闪耀着。,,[ˈbraɪtli],[ˈbraɪtli],stage::third-party-primary,001949,02638b21d5625c1b600420a84940f5100e58a36081730115e80d5006e320338e,model-curated-pending-review,third-party-learner-content-v1
KV001379,new-third-party-stable,bring back,带回；拿回,带回；拿回,Please bring back my book tomorrow.,请明天把我的书带回来。,,,,stage::third-party-primary,002515,b01d6a5362613236c34cc4cef1d37604768c1b0756bed35acc0e6ffdd9852c91,model-curated-pending-review,third-party-learner-content-v1
KV001380,new-third-party-stable,Britain,英国；大不列颠,英国；大不列颠,My uncle lives in Britain.,我叔叔住在英国。,,,,stage::third-party-primary,001950,b22a0ce29406888f9544dc6f0124c50f35e29183cf9ecbf6efa34345af2e9691,model-curated-pending-review,third-party-learner-content-v1
KV001381,new-third-party-stable,British,英国的；英国人,英国的；英国人,She has a British friend.,她有一个英国朋友。,,[ˈbrɪtɪʃ],[ˈbrɪtɪʃ],stage::third-party-primary,001355,640a5fc81f52ffbbad37ea4e8eb5592b71381f916c94f0c2ecf22573f6231b5a,model-curated-pending-review,third-party-learner-content-v1
KV001382,new-third-party-stable,broom,扫帚,扫帚,I use a broom to sweep the floor.,我用扫帚扫地。,,[bruːm],[bruːm],stage::third-party-primary,001951,f5049992174cb4b4f0425fc7916454d7b9143ef0d54013117f0318a5c757776e,model-curated-pending-review,third-party-learner-content-v1
KV001383,new-third-party-stable,brown,棕色；棕色的,棕色；棕色的,The bear is brown.,那只熊是棕色的。,,[braʊn],[braʊn],stage::third-party-primary,000740,b7000e9f237106d4b72d55856cd7c20ea9501bef50330d36f4506aab8f4503fa,model-curated-pending-review,third-party-learner-content-v1
KV001384,new-third-party-stable,brush,画笔；毛笔,画笔；毛笔,She painted the flower with a small brush.,她用一支小画笔画了那朵花。,,[brʌʃ],[brʌʃ],stage::third-party-primary,001022,8470de4544be54c91772ea0ac0e78828b5273fb7b376b50d806fe9ea1b58ac0e,model-curated-pending-review,third-party-learner-content-v1
KV001385,new-third-party-stable,bucket,水桶；桶,水桶；桶,He filled the bucket with water.,他把水桶装满了水。,,[ˈbʌkɪt],[ˈbʌkɪt],stage::third-party-primary,001952,193180ceb69d089bb25e9deea4591f7dadabb8a203f608cd5cac30f375d97509,model-curated-pending-review,third-party-learner-content-v1
KV001386,new-third-party-stable,budgie,虎皮鹦鹉,虎皮鹦鹉,The green budgie is singing.,那只绿色虎皮鹦鹉正在鸣叫。,,[ˈbʌdʒi],[ˈbʌdʒi],stage::third-party-primary,001953,c81fe1458faa94316820711211d2d925116e99d55e9018a72006e644eab04bad,model-curated-pending-review,third-party-learner-content-v1
