NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002935,new-third-party-stable,washing machine,洗衣机,洗衣机,The washing machine is in the bathroom.,洗衣机在浴室里。,,,,stage::third-party-primary,002760,fdb66c1458cbc0b23f00f822739b1f3f3d1ceb9d4c55724f5e862d1b2b0b703d,model-curated-pending-review,third-party-learner-content-v1
KV002936,new-third-party-stable,watch a film,看电影；观看电影,看电影；观看电影,We watch a film on Friday night.,我们星期五晚上看电影。,,,,stage::third-party-primary,002861,5b9a21cec531ac34142176a14200424b54adffb6545115d1d2889d2c29659706,model-curated-pending-review,third-party-learner-content-v1
KV002937,new-third-party-stable,watch TV,看电视,看电视,We do not watch TV during dinner.,我们吃晚饭时不看电视。,,,,stage::third-party-primary,000903,e94d6154e684784ccea19961d4c9d0aef61b540062b30d6a7bffb2ae6928590b,model-curated-pending-review,third-party-learner-content-v1
KV002938,new-third-party-stable,watches,手表（watch 的复数）,手表（watch 的复数）,Those watches are in the shop window.,那些手表在商店橱窗里。,,,,stage::third-party-primary,002468,0c6c14597abf7c7b9c1f5b80049b886c59e4a2d1e511ee65aca589e7d8421acd,model-curated-pending-review,third-party-learner-content-v1
KV002939,new-third-party-stable,water the plants,给植物浇水,给植物浇水,I water the plants every morning.,我每天早上给植物浇水。,,,,stage::third-party-primary,002862,5f2f6b9ca7cdf767d230df322091a1bb6af446e1399e07fcb2bc5b9a30ea22e7,model-curated-pending-review,third-party-learner-content-v1
KV002940,new-third-party-stable,watermelon,西瓜,西瓜,We shared a big watermelon.,我们分吃了一个大西瓜。,,[ˈwɔːtəmelən],[ˈwɔːtərmelən],stage::third-party-primary,000967,241efc21806c21ea8fd595cd047a44a4f7e734eaa1098ef5764318f28605e088,model-curated-pending-review,third-party-learner-content-v1
KV002941,new-third-party-stable,way,路；道路；方向,路；道路；方向,Which way should we go?,我们应该往哪个方向走？,,[weɪ],[weɪ],stage::third-party-primary,000850,57b735c2d8cba10044d2c1ef1771d1bf6e192311ff0aaf0146562b520ddf1eae,model-curated-pending-review,third-party-learner-content-v1
KV002942,new-third-party-stable,we will,我们将会；我们会,我们将会；我们会,We will visit Grandma tomorrow.,我们明天会去看奶奶。,,,,stage::third-party-primary,001878,036e8493aee2dd3b7935c5124997bdacd235e2ee54d0c9c350da3aaf5c01fd6f,model-curated-pending-review,third-party-learner-content-v1
KV002943,new-third-party-stable,weak,虚弱的；弱小的,虚弱的；弱小的,I felt weak after being ill.,生病后我感到很虚弱。,,[wiːk],[wiːk],stage::third-party-primary,001757,14d38c81f88de303c263b449458f4995fbcfcd649d366c4012a72ae27b50b81b,model-curated-pending-review,third-party-learner-content-v1
KV002944,new-third-party-stable,weather report,天气预报；天气报告,天气预报；天气报告,The weather report says it will be sunny.,天气预报说明天会晴。,,,,stage::third-party-primary,001497,f86d79338164ff96d3d4faedc92db190c197d2907909cbcf966ed737b9f06e57,model-curated-pending-review,third-party-learner-content-v1
KV002945,new-third-party-stable,web,网；蛛网,网；蛛网,A spider made a web in the corner.,一只蜘蛛在角落里结了网。,,[web],[web],stage::third-party-primary,002469,483ca6092ecb3dde1b432fa8c6b287183e509a3b7e07004686a627003d14d708,model-curated-pending-review,third-party-learner-content-v1
KV002946,new-third-party-stable,website,网站,网站,Our school has a new website.,我们学校有一个新网站。,,[ˈwebsaɪt],[ˈwebsaɪt],stage::third-party-primary,002470,62f6d5ea06e9d73f8e33297628155b1f75a38857cf27498d8c6bd26c8686cca6,model-curated-pending-review,third-party-learner-content-v1
KV002947,new-third-party-stable,weekday,工作日；平日,工作日；平日,I get up early on every weekday.,每个工作日我都早起。,,[ˈwiːkdeɪ],[ˈwiːkdeɪ],stage::third-party-primary,001449,c9d7dbac0d49a93a2ccd60c5e00706867b57819c314c7b26882c6bc3e587aedc,model-curated-pending-review,third-party-learner-content-v1
KV002948,new-third-party-stable,weigh,称重量；重……,称重量；重……,Please weigh the bag before the flight.,乘飞机前请称一下这个包的重量。,,[weɪ],[weɪ],stage::third-party-primary,001301,26fe973776d3e2c53a4d7ba80ca4027b66738b11f8f0b6f2f316533d6f547198,model-curated-pending-review,third-party-learner-content-v1
KV002949,new-third-party-stable,weight,重量；体重,重量；体重,What is the weight of this box?,这个箱子的重量是多少？,,[weɪt],[weɪt],stage::third-party-primary,001450,dba958f44658caa913e701850d32fa99d08db17754d5f0cd08e7848260f77192,model-curated-pending-review,third-party-learner-content-v1
KV002950,new-third-party-stable,well,好；很好地,好；很好地,She can swim very well.,她游泳游得很好。,,[wel],[wel],stage::third-party-primary,000724,31190813a953edab619f955a5e7684a3be0a0432f2041acf165ff2c30c1ff537,model-curated-pending-review,third-party-learner-content-v1
KV002951,new-third-party-stable,well-known,著名的；众所周知的,著名的；众所周知的,The Great Wall is well-known around the world.,长城闻名世界。,,[ˌwel ˈnəʊn],[ˌwel ˈnoʊn],stage::third-party-primary,002761,10898e64892c3936b1e0fd1a4cc41570810dc7d25ecf04a70f433a2b9ba1e6d1,model-curated-pending-review,third-party-learner-content-v1
KV002952,new-third-party-stable,Wellington,惠灵顿,惠灵顿,Wellington is the capital of New Zealand.,惠灵顿是新西兰的首都。,,[ˈwelɪŋtən],[ˈwelɪŋtən],stage::third-party-primary,002471,6d3f5a69732bf9e1561561094831a3d1ae2105ccc24d722dae46d942bd5bc270,model-curated-pending-review,third-party-learner-content-v1
KV002953,new-third-party-stable,western,西方的；西部的,西方的；西部的,We ate western food for dinner.,我们晚饭吃了西餐。,,[ˈwestən],[ˈwestərn],stage::third-party-primary,001758,0534502f2930c0253aaa440448297da3f47885883f9c653bb4eda2d4f65483ad,model-curated-pending-review,third-party-learner-content-v1
KV002954,new-third-party-stable,wham,砰的一声；重击声,砰的一声；重击声,The door shut with a loud wham.,门砰的一声关上了。,,[wæm],[wæm],stage::third-party-primary,002472,c14cac614ede85d5163c9a6c2bf62db0607af47f1472d213948b3fde3f0d38c2,model-curated-pending-review,third-party-learner-content-v1
KV002955,new-third-party-stable,wheat,小麦,小麦,Farmers grow wheat in these fields.,农民在这些田地里种小麦。,,[wiːt],[wiːt],stage::third-party-primary,002473,cda7f5c814328c68ffcd6bca17b9fe3e54d597c90090e442b55ac736cf0e24fb,model-curated-pending-review,third-party-learner-content-v1
KV002956,new-third-party-stable,wheel,车轮；轮子,车轮；轮子,The front wheel of my bike is loose.,我的自行车前轮松了。,,[wiːl],[wiːl],stage::third-party-primary,001759,e0f5d2f48a31830d279b14009967ed3c4a91c5a058abcc6507c1348b238ba43d,model-curated-pending-review,third-party-learner-content-v1
KV002957,new-third-party-stable,while,当……的时候,当……的时候,Please be quiet while the baby sleeps.,宝宝睡觉时请保持安静。,,[waɪl],[waɪl],stage::third-party-primary,002474,a024e6da369ca21dc3f8b71032842f03c54272445e66a769b28fa56beb00a33b,model-curated-pending-review,third-party-learner-content-v1
KV002958,new-third-party-stable,white,白色；白色的,白色；白色的,She wore a white shirt.,她穿着一件白衬衫。,,[waɪt],[waɪt],stage::third-party-primary,000709,18e17821f6dabe99130ae8afe99bd0f9bb2636c2bec8a979918fe02a3097f860,model-curated-pending-review,third-party-learner-content-v1
KV002959,new-third-party-stable,White House,白宫,白宫,The White House is in Washington D.C.,白宫在华盛顿特区。,,,,stage::third-party-primary,002763,4e1ce833d5c48a778fcf290917fd47533c5d255fd2e3b1b18281f383435fff55,model-curated-pending-review,third-party-learner-content-v1
KV002960,new-third-party-stable,whiteboard,白板,白板,The teacher wrote the answer on the whiteboard.,老师把答案写在白板上。,,[ˈwaɪtbɔːd],[ˈwaɪtbɔːrd],stage::third-party-primary,002475,ad0371fd80eb6162a127d34a1c16c203012a6cb87a5f852b5b439d57f1456823,model-curated-pending-review,third-party-learner-content-v1
KV002961,new-third-party-stable,whole grains,全谷物；全谷类,全谷物；全谷类,Whole grains are good for your health.,全谷物对健康有好处。,,,,stage::third-party-primary,002764,d125a045f428641ed9058b9c5858d63439b1250f8938c9bb4b74a6b6a8b11fe4,model-curated-pending-review,third-party-learner-content-v1
