NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV001864,new-third-party-stable,unreleased,hang glider,hang glider,滑翔翼,滑翔翼,,,British+American,missing,missing,,,[hˈaŋ ɡlˈaɪdə],[hˈæŋ ɡlˈaɪdɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001865,new-third-party-stable,unreleased,happen,happen,发生,发生,,,British+American,conflicting-evidence,conflicting-evidence,[ˈhæpən],[ˈhæpən],[hˈapən],[hˈæpən],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001871,new-third-party-stable,unreleased,hardly ever,hardly ever,几乎从不；很少,几乎从不；很少,,,British+American,missing,missing,,,[hˈɑːdli ˈɛvə],[hˈɑːɹdli ˈɛvɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001874,new-third-party-stable,unreleased,have a cold,have a cold,感冒；患感冒,感冒；患感冒,,,British+American,missing,missing,,,[hav ɐ kˈəʊld],[hæv ɐ kˈoʊld],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001875,new-third-party-stable,unreleased,have a fever,have a fever,发烧,发烧,,,British+American,missing,missing,,,[hav ɐ fˈiːvə],[hæv ɐ fˈiːvɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001876,new-third-party-stable,unreleased,have a good time,have a good time,玩得开心；过得愉快,玩得开心；过得愉快,,,British+American,missing,missing,,,[hav ɐ ɡˈʊd tˈaɪm],[hæv ɐ ɡˈʊd tˈaɪm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001877,new-third-party-stable,unreleased,have a headache,have a headache,头痛；头疼,头痛；头疼,,,British+American,missing,missing,,,[hav ɐ hˈɛdeɪk],[hæv ɐ hˈɛdeɪk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001878,new-third-party-stable,unreleased,have a meeting,have a meeting,开会,开会,,,British+American,missing,missing,,,[hav ɐ mˈiːtɪŋ],[hæv ɐ mˈiːɾɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001879,new-third-party-stable,unreleased,have a party,have a party,举行聚会；开派对,举行聚会；开派对,,,British+American,missing,missing,,,[hav ɐ pˈɑːti],[hæv ɐ pˈɑːɹɾi],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001881,new-third-party-stable,unreleased,have a toothache,have a toothache,牙痛；牙疼,牙痛；牙疼,,,British+American,missing,missing,,,[hav ɐ tˈuːθeɪk],[hæv ɐ tˈuːθeɪk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001883,new-third-party-stable,unreleased,have dinner,have dinner,吃晚饭；吃正餐,吃晚饭；吃正餐,,,British+American,missing,missing,,,[hav dˈɪnə],[hæv dˈɪnɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001889,new-third-party-stable,unreleased,head teacher,head teacher,校长；班主任,校长；班主任,,,British+American,missing,missing,,,[hˈɛd tˈiːtʃə],[hˈɛd tˈiːtʃɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001895,new-third-party-stable,unreleased,heavy,heavy,重的；沉重的,重的；沉重的,,,British+American,conflicting-evidence,conflicting-evidence,[ˈhevi],[ˈhevi],[hˈɛvi],[hˈɛvi],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001908,new-third-party-stable,unreleased,high jump,high jump,跳高,跳高,,,British+American,missing,missing,,,[hˈaɪ dʒˈʌmp],[hˈaɪ dʒˈʌmp],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001912,new-third-party-stable,unreleased,history museum,history museum,历史博物馆,历史博物馆,,,British+American,missing,missing,,,[hˈɪstəɹi mjuːzˈiəm],[hˈɪstɚɹi mjuːzˈiəm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001920,new-third-party-stable,unreleased,Hong Kong,Hong Kong,香港,香港,,,British+American,missing,missing,,,[hˈɒŋ kˈɒŋ],[hˈɑːŋ kˈɑːŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001925,new-third-party-stable,unreleased,horror film,horror film,恐怖电影,恐怖电影,,,British+American,missing,missing,,,[hˈɒɹə fˈɪlm],[hˈɔɹɚ fˈɪlm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001926,new-third-party-stable,unreleased,hot dog,hot dog,热狗,热狗,,,British+American,missing,missing,,,[hˈɒt dˈɒɡ],[hˈɑːt dˈɑːɡ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
