NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV002212,new-third-party-stable,unreleased,northeast,northeast,东北；东北方向,东北；东北方向,,,British+American,missing,missing,,,[nˈɔːθiːst],[nˈɔːɹθiːst],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002213,new-third-party-stable,unreleased,northwest,northwest,西北；西北方向,西北；西北方向,,,British+American,missing,missing,,,[nɔːθwˈɛst],[nɔːɹθwˈɛst],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002216,new-third-party-stable,unreleased,note pad,note pad,记事本,记事本,,,British+American,missing,missing,,,[nˈəʊt pˈad],[nˈoʊt pˈæd],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002223,new-third-party-stable,unreleased,o'clock,o'clock,……点钟,……点钟,,,British+American,missing,missing,,,[əklˈɒk],[əklˈɑːk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,punctuation
KV002226,new-third-party-stable,unreleased,Ocean Park,Ocean Park,海洋公园,海洋公园,,,British+American,missing,missing,,,[ˈəʊʃən pˈɑːk],[ˈoʊʃən pˈɑːɹk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002229,new-third-party-stable,unreleased,office building,office building,办公楼,办公楼,,,British+American,missing,missing,,,[ˈɒfɪs bˈɪldɪŋ],[ˈɑːfɪs bˈɪldɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002236,new-third-party-stable,unreleased,Olympic Games,Olympic Games,奥林匹克运动会；奥运会,奥林匹克运动会；奥运会,,,British+American,missing,missing,,,[əlˈɪmpɪk ɡˈeɪmz],[əlˈɪmpɪk ɡˈeɪmz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002237,new-third-party-stable,unreleased,on holiday,on holiday,在度假；休假中,在度假；休假中,,,British+American,missing,missing,,,[ˌɒn hˈɒlɪdˌeɪ],[ˌɔn hˈɑːlɪdˌeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002238,new-third-party-stable,unreleased,on the left,on the left,在左边；在左侧,在左边；在左侧,,,British+American,missing,missing,,,[ɒnðə lˈɛft],[ɔnðə lˈɛft],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002239,new-third-party-stable,unreleased,on the phone,on the phone,在打电话；通过电话,在打电话；通过电话,,,British+American,missing,missing,,,[ɒnðə fˈəʊn],[ɔnðə fˈoʊn],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002240,new-third-party-stable,unreleased,on the right,on the right,在右边；在右侧,在右边；在右侧,,,British+American,missing,missing,,,[ɒnðə ɹˈaɪt],[ɔnðə ɹˈaɪt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002241,new-third-party-stable,unreleased,on the way,on the way,在路上；途中,在路上；途中,,,British+American,missing,missing,,,[ɒnðə wˈeɪ],[ɔnðə wˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002243,new-third-party-stable,unreleased,once upon a time,once upon a time,从前；很久很久以前,从前；很久很久以前,,,British+American,missing,missing,,,[wˈʌns əpˌɒn ɐ tˈaɪm],[wˈʌns əpˌɑːn ɐ tˈaɪm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002244,new-third-party-stable,unreleased,one by one,one by one,一个接一个地；逐个地,一个接一个地；逐个地,,,British+American,missing,missing,,,[wˈɒn baɪ wˌɒn],[wˈʌn baɪ wˌʌn],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002245,new-third-party-stable,unreleased,one day,one day,有一天；某一天,有一天；某一天,,,British+American,missing,missing,,,[wˈɒn dˈeɪ],[wˈʌn dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002246,new-third-party-stable,unreleased,onion,onion,洋葱,洋葱,,,British+American,conflicting-evidence,conflicting-evidence,[ˈʌnjən],[ˈʌnjən],[ˈʌniən],[ˈʌniən],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002248,new-third-party-stable,unreleased,open day,open day,开放日,开放日,,,British+American,missing,missing,,,[ˈəʊpən dˈeɪ],[ˈoʊpən dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002250,new-third-party-stable,unreleased,opera house,opera house,歌剧院,歌剧院,,,British+American,missing,missing,,,[ˈɒpəɹə hˈaʊs],[ˈɑːpɚɹə hˈaʊs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002252,new-third-party-stable,unreleased,orchard,orchard,果园,果园,,,British+American,missing,missing,,,[ˈɔːtʃəd],[ˈɔːɹtʃɚd],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002263,new-third-party-stable,unreleased,over here,over here,在这里；这边,在这里；这边,,,British+American,missing,missing,,,[ˌəʊvə hˈiə],[ˌoʊvɚ hˈɪɹ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002277,new-third-party-stable,unreleased,Palace Museum,Palace Museum,故宫博物院,故宫博物院,,,British+American,missing,missing,,,[pˈalɪs mjuːzˈiəm],[pˈælɪs mjuːzˈiəm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002281,new-third-party-stable,unreleased,Papa Westray,Papa Westray,帕帕韦斯特雷岛,帕帕韦斯特雷岛,,,British+American,missing,missing,,,[pɐpˈɑː wˈɛstɹeɪ],[pˈɑːpə wˈɛstɹeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002283,new-third-party-stable,unreleased,paper cutting,paper cutting,剪纸；剪纸艺术,剪纸；剪纸艺术,,,British+American,missing,missing,,,[pˈeɪpə kˈʌtɪŋ],[pˈeɪpɚ kˈʌɾɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
