NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV000142,reused-existing-stable,released,Father Christmas,Father Christmas,圣诞老人,圣诞老人,,,British+American,,,,,[fˈɑːðə kɹˈɪsməs],[fˈɑːðɚ kɹˈɪsməs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV000146,reused-existing-stable,released,New Year,New Year,新年,新年,,,British+American,,,,,[njˈuː jˈiə],[nˈuː jˈɪɹ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV000153,reused-existing-stable,released,play football,play football,踢足球,踢足球,,,British+American,,,,,[plˈeɪ fˈʊtbɔːl],[plˈeɪ fˈʊtbɔːl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000154,reused-existing-stable,released,fly a kite,fly a kite,放风筝,放风筝,,,British+American,,,,,[flˈaɪ ɐ kˈaɪt],[flˈaɪ ɐ kˈaɪt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000155,reused-existing-stable,released,ride a bike,ride a bike,骑自行车,骑自行车,,,British+American,,,,,[ɹˈaɪd ɐ bˈaɪk],[ɹˈaɪd ɐ bˈaɪk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000156,reused-existing-stable,released,make a model plane,make a model plane,做飞机模型,做飞机模型,,,British+American,,,,,[mˌeɪk ɐ mˈɒdəl plˈeɪn],[mˌeɪk ɐ mˈɑːdəl plˈeɪn],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000198,reused-existing-stable,released,every day,every day,每天,每天,,,British+American,,,,,[ˈɛvɹɪ dˈeɪ],[ˈɛvɹi dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000240,reused-existing-stable,released,shopping list,shopping list,购物清单,购物清单,,,British+American,,,,,[ʃˈɒpɪŋ lˈɪst],[ʃˈɑːpɪŋ lˈɪst],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000265,reused-existing-stable,released,look forward to,look forward to,期待；盼望,期待；盼望,,,British+American,,,,,[lˈʊk fˈɔːwəd tuː],[lˈʊk fˈɔːɹwɚd tuː],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000289,reused-existing-stable,released,computer class,computer class,计算机课,计算机课,,,British+American,,,,,[kəmpjˈuːtə klˈas],[kəmpjˈuːɾɚ klˈæs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
