NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV002965,new-third-party-stable,unreleased,wild geese,wild geese,大雁；雁（wild goose 的复数）,大雁；雁（wild goose 的复数）,,,British+American,missing,missing,,,[wˈaɪld ɡˈiːs],[wˈaɪld ɡˈiːs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002967,new-third-party-stable,unreleased,wind-bell,wind-bell,风铃,风铃,,,British+American,missing,missing,,,[wˈɪndbˈɛl],[wˈɪndbˈɛl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,hyphenated
KV002971,new-third-party-stable,unreleased,winter holiday,winter holiday,寒假,寒假,,,British+American,missing,missing,,,[wˈɪntə hˈɒlɪdˌeɪ],[wˈɪntɚ hˈɑːlɪdˌeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002972,new-third-party-stable,unreleased,Winter Olympics,Winter Olympics,冬季奥运会,冬季奥运会,,,British+American,missing,missing,,,[wˈɪntəɹ əlˈɪmpɪks],[wˈɪntɚɹ əlˈɪmpɪks],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002977,new-third-party-stable,unreleased,wolf,wolf,狼,狼,,,British+American,conflicting-evidence,conflicting-evidence,[wʊlf],[wʊlf],[wˈʊlf],[wˈʊlf],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002978,new-third-party-stable,unreleased,wolfie,wolfie,Wolfie（狼的名字）,Wolfie（狼的名字）,,,British+American,missing,missing,,,[wˈʊlfi],[wˈʊlfi],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002987,new-third-party-stable,unreleased,work out,work out,锻炼；健身,锻炼；健身,,,British+American,missing,missing,,,[wˈɜːk ˈaʊt],[wˈɜːk ˈaʊt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002988,new-third-party-stable,unreleased,World Car Free Day,World Car Free Day,世界无车日,世界无车日,,,British+American,missing,missing,,,[wˈɜːld kˈɑː fɹˈiː dˈeɪ],[wˈɜːld kˈɑːɹ fɹˈiː dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002989,new-third-party-stable,unreleased,World Cup,World Cup,世界杯,世界杯,,,British+American,missing,missing,,,[wˈɜːld kˈʌp],[wˈɜːld kˈʌp],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002990,new-third-party-stable,unreleased,would like,would like,想要,想要,,,British+American,missing,missing,,,[wʊd lˈaɪk],[wʊd lˈaɪk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
