NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV002638,new-third-party-stable,unreleased,soft toy,soft toy,软体玩具,软体玩具,,,British+American,missing,missing,,,[sˈɒft tˈɔɪ],[sˈɔft tˈɔɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002642,new-third-party-stable,unreleased,some time,some time,一段时间,一段时间,,,British+American,missing,missing,,,[sˌʌm tˈaɪm],[sˌʌm tˈaɪm],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV002647,new-third-party-stable,unreleased,somewhere,somewhere,某处；某个地方,某处；某个地方,,,British+American,missing,missing,,,[sˈʌmweə],[sˈʌmwɛɹ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV002653,new-third-party-stable,unreleased,South Africa,South Africa,南非,南非,,,British+American,missing,missing,,,[sˈaʊθ ˈafɹɪkə],[sˈaʊθ ˈæfɹɪkə],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002654,new-third-party-stable,unreleased,South China Tiger,South China Tiger,华南虎,华南虎,,,British+American,missing,missing,,,[sˈaʊθ tʃˈaɪnə tˈaɪɡə],[sˈaʊθ tʃˈaɪnə tˈaɪɡɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002655,new-third-party-stable,unreleased,South Pole,South Pole,南极,南极,,,British+American,missing,missing,,,[sˈaʊθ pˈəʊl],[sˈaʊθ pˈoʊl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002661,new-third-party-stable,unreleased,speak English,speak English,说英语；讲英语,说英语；讲英语,,,British+American,missing,missing,,,[spˈiːk ˈɪŋɡlɪʃ],[spˈiːk ˈɪŋɡlɪʃ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002667,new-third-party-stable,unreleased,sport-lover,sport-lover,体育爱好者,体育爱好者,,,British+American,missing,missing,,,[spˈɔːtlˈʌvə],[spˈoːɹtlˈʌvɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,hyphenated
KV002668,new-third-party-stable,unreleased,Sports Day,Sports Day,学校运动会；运动日,学校运动会；运动日,,,British+American,missing,missing,,,[spˈɔːts dˈeɪ],[spˈoːɹts dˈeɪ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV002669,new-third-party-stable,unreleased,sports meeting,sports meeting,运动会,运动会,,,British+American,missing,missing,,,[spˈɔːts mˈiːtɪŋ],[spˈoːɹts mˈiːɾɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
