NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV000621,reused-existing-stable,unreleased,mail a present,mail a present,邮寄礼物,邮寄礼物,,,British+American,,,,,[mˈeɪl ɐ pɹˈɛzənt],[mˈeɪl ɐ pɹˈɛzənt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000622,reused-existing-stable,unreleased,make a video call,make a video call,视频通话,视频通话,,,British+American,,,,,[mˌeɪk ɐ vˈɪdɪəʊ kˈɔːl],[mˌeɪk ɐ vˈɪdɪoʊ kˈɔːl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000624,reused-existing-stable,unreleased,make a card,make a card,制作卡片,制作卡片,,,British+American,,,,,[mˌeɪk ɐ kˈɑːd],[mˌeɪk ɐ kˈɑːɹd],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000626,reused-existing-stable,unreleased,flower show,flower show,花展,花展,,,British+American,,,,,[flˈaʊə ʃˈəʊ],[flˈaʊɚ ʃˈoʊ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000647,reused-existing-stable,unreleased,the Stone Forest,the Stone Forest,石林,石林,,,British+American,,,,,[ðə stˈəʊn fˈɒɹɪst],[ðə stˈoʊn fˈɔːɹɪst],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV000669,reused-existing-stable,unreleased,all over,all over,到处；遍及,到处；遍及,,,British+American,,,,,[ˈɔːl ˈəʊvə],[ˈɔːl ˈoʊvɚ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000670,reused-existing-stable,unreleased,out of,out of,从……出来,从……出来,,,British+American,,,,,[ˈaʊtəv],[ˈaʊɾəv],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000674,reused-existing-stable,unreleased,morning tea,morning tea,早茶,早茶,,,British+American,,,,,[mˈɔːnɪŋ tˈiː],[mˈɔːɹnɪŋ tˈiː],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV000676,reused-existing-stable,unreleased,the Potala Palace,the Potala Palace,布达拉宫,布达拉宫,,,British+American,,,,,[ðə pəʊtˈɑːlə pˈalɪs],[ðə poʊtˈɑːlə pˈælɪs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV000677,reused-existing-stable,unreleased,the Summer Palace,the Summer Palace,颐和园,颐和园,,,British+American,,,,,[ðə sˈʌmə pˈalɪs],[ðə sˈʌmɚ pˈælɪs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
